Contig	Start	End	Strand	Pos
62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	2	1222	1	1
62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	1300	2682	1	2
62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	2750	3916	1	3
62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	3913	4626	1	4
62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	4629	5144	1	5
62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	5401	6447	1	6
62fe559eac786c1400|993b7b543e30a203b2|993b7b543e30a203b2|7538331|CAISWB010000760.1:0-7413(REV)	6497	7411	-1	7
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	2	781	1	1
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	795	1064	1	2
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	1312	2271	-1	3
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	2564	3037	1	4
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	3547	4314	1	5
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	4488	6107	1	6
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	6176	7537	1	7
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	7626	8225	1	8
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	8236	9618	1	9
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	9630	10256	1	10
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	10262	11566	1	11
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	11612	12001	-1	12
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	11980	12393	-1	13
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	12500	13009	1	14
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	13123	14742	1	15
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	14725	15636	-1	16
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	15827	16363	-1	17
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	16465	17553	-1	18
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	17516	18070	-1	19
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	18294	18722	-1	20
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	18759	19487	-1	21
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	19544	20002	1	22
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	20010	20861	1	23
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	21112	22215	1	24
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	22254	22484	-1	25
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	22537	22779	-1	26
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	22845	23183	-1	27
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	23258	23698	-1	28
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	23695	24378	-1	29
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	24443	25039	-1	30
62fe559eac786c1400|ba27df06b30f740724|ba27df06b30f740724|8142461|NZ_JACJQA010000009.1:39060-64569(FWD)	25301	25441	1	31
62fe559eac786c1400|4003a52cfdb2df8394|4003a52cfdb2df8394|1170981|NZ_NDHW01000045.1:32328-57855(FWD)	2	460	-1	1
62fe559eac786c1400|4003a52cfdb2df8394|4003a52cfdb2df8394|1170981|NZ_NDHW01000045.1:32328-57855(FWD)	671	1192	-1	2
62fe559eac786c1400|4003a52cfdb2df8394|4003a52cfdb2df8394|1170981|NZ_NDHW01000045.1:32328-57855(FWD)	1539	3743	1	3
