query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|97eea5e354e2ca5169|97eea5e354e2ca5169|272238|NC_015434.1:3458868-3484671(REV);11426;12406;-,14.8,0.00027,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|48e243e7745b520de5|48e243e7745b520de5|1757941|NZ_POTX01000016.1:29960-47883(FWD);11421;12401;-,14.5,0.00032,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|c4e3cf5b3aa5cfe342|c4e3cf5b3aa5cfe342|8118551|NZ_BMNB01000002.1:139453-165256(FWD);11424;12404;-,13.2,0.00082,327,33,83,143,194
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|cddbade7373be76fe8|cddbade7373be76fe8|879881|NZ_FNYV01000002.1:150581-176390(FWD);11424;12404;-,13.2,0.00085,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|7b733d0ea8c13d8522|7b733d0ea8c13d8522|1757951|NZ_POTY01000179.1:0-14897(REV);10292;11272;-,12.9,0.00099,327,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|dd677e387e6feb5f33|dd677e387e6feb5f33|1986341|NZ_QXEC01000014.1:122974-148765(FWD);11425;12405;-,12.8,0.0011,327,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|d862301d73972ea41c|d862301d73972ea41c|1430781|NZ_PEFR01000001.1:1600089-1625910(FWD);11423;12403;-,12.7,0.0012,327,33,98,143,208
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|262e038f46243696a4|262e038f46243696a4|6942041|NZ_JAASAD010000005.1:161620-187441(REV);11425;12405;-,12.3,0.0016,327,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|330f767f6ad1b2fcdd|b4a341738d437c5bd6|1881601|NZ_QVFU01000007.1:116210-142013(FWD);11426;12406;-,11.9,0.0021,327,32,96,142,207
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|9ace936676835af367|9ace936676835af367|2337511|NZ_SJJR01000001.1:261557-287360(FWD);11424;12404;-,11.5,0.0027,327,33,88,143,199
2-Hacid_dh_C,PF02826.21,178,d862301d73972ea41c|d862301d73972ea41c|6659621dc797d2ac79|5782741|NZ_SAIY01000012.1:59567-85388(REV);11423;12403;-,11.5,0.0027,327,33,96,143,207
