Contig	Start	End	Strand	Pos
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	2	70	-1	1
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	57	695	-1	2
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	692	1972	-1	3
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	2008	3558	-1	4
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	3695	3862	-1	5
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	4114	6156	1	6
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	6149	6712	1	7
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	6749	7456	-1	8
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	7453	8094	-1	9
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	8106	9068	-1	10
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	9131	9955	-1	11
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	9952	10980	-1	12
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	10988	11419	-1	13
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	11423	12403	-1	14
d862301d73972ea41c|bcf2663bc310687822|bcf2663bc310687822|5358281|NZ_VCJO01000004.1:137317-163120(FWD)	12500	13303	1	15
