Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
9a8a6e441d6dea8617|4d83dbdec272df5dfb|4d83dbdec272df5dfb|2239121|UQUS01000012.1:0-13051(FWD)	9a8a6e441d6dea8617|4d83dbdec272df5dfb|4d83dbdec272df5dfb|2239121|UQUS01000012.1:0-13051(FWD)@1	3536	4576	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4]	['3.10e-03']	[0.32]	[0.366]	NA	NA
9a8a6e441d6dea8617|3d74dae76c17b49458|c7bc4eb0894f059288|634458|NZ_KB901875.1:451501-476863(REV)	9a8a6e441d6dea8617|3d74dae76c17b49458|c7bc4eb0894f059288|634458|NZ_KB901875.1:451501-476863(REV)@1	2118	3377	False	14%	0%	I-A	2.0	['Cas3_1_CAS-I']	[3]	['8.80e-06']	[0.617]	[0.387]	-1	NA
9a8a6e441d6dea8617|3d74dae76c17b49458|3d74dae76c17b49458|634458|NZ_KB901875.1:128166-153528(REV)	9a8a6e441d6dea8617|3d74dae76c17b49458|3d74dae76c17b49458|634458|NZ_KB901875.1:128166-153528(REV)@1	7611	8579	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[13]	['3.50e-51']	[0.616]	[0.621]	NA	NA
9a8a6e441d6dea8617|6c77dac62c5da2c756|7fbb7c9bc9060c548f|5324001|NZ_CP039268.1:720712-746008(FWD)	9a8a6e441d6dea8617|6c77dac62c5da2c756|7fbb7c9bc9060c548f|5324001|NZ_CP039268.1:720712-746008(FWD)@1	4747	5664	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[5]	['2.20e-03']	[0.337]	[0.475]	NA	NA
9a8a6e441d6dea8617|7995e913e67065bfbc|7995e913e67065bfbc|903711|NZ_LT635861.1:333652-359065(REV)	9a8a6e441d6dea8617|7995e913e67065bfbc|7995e913e67065bfbc|903711|NZ_LT635861.1:333652-359065(REV)@1	19042	20607	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[19]	['2.60e-13']	[0.356]	[0.975]	NA	NA
9a8a6e441d6dea8617|9a8a6e441d6dea8617|9a8a6e441d6dea8617|903711|NZ_LT635861.1:266896-292336(REV)	9a8a6e441d6dea8617|9a8a6e441d6dea8617|9a8a6e441d6dea8617|903711|NZ_LT635861.1:266896-292336(REV)@1	13138	14487	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[14]	['9.90e-91']	[0.687]	[0.923]	NA	NA
9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD)	9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD)@1	5623	6189	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[7]	['5.70e-12']	[0.825]	[0.95]	NA	NA
9a8a6e441d6dea8617|7995e913e67065bfbc|e8f75950098dc2a48b|903711|NZ_LT635861.1:104492-129905(REV)	9a8a6e441d6dea8617|7995e913e67065bfbc|e8f75950098dc2a48b|903711|NZ_LT635861.1:104492-129905(REV)@1	95	1444	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[2]	['1.10e-90']	[0.687]	[0.923]	NA	NA
9a8a6e441d6dea8617|f31ea0ba1deee8f29c|f31ea0ba1deee8f29c|634458|NZ_KB901875.1:683034-708447(REV)	9a8a6e441d6dea8617|f31ea0ba1deee8f29c|f31ea0ba1deee8f29c|634458|NZ_KB901875.1:683034-708447(REV)@1	9187	10446	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[10]	['1.60e-05']	[0.576]	[0.674]	1	NA
9a8a6e441d6dea8617|6c77dac62c5da2c756|5bd67b04140aac1ca8|2036951|RFGF01000134.1:0-12565(FWD)	9a8a6e441d6dea8617|6c77dac62c5da2c756|5bd67b04140aac1ca8|2036951|RFGF01000134.1:0-12565(FWD)@1	10570	11769	False	20%	NA	IV-D	4.0	['RecD_0_IVD']	[13]	['8.70e-27']	[0.82]	[0.49]	1	NA
