Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	c15257c28ad9a20cdd|9248c3329b8c94fbec|9248c3329b8c94fbec|5406051|WRBL01000206.1:0-11716(REV)_1	694	94	7.5e-11	40.0	2	2083	c15257c28ad9a20cdd|9248c3329b8c94fbec|9248c3329b8c94fbec|5406051|WRBL01000206.1:0-11716(REV)	1	0.12247838616714697	0.9680851063829787	-1
2OG_1_CAS-I-II-III-IV-V-VI	c15257c28ad9a20cdd|d3ebc543ca8a369265|d3ebc543ca8a369265|223338|NZ_ADGX01000057.1:25266-49387(FWD)_11	279	94	5.8e-05	21.1	9641	10477	c15257c28ad9a20cdd|d3ebc543ca8a369265|d3ebc543ca8a369265|223338|NZ_ADGX01000057.1:25266-49387(FWD)	11	0.6881720430107527	0.8936170212765957	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|0606f16dc26d0d0495|0606f16dc26d0d0495|6279241|NZ_CADDZT010000068.1:28948-45461(REV)_15	878	284	0.0055	13.6	11562	14195	c15257c28ad9a20cdd|0606f16dc26d0d0495|0606f16dc26d0d0495|6279241|NZ_CADDZT010000068.1:28948-45461(REV)	15	0.06605922551252848	0.19718309859154928	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|0ef6d63f78b0feeea4|0ef6d63f78b0feeea4|7342671|NZ_JACBZQ010000001.1:4001229-4026741(REV)_16	561	284	5.1e-07	26.9	14718	16400	c15257c28ad9a20cdd|0ef6d63f78b0feeea4|0ef6d63f78b0feeea4|7342671|NZ_JACBZQ010000001.1:4001229-4026741(REV)	16	0.21212121212121213	0.2852112676056338	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|0ef6d63f78b0feeea4|0ef6d63f78b0feeea4|7342671|NZ_JACBZQ010000001.1:4001229-4026741(REV)_18	290	284	0.00026	18.0	17795	18664	c15257c28ad9a20cdd|0ef6d63f78b0feeea4|0ef6d63f78b0feeea4|7342671|NZ_JACBZQ010000001.1:4001229-4026741(REV)	18	0.16206896551724137	0.1619718309859155	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|18b3cc5978d80e0bcc|18b3cc5978d80e0bcc|7660361|NZ_JACBWY010000323.1:0-9297(REV)_3	284	284	2e-06	24.9	2139	2990	c15257c28ad9a20cdd|18b3cc5978d80e0bcc|18b3cc5978d80e0bcc|7660361|NZ_JACBWY010000323.1:0-9297(REV)	3	0.397887323943662	0.4014084507042254	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|3cfb98ee5cfb65df27|3cfb98ee5cfb65df27|2880931|NZ_BIFP01000008.1:450257-475835(REV)_11	322	284	1.2e-06	25.7	10689	11654	c15257c28ad9a20cdd|3cfb98ee5cfb65df27|3cfb98ee5cfb65df27|2880931|NZ_BIFP01000008.1:450257-475835(REV)	11	0.2701863354037267	0.29577464788732394	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|4c74677f6e0a0be05b|4c74677f6e0a0be05b|646901|NZ_BBYK01000049.1:99198-124782(FWD)_19	312	284	4.1e-05	20.6	16598	17533	c15257c28ad9a20cdd|4c74677f6e0a0be05b|4c74677f6e0a0be05b|646901|NZ_BBYK01000049.1:99198-124782(FWD)	19	0.1955128205128205	0.20422535211267606	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|4ed553a453f74e2503|4ed553a453f74e2503|883411|NZ_FONV01000008.1:363005-388580(REV)_16	1205	284	0.033	11.1	14897	18511	c15257c28ad9a20cdd|4ed553a453f74e2503|4ed553a453f74e2503|883411|NZ_FONV01000008.1:363005-388580(REV)	16	0.06556016597510374	0.1267605633802817	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|4ed553a453f74e2503|4ed553a453f74e2503|883411|NZ_FONV01000008.1:363005-388580(REV)_18	259	284	3.4e-07	27.4	19687	20463	c15257c28ad9a20cdd|4ed553a453f74e2503|4ed553a453f74e2503|883411|NZ_FONV01000008.1:363005-388580(REV)	18	0.61003861003861	0.5422535211267606	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|5494de872cf28352e5|5494de872cf28352e5|1728981|NZ_QGKS01000151.1:8031-21685(REV)_9	420	284	0.025	11.4	4730	5989	c15257c28ad9a20cdd|5494de872cf28352e5|5494de872cf28352e5|1728981|NZ_QGKS01000151.1:8031-21685(REV)	9	0.04523809523809524	0.06690140845070422	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)_7	165	284	0.02	11.8	4170	4664	c15257c28ad9a20cdd|5b5816087a6e50125e|5b5816087a6e50125e|395238|NZ_CM001489.1:5029333-5054926(FWD)	7	0.4666666666666667	0.2535211267605634	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|839ede551474dbb28c|839ede551474dbb28c|326301|NZ_LAJC01000059.1:0-20279(FWD)_21	281	284	0.00017	18.6	19346	20188	c15257c28ad9a20cdd|839ede551474dbb28c|839ede551474dbb28c|326301|NZ_LAJC01000059.1:0-20279(FWD)	21	0.36298932384341637	0.35563380281690143	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|87f45b2ad2f7a59bdf|87f45b2ad2f7a59bdf|2281691|NZ_SHLD01000001.1:4917166-4942741(FWD)_19	258	284	0.00026	18.0	22107	22880	c15257c28ad9a20cdd|87f45b2ad2f7a59bdf|87f45b2ad2f7a59bdf|2281691|NZ_SHLD01000001.1:4917166-4942741(FWD)	19	0.3798449612403101	0.33098591549295775	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|979d1fd83060f232f1|979d1fd83060f232f1|EARTH_3300026035_7|3300026035.a:Ga0207703_10000047:17714-43286(FWD)_2	514	284	0.00011	19.2	608	2149	c15257c28ad9a20cdd|979d1fd83060f232f1|979d1fd83060f232f1|EARTH_3300026035_7|3300026035.a:Ga0207703_10000047:17714-43286(FWD)	2	0.11673151750972763	0.20774647887323944	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|9de73e4c6863116c4e|9de73e4c6863116c4e|431081|NZ_CP012150.1:1094180-1119494(REV)_1	345	284	4e-07	27.2	3	1037	c15257c28ad9a20cdd|9de73e4c6863116c4e|9de73e4c6863116c4e|431081|NZ_CP012150.1:1094180-1119494(REV)	1	0.3217391304347826	0.36619718309859156	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|a08f07866320bf0fe0|a08f07866320bf0fe0|4438181|NZ_VSFA01000014.1:55346-80819(REV)_10	245	284	1.6e-05	21.9	8727	9461	c15257c28ad9a20cdd|a08f07866320bf0fe0|a08f07866320bf0fe0|4438181|NZ_VSFA01000014.1:55346-80819(REV)	10	0.37142857142857144	0.30633802816901406	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|a1af28d48559f99c03|a1af28d48559f99c03|646931|NZ_BCSX01000024.1:530607-555909(FWD)_2	264	284	0.02	11.7	681	1472	c15257c28ad9a20cdd|a1af28d48559f99c03|a1af28d48559f99c03|646931|NZ_BCSX01000024.1:530607-555909(FWD)	2	0.24242424242424243	0.2147887323943662	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|acf8eb1c1c0389b322|5a2253f82711cb8023|863991|NZ_FNFM01000012.1:156662-182231(FWD)_23	362	284	0.00043	17.2	21848	22933	c15257c28ad9a20cdd|acf8eb1c1c0389b322|5a2253f82711cb8023|863991|NZ_FNFM01000012.1:156662-182231(FWD)	23	0.32320441988950277	0.4154929577464789	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|c9506cec5f671504ac|c9506cec5f671504ac|5432441|NZ_WMBR01000005.1:409-25918(REV)_11	259	284	5.5e-05	20.2	11125	11901	c15257c28ad9a20cdd|c9506cec5f671504ac|c9506cec5f671504ac|5432441|NZ_WMBR01000005.1:409-25918(REV)	11	0.42084942084942084	0.3591549295774648	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|caf40058cd38f3f4f3|caf40058cd38f3f4f3|425448|NZ_BAHC01000209.1:0-12781(FWD)_11	318	284	2.6e-05	21.2	10034	10987	c15257c28ad9a20cdd|caf40058cd38f3f4f3|caf40058cd38f3f4f3|425448|NZ_BAHC01000209.1:0-12781(FWD)	11	0.31761006289308175	0.34507042253521125	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|d27825d6a05072011e|d27825d6a05072011e|1504931|NZ_OESX01000041.1:0-13079(REV)_5	665	284	0.00049	17.1	4300	6294	c15257c28ad9a20cdd|d27825d6a05072011e|d27825d6a05072011e|1504931|NZ_OESX01000041.1:0-13079(REV)	5	0.26165413533834586	0.36619718309859156	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|d45fbee11a25d65dd6|961721891be0f48acf|860211|NZ_MAXA01000058.1:95082-120654(REV)_1	284	284	0.00015	18.7	67	918	c15257c28ad9a20cdd|d45fbee11a25d65dd6|961721891be0f48acf|860211|NZ_MAXA01000058.1:95082-120654(REV)	1	0.33098591549295775	0.3274647887323944	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|d45fbee11a25d65dd6|961721891be0f48acf|860211|NZ_MAXA01000058.1:95082-120654(REV)_2	310	284	4.7e-06	23.7	959	1888	c15257c28ad9a20cdd|d45fbee11a25d65dd6|961721891be0f48acf|860211|NZ_MAXA01000058.1:95082-120654(REV)	2	0.2838709677419355	0.3028169014084507	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|d8c660b1b7518fb289|d8c660b1b7518fb289|1728981|NZ_QGKS01000247.1:0-13712(REV)_4	248	284	9.1e-05	19.5	2173	2916	c15257c28ad9a20cdd|d8c660b1b7518fb289|d8c660b1b7518fb289|1728981|NZ_QGKS01000247.1:0-13712(REV)	4	0.4717741935483871	0.31338028169014087	1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|f69b7e6fa207081ef2|f69b7e6fa207081ef2|431081|NZ_CP012150.1:6965031-6990549(REV)_18	241	284	9.2e-06	22.7	17821	18543	c15257c28ad9a20cdd|f69b7e6fa207081ef2|f69b7e6fa207081ef2|431081|NZ_CP012150.1:6965031-6990549(REV)	18	0.43983402489626555	0.36971830985915494	-1
AbiEii_0_CAS-III	c15257c28ad9a20cdd|f69b7e6fa207081ef2|f69b7e6fa207081ef2|431081|NZ_CP012150.1:6965031-6990549(REV)_19	239	284	5.6e-07	26.7	18536	19252	c15257c28ad9a20cdd|f69b7e6fa207081ef2|f69b7e6fa207081ef2|431081|NZ_CP012150.1:6965031-6990549(REV)	19	0.37656903765690375	0.30633802816901406	-1
AbiEii_1_CAS-III-A	c15257c28ad9a20cdd|4ed553a453f74e2503|4ed553a453f74e2503|883411|NZ_FONV01000008.1:363005-388580(REV)_18	259	335	0.0007	16.1	19687	20463	c15257c28ad9a20cdd|4ed553a453f74e2503|4ed553a453f74e2503|883411|NZ_FONV01000008.1:363005-388580(REV)	18	0.29343629343629346	0.23582089552238805	-1
AbiEii_1_CAS-III-A	c15257c28ad9a20cdd|c9506cec5f671504ac|c9506cec5f671504ac|5432441|NZ_WMBR01000005.1:409-25918(REV)_11	259	335	0.028	10.9	11125	11901	c15257c28ad9a20cdd|c9506cec5f671504ac|c9506cec5f671504ac|5432441|NZ_WMBR01000005.1:409-25918(REV)	11	0.28957528957528955	0.23582089552238805	1
AbiEii_1_CAS-III-A	c15257c28ad9a20cdd|d45fbee11a25d65dd6|961721891be0f48acf|860211|NZ_MAXA01000058.1:95082-120654(REV)_1	284	335	0.014	11.9	67	918	c15257c28ad9a20cdd|d45fbee11a25d65dd6|961721891be0f48acf|860211|NZ_MAXA01000058.1:95082-120654(REV)	1	0.11619718309859155	0.09850746268656717	1
AbiEii_2_CAS-III-C	c15257c28ad9a20cdd|979d1fd83060f232f1|979d1fd83060f232f1|EARTH_3300026035_7|3300026035.a:Ga0207703_10000047:17714-43286(FWD)_2	514	440	0.0086	12.7	608	2149	c15257c28ad9a20cdd|979d1fd83060f232f1|979d1fd83060f232f1|EARTH_3300026035_7|3300026035.a:Ga0207703_10000047:17714-43286(FWD)	2	0.29766536964980544	0.32045454545454544	1
Cas11_0_IV	c15257c28ad9a20cdd|1863f773bf1909fff9|1863f773bf1909fff9|308031|NZ_JYFN01000004.1:145802-171377(FWD)_10	192	114	0.034	11.5	12500	13075	c15257c28ad9a20cdd|1863f773bf1909fff9|1863f773bf1909fff9|308031|NZ_JYFN01000004.1:145802-171377(FWD)	10	0.3177083333333333	0.5175438596491229	1
Cas11_0_IV	c15257c28ad9a20cdd|64c8b8eed928de9ecd|64c8b8eed928de9ecd|773221|FLUV01001925.1:0-10215(REV)_1	191	114	0.021	12.2	82	654	c15257c28ad9a20cdd|64c8b8eed928de9ecd|64c8b8eed928de9ecd|773221|FLUV01001925.1:0-10215(REV)	1	0.3193717277486911	0.5175438596491229	1
Cas11_0_IV	c15257c28ad9a20cdd|acbff19525cf2d7533|acbff19525cf2d7533|4438181|NZ_VSFA01000247.1:0-1542(REV)_1	179	114	0.031	11.6	1	537	c15257c28ad9a20cdd|acbff19525cf2d7533|acbff19525cf2d7533|4438181|NZ_VSFA01000247.1:0-1542(REV)	1	0.3463687150837989	0.5263157894736842	1
