Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	0b921ace501a0fe980|0b921ace501a0fe980|0b921ace501a0fe980|58561|NZ_KE356561.1:3541866-3567012(REV)_10	239	284	0.0027	13.2	7257	7973	0b921ace501a0fe980|0b921ace501a0fe980|0b921ace501a0fe980|58561|NZ_KE356561.1:3541866-3567012(REV)	10	0.12133891213389121	0.09859154929577464	-1
AbiEii_0_CAS-III	0b921ace501a0fe980|312ead9921799ff865|0da202956bd6b48739|2102791|NZ_RJJW01000001.1:553237-578380(REV)_4	676	284	0.005	12.3	2657	4684	0b921ace501a0fe980|312ead9921799ff865|0da202956bd6b48739|2102791|NZ_RJJW01000001.1:553237-578380(REV)	4	0.11390532544378698	0.25704225352112675	-1
AbiEii_0_CAS-III	0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|537408|NZ_AOLQ01000002.1:23981-49124(FWD)_16	485	284	0.0025	13.3	16894	18348	0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|537408|NZ_AOLQ01000002.1:23981-49124(FWD)	16	0.06391752577319587	0.11971830985915492	-1
AbiEii_0_CAS-III	0b921ace501a0fe980|312ead9921799ff865|3e1c058e617c201704|58561|NZ_KE356561.1:3540077-3565220(FWD)_21	239	284	0.0027	13.2	18963	19679	0b921ace501a0fe980|312ead9921799ff865|3e1c058e617c201704|58561|NZ_KE356561.1:3540077-3565220(FWD)	21	0.12133891213389121	0.09859154929577464	1
AbiEii_0_CAS-III	0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV)_2	600	284	0.00016	17.1	1180	2979	0b921ace501a0fe980|aae4b200d1d264f7d2|aae4b200d1d264f7d2|5562281|NZ_WRXL01000001.1:676108-701251(REV)	2	0.275	0.4823943661971831	-1
AbiEii_0_CAS-III	0b921ace501a0fe980|bfb63bcf84e163b783|bfb63bcf84e163b783|2027161|NZ_RCDI01000001.1:676774-701917(FWD)_26	345	284	8.2e-06	21.4	21720	22754	0b921ace501a0fe980|bfb63bcf84e163b783|bfb63bcf84e163b783|2027161|NZ_RCDI01000001.1:676774-701917(FWD)	26	0.19710144927536233	0.23591549295774647	1
Cas12a_1_CAS-V-A	0b921ace501a0fe980|2b99333199c01f8ba6|2b99333199c01f8ba6|536568|NZ_AOID01000060.1:41449-66592(REV)_13	150	1086	0.019	8.7	11155	11604	0b921ace501a0fe980|2b99333199c01f8ba6|2b99333199c01f8ba6|536568|NZ_AOID01000060.1:41449-66592(REV)	13	0.4533333333333333	0.0718232044198895	-1
Cas12a_1_CAS-V-A	0b921ace501a0fe980|312ead9921799ff865|0da202956bd6b48739|2102791|NZ_RJJW01000001.1:553237-578380(REV)_25	447	1086	0.00039	14.3	22161	23501	0b921ace501a0fe980|312ead9921799ff865|0da202956bd6b48739|2102791|NZ_RJJW01000001.1:553237-578380(REV)	25	0.0894854586129754	0.04604051565377532	-1
Cas12a_1_CAS-V-A	0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|5408351|NZ_CP046866.1:750908-776051(REV)_20	447	1086	0.0013	12.5	16938	18278	0b921ace501a0fe980|312ead9921799ff865|312ead9921799ff865|5408351|NZ_CP046866.1:750908-776051(REV)	20	0.08501118568232663	0.04419889502762431	1
Cas12a_1_CAS-V-A	0b921ace501a0fe980|312ead9921799ff865|d27d541010c470eac9|7294801|NZ_CP054590.1:0-12882(REV)_6	247	1086	0.0028	11.4	7277	8017	0b921ace501a0fe980|312ead9921799ff865|d27d541010c470eac9|7294801|NZ_CP054590.1:0-12882(REV)	6	0.1700404858299595	0.04696132596685083	-1
Cas12a_1_CAS-V-A	0b921ace501a0fe980|312ead9921799ff865|d27d541010c470eac9|7294801|NZ_CP054590.1:0-12882(REV)_7	418	1086	0.0014	12.4	8078	9331	0b921ace501a0fe980|312ead9921799ff865|d27d541010c470eac9|7294801|NZ_CP054590.1:0-12882(REV)	7	0.2511961722488038	0.10681399631675875	-1
Cas12a_1_CAS-V-A	0b921ace501a0fe980|665438f1152c44843c|665438f1152c44843c|2022531|NZ_QPLT01000008.1:77667-102810(REV)_24	405	1086	6e-05	17.0	19535	20749	0b921ace501a0fe980|665438f1152c44843c|665438f1152c44843c|2022531|NZ_QPLT01000008.1:77667-102810(REV)	24	0.1111111111111111	0.04880294659300184	-1
