query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|53bc58268a383b5d7c|53bc58268a383b5d7c|5091871|NZ_WHYR01000022.1:9140-34373(REV);22269;23147;+,31.9,4.7e-09,293,31,65,2,36
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|53bc58268a383b5d7c|53bc58268a383b5d7c|5091871|NZ_WHYR01000022.1:9140-34373(REV);22269;23147;+,31.9,4.7e-09,293,29,116,147,232
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|977664ac82c3bd58cf|3f4e3c38def0c591d6|93301|NZ_KI912183.1:2744632-2770297(FWD);1343;2692;-,18.1,7.8e-05,450,37,75,1,39
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|977664ac82c3bd58cf|3f4e3c38def0c591d6|93301|NZ_KI912183.1:2744632-2770297(FWD);1343;2692;-,18.1,7.8e-05,450,29,71,221,263
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|977664ac82c3bd58cf|3f4e3c38def0c591d6|93301|NZ_KI912183.1:2744632-2770297(FWD);1343;2692;-,18.1,7.8e-05,450,53,88,313,349
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|6d7bd366529699c6c0|b10d446b8d0d2187ec|2344771|SLTJ01000032.1:17739-43413(FWD);21389;22258;+,15.5,0.00051,290,133,155,19,41
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|6d7bd366529699c6c0|b10d446b8d0d2187ec|2344771|SLTJ01000032.1:17739-43413(FWD);21389;22258;+,15.5,0.00051,290,32,75,123,166
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|07c8cdeef9a3f24f9b|07c8cdeef9a3f24f9b|1695511|NZ_BFFN01000003.1:71245-96604(FWD);10796;11803;+,13.1,0.0027,336,37,84,3,49
2-Hacid_dh_C,PF02826.21,178,6c3b2ade31d3833745|9b0220da1490adaa89|9b0220da1490adaa89|1695511|NZ_BFFN01000013.1:0-16083(REV);6228;7187;-,11.7,0.0074,320,27,73,116,163
2-oxogl_dehyd_N,PF16078.7,41,6c3b2ade31d3833745|c4f0da1a5f6ea738ba|c4f0da1a5f6ea738ba|7004721|DUSP01000124.1:0-21604(FWD);12551;13267;-,11.4,0.011,239,13,26,102,115
