Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
e36a64acf9381581d3|03434d69ce6d7b4087|03434d69ce6d7b4087|1556251|NZ_PQSS01000011.1:132728-147622(REV)	e36a64acf9381581d3|03434d69ce6d7b4087|03434d69ce6d7b4087|1556251|NZ_PQSS01000011.1:132728-147622(REV)@1	9270	9761	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[10]	['1.80e-08']	[0.561]	[0.39]	NA	NA
e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)	e36a64acf9381581d3|0e77c707fd7879633c|0e77c707fd7879633c|8119391|NZ_BMQF01000018.1:122289-148425(FWD)@1	21074	21568	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[21]	['3.60e-07']	[0.467]	[0.353]	NA	NA
e36a64acf9381581d3|8bfc6066df24a87426|8bfc6066df24a87426|1020391|NZ_CM007717.1:5718298-5744485(REV)	e36a64acf9381581d3|8bfc6066df24a87426|8bfc6066df24a87426|1020391|NZ_CM007717.1:5718298-5744485(REV)@1	20667	21137	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[23]	['8.90e-08']	[0.516]	[0.372]	NA	NA
e36a64acf9381581d3|cc8a157e92efb00f06|cc8a157e92efb00f06|1009181|NZ_CP019724.1:2998229-3024386(FWD)	e36a64acf9381581d3|cc8a157e92efb00f06|cc8a157e92efb00f06|1009181|NZ_CP019724.1:2998229-3024386(FWD)@1	20960	21454	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[21]	['1.50e-07']	[0.473]	[0.358]	NA	NA
e36a64acf9381581d3|8020d52460f97f3015|8020d52460f97f3015|2021691|NZ_RCCZ01000002.1:1465371-1491540(REV)	e36a64acf9381581d3|8020d52460f97f3015|8020d52460f97f3015|2021691|NZ_RCCZ01000002.1:1465371-1491540(REV)@1	20572	21066	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[21]	['1.40e-07']	[0.539]	[0.362]	NA	NA
e36a64acf9381581d3|c7cfe4e34851d3db33|c7cfe4e34851d3db33|618691|NZ_KQ949025.1:42297-68475(FWD)	e36a64acf9381581d3|c7cfe4e34851d3db33|c7cfe4e34851d3db33|618691|NZ_KQ949025.1:42297-68475(FWD)@1	23334	23813	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[25]	['2.90e-07']	[0.55]	[0.381]	NA	NA
e36a64acf9381581d3|d6832d0c1214160a02|d6832d0c1214160a02|1693371|NZ_BEWA01000012.1:104539-130933(FWD)	e36a64acf9381581d3|d6832d0c1214160a02|d6832d0c1214160a02|1693371|NZ_BEWA01000012.1:104539-130933(FWD)@1	20649	21131	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[20]	['1.00e-07']	[0.596]	[0.39]	NA	NA
e36a64acf9381581d3|37f69aa23097a12213|37f69aa23097a12213|192131|NZ_JODM01000032.1:34486-60634(REV)	e36a64acf9381581d3|37f69aa23097a12213|37f69aa23097a12213|192131|NZ_JODM01000032.1:34486-60634(REV)@1	21586	22080	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['2.20e-07']	[0.473]	[0.358]	NA	NA
e36a64acf9381581d3|2b6b82c83a3befb270|2b6b82c83a3befb270|2022231|NZ_CP023407.1:5226260-5252408(REV)	e36a64acf9381581d3|2b6b82c83a3befb270|2b6b82c83a3befb270|2022231|NZ_CP023407.1:5226260-5252408(REV)@1	20957	21451	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[20]	['5.00e-08']	[0.467]	[0.353]	NA	NA
e36a64acf9381581d3|65a933fce5f7603ffb|65a933fce5f7603ffb|8120211|NZ_BMSX01000025.1:116072-142217(REV)	e36a64acf9381581d3|65a933fce5f7603ffb|65a933fce5f7603ffb|8120211|NZ_BMSX01000025.1:116072-142217(REV)@1	21246	21737	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[24]	['1.20e-07']	[0.585]	[0.385]	NA	NA
