query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|e4404ac2c39f4588a4|8124511|NZ_BNBP01000041.1:0-19142(REV);13786;14664;-,33.3,5.5e-10,293,36,141,1,109
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|b728fbb8929a02c412|b728fbb8929a02c412|4726251|NZ_CP023747.1:6392938-6418627(FWD);18801;19685;-,31.7,1.7e-09,295,37,112,1,77
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|b728fbb8929a02c412|b728fbb8929a02c412|4726251|NZ_CP023747.1:6392938-6418627(FWD);18801;19685;-,31.7,1.7e-09,295,145,162,228,245
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|34e70916b115b53978|196081|NZ_KL647083.1:66114-91743(REV);16406;17284;-,30.3,4.7e-09,293,36,128,1,96
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|34e70916b115b53978|196081|NZ_KL647083.1:66114-91743(REV);16406;17284;-,30.3,4.7e-09,293,151,160,142,151
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|34e70916b115b53978|196081|NZ_KL647083.1:66114-91743(REV);16406;17284;-,30.3,4.7e-09,293,145,162,229,246
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|e4404ac2c39f4588a4|8124511|NZ_BNBP01000041.1:0-19142(REV);17057;17938;-,26.4,7.7e-08,294,37,111,1,70
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|e4404ac2c39f4588a4|8124511|NZ_BNBP01000041.1:0-19142(REV);17057;17938;-,26.4,7.7e-08,294,20,45,86,110
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|34e70916b115b53978|196081|NZ_KL647083.1:66114-91743(REV);19724;20605;-,25.1,1.9e-07,294,37,111,1,70
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|a902b3e9754a344733|a902b3e9754a344733|8119441|NZ_BMQK01000018.1:119552-143376(FWD);15014;15910;-,19.6,9.5e-06,299,36,100,6,71
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|a902b3e9754a344733|a902b3e9754a344733|8119441|NZ_BMQK01000018.1:119552-143376(FWD);15014;15910;-,19.6,9.5e-06,299,126,153,238,265
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|95c199a8ae5e453385|95c199a8ae5e453385|1590631|NZ_CP026652.1:1179268-1204804(REV);17492;18835;-,18.4,2.2e-05,448,33,76,28,71
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|95c199a8ae5e453385|95c199a8ae5e453385|1590631|NZ_CP026652.1:1179268-1204804(REV);17492;18835;-,18.4,2.2e-05,448,6,44,312,350
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|95c199a8ae5e453385|95c199a8ae5e453385|1590631|NZ_CP026652.1:1179268-1204804(REV);17492;18835;-,18.4,2.2e-05,448,50,69,366,385
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|895f0dfdba7512161a|2c483f21ebb4e9f126|1061551|NZ_MWFK01000001.1:4730801-4756508(FWD);19485;20519;-,17.9,3.1e-05,345,38,103,33,99
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|895f0dfdba7512161a|2c483f21ebb4e9f126|1061551|NZ_MWFK01000001.1:4730801-4756508(FWD);19485;20519;-,17.9,3.1e-05,345,143,162,225,244
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|34e70916b115b53978|196081|NZ_KL647083.1:66114-91743(REV);6670;7707;+,17.9,3.1e-05,346,32,98,163,230
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|20bafbf3ff663c8ee5|20bafbf3ff663c8ee5|885351|NZ_FPAE01000001.1:660472-686128(FWD);6074;7081;+,17.4,4.3e-05,336,33,97,143,208
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|93ae719b27eee0fc29|93ae719b27eee0fc29|5383251|NZ_CP034279.1:404273-429815(FWD);6073;7053;+,17.2,5.1e-05,327,32,99,142,209
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|b728fbb8929a02c412|b728fbb8929a02c412|4726251|NZ_CP023747.1:6392938-6418627(FWD);6757;7737;+,16.8,6.6e-05,327,33,102,143,212
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e4404ac2c39f4588a4|e4404ac2c39f4588a4|8124511|NZ_BNBP01000041.1:0-19142(REV);6519;7502;+,16.8,6.7e-05,328,33,98,146,212
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|895f0dfdba7512161a|2c483f21ebb4e9f126|1061551|NZ_MWFK01000001.1:4730801-4756508(FWD);6808;7788;+,15.8,0.00014,327,33,100,143,210
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|95c199a8ae5e453385|95c199a8ae5e453385|1590631|NZ_CP026652.1:1179268-1204804(REV);6812;7792;+,15.7,0.00015,327,33,99,143,209
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|895f0dfdba7512161a|895f0dfdba7512161a|8118371|NZ_BMMM01000019.1:61656-87363(FWD);6586;7566;+,15.7,0.00015,327,33,99,143,209
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|7ef1542375676f01fc|7ef1542375676f01fc|1198581|NZ_MLCE01000034.1:39034-64741(FWD);6758;7738;+,14.8,0.00027,327,33,99,143,209
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|562601|NZ_LIQZ01000136.1:30986-56645(FWD);6612;7634;+,12.9,0.0011,341,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|79f80c64d6153267e1|79f80c64d6153267e1|4559551|NZ_VDFC01000030.1:17207-36727(FWD);6764;7750;+,12.4,0.0015,329,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|4720ae4186d4039a1b|4720ae4186d4039a1b|3856001|NZ_SPQF01000012.1:26340-51999(REV);6553;7593;+,12.1,0.0019,347,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|37a7bc85ebdb113b13|37a7bc85ebdb113b13|4811861|NZ_VWMY01000038.1:64364-90023(FWD);6611;7609;+,11.7,0.0025,333,33,96,143,207
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|a902b3e9754a344733|a902b3e9754a344733|8119441|NZ_BMQK01000018.1:119552-143376(FWD);6817;7794;+,11.6,0.0027,326,33,99,143,209
2-Hacid_dh_C,PF02826.21,178,c7de21b826534e1702|e5b818333b2c9b67ef|e5b818333b2c9b67ef|8121071|NZ_BMWD01000037.1:993-26652(REV);6468;7475;+,11.5,0.0029,336,33,95,143,206
3Beta_HSD,PF01073.21,280,c7de21b826534e1702|0b6058b3187f009412|0b6058b3187f009412|636038|NZ_KB891926.1:12354-29842(FWD);14419;17304;-,33.9,3.2e-10,962,0,116,195,329
3Beta_HSD,PF01073.21,280,c7de21b826534e1702|0b6058b3187f009412|0b6058b3187f009412|636038|NZ_KB891926.1:12354-29842(FWD);14419;17304;-,33.9,3.2e-10,962,1,162,599,776
