query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,131,181,12,61
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,131,158,54,81
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,131,188,96,152
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,133,159,140,166
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,131,193,180,241
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,131,158,222,249
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,131,188,264,320
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,133,190,308,364
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);1011;2435;-,50.1,1.1e-14,475,135,180,394,438
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);2432;2923;-,19.8,1.9e-05,164,136,158,54,76
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);2432;2923;-,19.8,1.9e-05,164,135,158,95,118
14-3-3,PF00244.22,222,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:567061-592621(REV);2432;2923;-,19.8,1.9e-05,164,131,159,133,161
2-Hacid_dh,PF00389.32,134,99f6125a673bcd700d|4857ae05333e812916|4857ae05333e812916|8618631|NZ_LR797830.1:847926-873483(FWD);9784;10935;+,65.6,1.4e-19,384,12,130,60,362
2-Hacid_dh_C,PF02826.21,178,99f6125a673bcd700d|4857ae05333e812916|4857ae05333e812916|8618631|NZ_LR797830.1:847926-873483(FWD);9784;10935;+,167.7,6.7e-51,384,0,178,154,334
2-Hacid_dh_C,PF02826.21,178,99f6125a673bcd700d|9b4c801da5911e0096|05625e2ac0cbb31fef|8618631|NZ_LR797830.1:1570145-1595705(REV);2832;3854;-,19.3,2.4e-05,341,37,101,1,69
2-Hacid_dh_C,PF02826.21,178,99f6125a673bcd700d|9b4c801da5911e0096|9b4c801da5911e0096|8618631|NZ_LR797830.1:1591139-1616699(REV);23826;24848;-,19.3,2.4e-05,341,37,101,1,69
2-Hacid_dh_C,PF02826.21,178,99f6125a673bcd700d|38914badabcb50582d|38914badabcb50582d|95941|NZ_JAFS01000001.1:646356-671916(FWD);20196;21203;+,15.9,0.00027,336,34,76,158,200
