query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
ArsB,PF02040.17,423,ee5c498bf075a0ad33,75.2,3.4e-25,386,47,407,34,370
CitMHS,PF03600.18,296,ee5c498bf075a0ad33,77.5,5.5e-26,386,4,295,4,328
CitMHS,PF03600.18,296,ee5c498bf075a0ad33,77.5,5.5e-26,386,117,159,322,372
DUF3040,PF11239.10,84,ee5c498bf075a0ad33,-19.0,1.0,386,42,82,10,47
DUF3040,PF11239.10,84,ee5c498bf075a0ad33,-19.0,1.0,386,42,62,75,95
DUF3040,PF11239.10,84,ee5c498bf075a0ad33,-19.0,1.0,386,44,81,207,238
DUF3040,PF11239.10,84,ee5c498bf075a0ad33,-19.0,1.0,386,46,73,254,284
DUF3040,PF11239.10,84,ee5c498bf075a0ad33,-19.0,1.0,386,41,74,353,386
PrgI,PF12666.9,91,ee5c498bf075a0ad33,-13.1,1.0,386,27,61,16,51
PrgI,PF12666.9,91,ee5c498bf075a0ad33,-13.1,1.0,386,28,59,79,111
PrgI,PF12666.9,91,ee5c498bf075a0ad33,-13.1,1.0,386,20,35,164,179
PrgI,PF12666.9,91,ee5c498bf075a0ad33,-13.1,1.0,386,28,68,205,245
PrgI,PF12666.9,91,ee5c498bf075a0ad33,-13.1,1.0,386,23,28,369,374
