Contig	Start	End	Strand	Pos
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	3	1607	1	1
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	1803	2225	1	2
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	2925	4361	1	3
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	4746	5729	1	4
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	5726	7135	-1	5
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	7265	9481	-1	6
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	9534	10208	-1	7
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	10240	11076	-1	8
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	11097	11858	-1	9
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	11860	12384	-1	10
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	12501	13034	1	11
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	13084	13773	1	12
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	13776	14285	1	13
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	14282	15271	1	14
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	15314	15796	1	15
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	15906	17441	1	16
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	17442	18380	1	17
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	18467	19234	1	18
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	19231	20763	1	19
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	20760	21806	1	20
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	21816	22625	1	21
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	22622	23818	1	22
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	23882	24559	1	23
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	24605	25060	1	24
031933be88d0f6dd71|c5eed0c028268810cb|c5eed0c028268810cb|2353891|NZ_SODF01000003.1:911887-937420(REV)	25044	25532	-1	25
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	2	1930	1	1
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	1927	2763	1	2
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	2869	4308	1	3
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	4642	5643	1	4
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	5656	7068	-1	5
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	7187	9403	-1	6
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	9455	10066	-1	7
031933be88d0f6dd71|151a8c2bbb8092e7e9|151a8c2bbb8092e7e9|6463241|NZ_JAASRO010000001.1:2643671-2669189(FWD)	10241	11077	-1	8
