query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
1-cysPrx_C,PF10417.11,40,9a8a6e441d6dea8617|9a8a6e441d6dea8617|9a8a6e441d6dea8617|903711|NZ_LT635861.1:266896-292336(REV);15248;15811;+,26.9,1.5e-07,188,1,28,154,179
2-Hacid_dh,PF00389.32,134,9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD);1774;3369;+,128.7,5e-39,532,0,134,6,318
2-Hacid_dh,PF00389.32,134,9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD);1774;3369;+,128.7,5e-39,532,72,93,388,410
2-Hacid_dh,PF00389.32,134,9a8a6e441d6dea8617|f31ea0ba1deee8f29c|b19024212cf4585e79|634458|NZ_KB901875.1:385140-410553(FWD);14513;15664;-,66.1,1.1e-19,384,17,130,65,362
2-Hacid_dh,PF00389.32,134,9a8a6e441d6dea8617|f31ea0ba1deee8f29c|b19024212cf4585e79|634458|NZ_KB901875.1:385140-410553(FWD);20399;21550;-,66.1,1.1e-19,384,17,130,65,362
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD);1774;3369;+,203.5,7.4e-62,532,51,111,9,65
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD);1774;3369;+,203.5,7.4e-62,532,0,178,109,286
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|f31ea0ba1deee8f29c|b19024212cf4585e79|634458|NZ_KB901875.1:385140-410553(FWD);14513;15664;-,165.4,3.6e-50,384,0,178,154,334
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|f31ea0ba1deee8f29c|b19024212cf4585e79|634458|NZ_KB901875.1:385140-410553(FWD);20399;21550;-,165.4,3.6e-50,384,0,178,154,334
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|7995e913e67065bfbc|8e2d0f35a740ab0dd1|903711|NZ_LT635860.1:266062-291475(REV);23503;24552;-,27.9,5.8e-08,350,26,123,17,114
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|7995e913e67065bfbc|7995e913e67065bfbc|903711|NZ_LT635861.1:333652-359065(REV);18122;19030;-,27.4,8.4e-08,303,35,125,12,106
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|3d74dae76c17b49458|3aed8c76786b9483d6|634458|NZ_KB901876.1:242552-267914(REV);2036;3448;-,21.9,4.1e-06,471,61,97,57,92
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|3d74dae76c17b49458|3aed8c76786b9483d6|634458|NZ_KB901876.1:242552-267914(REV);2036;3448;-,21.9,4.1e-06,471,39,52,152,165
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|3d74dae76c17b49458|3aed8c76786b9483d6|634458|NZ_KB901876.1:242552-267914(REV);2036;3448;-,21.9,4.1e-06,471,24,68,253,298
2-Hacid_dh_C,PF02826.21,178,9a8a6e441d6dea8617|9cf784f5c9bd9f5766|9cf784f5c9bd9f5766|634458|NZ_KB901875.1:285128-310490(REV);6651;7748;+,20.6,9.8e-06,366,24,100,13,93
3Beta_HSD,PF01073.21,280,9a8a6e441d6dea8617|3d74dae76c17b49458|c7bc4eb0894f059288|634458|NZ_KB901875.1:451501-476863(REV);1001;1987;+,35.5,2.4e-10,329,0,159,4,162
3Beta_HSD,PF01073.21,280,9a8a6e441d6dea8617|c861e63762ee28f7a5|c861e63762ee28f7a5|EARTH_3300009787_37|3300009787.a:Ga0116226_10000929:0-17602(FWD);6356;7804;-,19.3,2.1e-05,483,0,83,4,84
3Beta_HSD,PF01073.21,280,9a8a6e441d6dea8617|c861e63762ee28f7a5|c861e63762ee28f7a5|EARTH_3300009787_37|3300009787.a:Ga0116226_10000929:0-17602(FWD);5421;6359;-,11.2,0.0059,313,0,76,42,123
3D,PF06725.13,75,9a8a6e441d6dea8617|4d83dbdec272df5dfb|6bd028ed040df8c205|4343761|NZ_CABKRB010000004.1:109898-135347(FWD);21569;21883;-,12.1,0.008,105,3,40,32,71
3HCDH_N,PF02737.20,180,9a8a6e441d6dea8617|7995e913e67065bfbc|7995e913e67065bfbc|903711|NZ_LT635861.1:333652-359065(REV);18122;19030;-,20.3,1.8e-05,303,1,43,15,57
3HCDH_N,PF02737.20,180,9a8a6e441d6dea8617|7995e913e67065bfbc|7995e913e67065bfbc|903711|NZ_LT635861.1:333652-359065(REV);18122;19030;-,20.3,1.8e-05,303,18,67,140,189
3HCDH_N,PF02737.20,180,9a8a6e441d6dea8617|9cf784f5c9bd9f5766|9cf784f5c9bd9f5766|634458|NZ_KB901875.1:285128-310490(REV);6651;7748;+,15.9,0.00042,366,1,39,27,65
3HCDH_N,PF02737.20,180,9a8a6e441d6dea8617|7d1b2531b61a93ac96|7d1b2531b61a93ac96|634458|NZ_KB901875.1:43481-68843(REV);19372;20760;-,10.1,0.025,463,1,30,8,37
3HCDH_N,PF02737.20,180,9a8a6e441d6dea8617|7d1b2531b61a93ac96|7d1b2531b61a93ac96|634458|NZ_KB901875.1:43481-68843(REV);19372;20760;-,10.1,0.025,463,3,48,181,226
4HBT,PF03061.24,79,9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD);21753;22244;-,62.3,1.8e-18,164,0,74,32,106
4HBT_2,PF13279.8,123,9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD);21753;22244;-,15.5,0.00084,164,45,94,61,113
4HBT_3,PF13622.8,250,9a8a6e441d6dea8617|7d1b2531b61a93ac96|7d1b2531b61a93ac96|634458|NZ_KB901875.1:1736472-1761834(FWD);579;1604;+,16.4,0.00039,342,77,186,177,278
5-FTHF_cyc-lig,PF01812.22,187,9a8a6e441d6dea8617|7d1b2531b61a93ac96|7d1b2531b61a93ac96|634458|NZ_KB901875.1:1736472-1761834(FWD);8473;9060;+,119.6,6.5e-36,196,1,187,9,186
6PGD,PF00393.21,290,9a8a6e441d6dea8617|9cf784f5c9bd9f5766|9cf784f5c9bd9f5766|634458|NZ_KB901875.1:285128-310490(REV);6651;7748;+,87.0,6.3e-26,366,0,29,208,237
6PGD,PF00393.21,290,9a8a6e441d6dea8617|9cf784f5c9bd9f5766|9cf784f5c9bd9f5766|634458|NZ_KB901875.1:285128-310490(REV);6651;7748;+,87.0,6.3e-26,366,168,281,256,363
AAA,PF00004.31,132,9a8a6e441d6dea8617|6c77dac62c5da2c756|7fbb7c9bc9060c548f|5324001|NZ_CP039268.1:720712-746008(FWD);19886;21001;-,68.6,3.2e-20,372,0,131,57,182
AAA,PF00004.31,132,9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD);7998;8942;-,56.5,1.7e-16,315,1,131,78,210
AAA,PF00004.31,132,9a8a6e441d6dea8617|6c77dac62c5da2c756|2d84983eb29471a5ac|5324001|NZ_CP039268.1:2581557-2606853(REV);9221;10549;-,56.0,2.4e-16,443,0,99,52,145
AAA,PF00004.31,132,9a8a6e441d6dea8617|6c77dac62c5da2c756|2d84983eb29471a5ac|5324001|NZ_CP039268.1:2581557-2606853(REV);9221;10549;-,56.0,2.4e-16,443,50,130,243,331
AAA,PF00004.31,132,9a8a6e441d6dea8617|f31ea0ba1deee8f29c|b19024212cf4585e79|634458|NZ_KB901875.1:385140-410553(FWD);952;2808;+,30.3,2.1e-08,619,0,116,329,453
AAA,PF00004.31,132,9a8a6e441d6dea8617|3d74dae76c17b49458|6dd80de750862af905|634458|NZ_KB901875.1:1815035-1840397(FWD);11367;12338;+,19.6,4.3e-05,324,0,111,42,153
AAA,PF00004.31,132,9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD);1754;2800;+,18.9,6.9e-05,349,1,94,36,181
AAA,PF00004.31,132,9a8a6e441d6dea8617|7995e913e67065bfbc|7995e913e67065bfbc|903711|NZ_LT635859.1:300863-326276(REV);21113;22654;+,18.7,8.2e-05,514,46,68,189,207
AAA,PF00004.31,132,9a8a6e441d6dea8617|7995e913e67065bfbc|7995e913e67065bfbc|903711|NZ_LT635859.1:300863-326276(REV);21113;22654;+,18.7,8.2e-05,514,0,112,262,424
