Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	2bce6e5989f64eecdf|191bfd6885f87d5299|fc1509b15018d1d0dd|2316421|RDYJ01000126.1:0-11065(REV)_1	149	284	0.0041	13.4	112	558	2bce6e5989f64eecdf|191bfd6885f87d5299|fc1509b15018d1d0dd|2316421|RDYJ01000126.1:0-11065(REV)	1	0.2684563758389262	0.13380281690140844	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|191bfd6885f87d5299|fc1509b15018d1d0dd|2316421|RDYJ01000126.1:0-11065(REV)_2	340	284	1.9e-05	21.1	795	1814	2bce6e5989f64eecdf|191bfd6885f87d5299|fc1509b15018d1d0dd|2316421|RDYJ01000126.1:0-11065(REV)	2	0.25882352941176473	0.2992957746478873	1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|1fae5fdad2a431c977|1fae5fdad2a431c977|502808|NC_019682.1:692945-718652(FWD)_14	285	284	7.7e-08	28.9	16676	17530	2bce6e5989f64eecdf|1fae5fdad2a431c977|1fae5fdad2a431c977|502808|NC_019682.1:692945-718652(FWD)	14	0.22105263157894736	0.22183098591549297	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|1fae5fdad2a431c977|c36e017a2a76f86c9e|1822741|LXQD01000300.1:33716-59423(REV)_17	373	284	0.0051	13.1	21301	22419	2bce6e5989f64eecdf|1fae5fdad2a431c977|c36e017a2a76f86c9e|1822741|LXQD01000300.1:33716-59423(REV)	17	0.10991957104557641	0.14084507042253522	1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|52919676421768ca22|2dcc0788ec81bdd886|1232611|NZ_AP018290.1:5015933-5041640(FWD)_5	422	284	0.015	11.6	5194	6459	2bce6e5989f64eecdf|52919676421768ca22|2dcc0788ec81bdd886|1232611|NZ_AP018290.1:5015933-5041640(FWD)	5	0.16113744075829384	0.22535211267605634	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|52919676421768ca22|9e82f5cc9ae941fba0|8437871|JACYLQ010000036.1:9717-35424(REV)_6	423	284	0.012	11.9	6460	7728	2bce6e5989f64eecdf|52919676421768ca22|9e82f5cc9ae941fba0|8437871|JACYLQ010000036.1:9717-35424(REV)	6	0.15602836879432624	0.21830985915492956	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|71db47efec036a3000|71db47efec036a3000|2318131|AP018280.1:1589805-1615512(FWD)_5	431	284	0.017	11.4	4837	6129	2bce6e5989f64eecdf|71db47efec036a3000|71db47efec036a3000|2318131|AP018280.1:1589805-1615512(FWD)	5	0.1345707656612529	0.19718309859154928	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|84eff93e3cb8dc70bd|303719acf54d8fdc82|6654071|NZ_JHEG04000001.1:1142141-1167848(FWD)_7	426	284	0.0073	12.6	3702	4979	2bce6e5989f64eecdf|84eff93e3cb8dc70bd|303719acf54d8fdc82|6654071|NZ_JHEG04000001.1:1142141-1167848(FWD)	7	0.1807511737089202	0.25704225352112675	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|84eff93e3cb8dc70bd|84eff93e3cb8dc70bd|739281|NZ_KQ976354.1:2373408-2399115(FWD)_4	426	284	0.017	11.4	3329	4606	2bce6e5989f64eecdf|84eff93e3cb8dc70bd|84eff93e3cb8dc70bd|739281|NZ_KQ976354.1:2373408-2399115(FWD)	4	0.16666666666666666	0.23591549295774647	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|84eff93e3cb8dc70bd|efbfb9ec4e91daf774|5364591|NZ_WJFC01000124.1:11915-37051(FWD)_6	426	284	0.017	11.4	3146	4423	2bce6e5989f64eecdf|84eff93e3cb8dc70bd|efbfb9ec4e91daf774|5364591|NZ_WJFC01000124.1:11915-37051(FWD)	6	0.16666666666666666	0.23591549295774647	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|87ddc4ab3812eb7f51|87ddc4ab3812eb7f51|8831111|JAECZB010000092.1:219460-245167(FWD)_5	427	284	0.0055	13.0	3255	4535	2bce6e5989f64eecdf|87ddc4ab3812eb7f51|87ddc4ab3812eb7f51|8831111|JAECZB010000092.1:219460-245167(FWD)	5	0.1873536299765808	0.27816901408450706	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|935c9f0dba147d4aa5|935c9f0dba147d4aa5|2316221|RDXV01000019.1:10467-36348(FWD)_20	368	284	2.3e-06	24.1	18719	19822	2bce6e5989f64eecdf|935c9f0dba147d4aa5|935c9f0dba147d4aa5|2316221|RDXV01000019.1:10467-36348(FWD)	20	0.4320652173913043	0.5633802816901409	1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|935c9f0dba147d4aa5|935c9f0dba147d4aa5|2316221|RDXV01000019.1:10467-36348(FWD)_22	307	284	2.3e-05	20.8	21088	22008	2bce6e5989f64eecdf|935c9f0dba147d4aa5|935c9f0dba147d4aa5|2316221|RDXV01000019.1:10467-36348(FWD)	22	0.16938110749185667	0.176056338028169	-1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|9dd4c34156bcd5706b|0b3713c0bc3ca227b2|1232561|NZ_AP018298.1:797349-823059(FWD)_16	263	284	0.0029	13.9	16229	17017	2bce6e5989f64eecdf|9dd4c34156bcd5706b|0b3713c0bc3ca227b2|1232561|NZ_AP018298.1:797349-823059(FWD)	16	0.714828897338403	0.6549295774647887	1
AbiEii_0_CAS-III	2bce6e5989f64eecdf|9dd4c34156bcd5706b|0b3713c0bc3ca227b2|1232561|NZ_AP018298.1:797349-823059(FWD)_5	447	284	0.0047	13.2	4938	6278	2bce6e5989f64eecdf|9dd4c34156bcd5706b|0b3713c0bc3ca227b2|1232561|NZ_AP018298.1:797349-823059(FWD)	5	0.07158836689038031	0.1056338028169014	1
