Contig	Start	End	Strand	Pos
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	1	849	1	1
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	902	1705	-1	2
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	1799	2335	1	3
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	2517	3260	1	4
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	3257	4534	1	5
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	4607	5068	1	6
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	5118	6488	1	7
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	6505	7974	1	8
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	8157	10115	-1	9
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	10293	10631	1	10
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	10753	11691	1	11
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	11695	12375	1	12
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	12500	12817	1	13
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	12986	14131	1	14
56bf9d999b00b23351|9c6399c54005d002d0|68013e91cc4690961e|1192031|NZ_NTGE01000210.1:39375-64692(FWD)	14049	15302	-1	15
