recid,phash,qhash
GUT_GENOME224653_1,89f9bbf9c5e9e5df9c19,37033af95253cb98735b
GUT_GENOME224653_1,5914478912a7bded477e,89f9bbf9c5e9e5df9c19
GUT_GENOME224653_1,5914478912a7bded477e,37033af95253cb98735b
GUT_GENOME224653_1,7b466919fef39b713dd0,5914478912a7bded477e
GUT_GENOME224653_1,7b466919fef39b713dd0,89f9bbf9c5e9e5df9c19
GUT_GENOME224653_1,7b466919fef39b713dd0,37033af95253cb98735b
GUT_GENOME224653_1,b228b4cae9a9c171599f,7b466919fef39b713dd0
GUT_GENOME224653_1,b228b4cae9a9c171599f,5914478912a7bded477e
GUT_GENOME224653_1,b228b4cae9a9c171599f,89f9bbf9c5e9e5df9c19
GUT_GENOME224653_1,b228b4cae9a9c171599f,37033af95253cb98735b
GUT_GENOME224653_1,ce79bb42c5b2113fed5e,b228b4cae9a9c171599f
GUT_GENOME224653_1,ce79bb42c5b2113fed5e,7b466919fef39b713dd0
GUT_GENOME224653_1,ce79bb42c5b2113fed5e,5914478912a7bded477e
GUT_GENOME224653_1,ce79bb42c5b2113fed5e,89f9bbf9c5e9e5df9c19
GUT_GENOME224653_1,a6053f0e2a7b8073ed59,ce79bb42c5b2113fed5e
GUT_GENOME224653_1,a6053f0e2a7b8073ed59,b228b4cae9a9c171599f
GUT_GENOME224653_1,a6053f0e2a7b8073ed59,7b466919fef39b713dd0
GUT_GENOME224653_1,a6053f0e2a7b8073ed59,5914478912a7bded477e
GUT_GENOME224653_1,a6053f0e2a7b8073ed59,89f9bbf9c5e9e5df9c19
GUT_GENOME224653_1,57f888193c35f0d160f3,a6053f0e2a7b8073ed59
GUT_GENOME224653_1,57f888193c35f0d160f3,ce79bb42c5b2113fed5e
GUT_GENOME224653_1,57f888193c35f0d160f3,b228b4cae9a9c171599f
GUT_GENOME224653_1,57f888193c35f0d160f3,7b466919fef39b713dd0
GUT_GENOME224653_1,57f888193c35f0d160f3,5914478912a7bded477e
GUT_GENOME224653_1,6ccb4d932e279f286b06,57f888193c35f0d160f3
GUT_GENOME224653_1,6ccb4d932e279f286b06,a6053f0e2a7b8073ed59
GUT_GENOME224653_1,6ccb4d932e279f286b06,ce79bb42c5b2113fed5e
GUT_GENOME224653_1,6ccb4d932e279f286b06,b228b4cae9a9c171599f
GUT_GENOME224653_1,6ccb4d932e279f286b06,7b466919fef39b713dd0
GUT_GENOME224653_1,22283f951631b8cbdab7,6ccb4d932e279f286b06
GUT_GENOME224653_1,22283f951631b8cbdab7,57f888193c35f0d160f3
GUT_GENOME224653_1,22283f951631b8cbdab7,a6053f0e2a7b8073ed59
GUT_GENOME224653_1,22283f951631b8cbdab7,ce79bb42c5b2113fed5e
GUT_GENOME224653_1,22283f951631b8cbdab7,b228b4cae9a9c171599f
GUT_GENOME224653_1,1f586c7fbd93b3a3913c,22283f951631b8cbdab7
GUT_GENOME224653_1,1f586c7fbd93b3a3913c,6ccb4d932e279f286b06
GUT_GENOME224653_1,1f586c7fbd93b3a3913c,57f888193c35f0d160f3
GUT_GENOME224653_1,1f586c7fbd93b3a3913c,a6053f0e2a7b8073ed59
GUT_GENOME224653_1,1f586c7fbd93b3a3913c,ce79bb42c5b2113fed5e
GUT_GENOME224653_1,ecdbec68cd7d6c995e4b,1f586c7fbd93b3a3913c
GUT_GENOME224653_1,ecdbec68cd7d6c995e4b,22283f951631b8cbdab7
GUT_GENOME224653_1,ecdbec68cd7d6c995e4b,6ccb4d932e279f286b06
GUT_GENOME224653_1,ecdbec68cd7d6c995e4b,57f888193c35f0d160f3
GUT_GENOME224653_1,ecdbec68cd7d6c995e4b,a6053f0e2a7b8073ed59
GUT_GENOME224653_1,ecdbec68cd7d6c995e4b,ce79bb42c5b2113fed5e
GUT_GENOME224653_1,7d1a2558cdaf11f7a0b7,ecdbec68cd7d6c995e4b
GUT_GENOME224653_1,7d1a2558cdaf11f7a0b7,1f586c7fbd93b3a3913c
GUT_GENOME224653_1,7d1a2558cdaf11f7a0b7,22283f951631b8cbdab7
GUT_GENOME224653_1,7d1a2558cdaf11f7a0b7,6ccb4d932e279f286b06
GUT_GENOME224653_1,7d1a2558cdaf11f7a0b7,57f888193c35f0d160f3
GUT_GENOME224653_1,7d1a2558cdaf11f7a0b7,a6053f0e2a7b8073ed59
GUT_GENOME224653_1,7d1a2558cdaf11f7a0b7,ce79bb42c5b2113fed5e
GUT_GENOME224653_1,19f902c886534e9d71f9,7d1a2558cdaf11f7a0b7
GUT_GENOME224653_1,19f902c886534e9d71f9,ecdbec68cd7d6c995e4b
GUT_GENOME224653_1,19f902c886534e9d71f9,1f586c7fbd93b3a3913c
GUT_GENOME224653_1,19f902c886534e9d71f9,22283f951631b8cbdab7
GUT_GENOME224653_1,19f902c886534e9d71f9,6ccb4d932e279f286b06
GUT_GENOME224653_1,19f902c886534e9d71f9,57f888193c35f0d160f3
GUT_GENOME224653_1,19f902c886534e9d71f9,a6053f0e2a7b8073ed59
GUT_GENOME224653_1,f72c7247f922e3c9ad4a,19f902c886534e9d71f9
