Contig	Start	End	Strand	Pos
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	1	531	-1	1
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	528	1811	-1	2
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	1811	2608	-1	3
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	2620	3474	-1	4
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	3471	4469	-1	5
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	4586	6103	-1	6
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	6417	7073	-1	7
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	7275	8207	-1	8
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	8925	10139	1	9
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	10343	10606	1	10
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	10785	11741	1	11
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	11795	12517	1	12
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	12501	13409	1	13
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	13429	14358	-1	14
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	14692	15546	1	15
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	15826	16854	-1	16
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	16951	20793	1	17
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	21019	21867	1	18
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	21925	24018	1	19
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	24028	24618	-1	20
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	24711	24995	-1	21
0a3217e07a25d0cbe0|33da7df69618877003|33da7df69618877003|2004841|NZ_CP032543.1:6583845-6609753(REV)	25156	25908	-1	22
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	2	73	-1	1
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	290	1426	1	2
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	1423	2082	1	3
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	2094	3206	-1	4
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	3479	3694	1	5
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	3715	5568	1	6
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	5565	5822	1	7
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	5819	6259	1	8
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	6324	7157	1	9
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	7245	9362	-1	10
0a3217e07a25d0cbe0|55b22f1af9886d12bc|55b22f1af9886d12bc|3218461|NZ_VCKZ01000058.1:0-16271(REV)	9480	10631	-1	11
