recid,phash,qhash
CP049504.1,6372b8f618299563518d,0e9d328b6f18522fcd34
CP049504.1,bec767ec6574b3f4e280,6372b8f618299563518d
CP049504.1,bec767ec6574b3f4e280,0e9d328b6f18522fcd34
CP049504.1,5b14ef7d636d1c09e42e,bec767ec6574b3f4e280
CP049504.1,5b14ef7d636d1c09e42e,6372b8f618299563518d
CP049504.1,5b14ef7d636d1c09e42e,0e9d328b6f18522fcd34
CP049504.1,d71e9e8ba0c3aeb5d4a5,5b14ef7d636d1c09e42e
CP049504.1,d71e9e8ba0c3aeb5d4a5,bec767ec6574b3f4e280
CP049504.1,d71e9e8ba0c3aeb5d4a5,6372b8f618299563518d
CP049504.1,d71e9e8ba0c3aeb5d4a5,0e9d328b6f18522fcd34
CP049504.1,97be7e1146206f3aebe7,d71e9e8ba0c3aeb5d4a5
CP049504.1,97be7e1146206f3aebe7,5b14ef7d636d1c09e42e
CP049504.1,97be7e1146206f3aebe7,bec767ec6574b3f4e280
CP049504.1,97be7e1146206f3aebe7,6372b8f618299563518d
CP049504.1,97be7e1146206f3aebe7,0e9d328b6f18522fcd34
CP049504.1,97c95cf5348b3a639fc2,97be7e1146206f3aebe7
CP049504.1,97c95cf5348b3a639fc2,d71e9e8ba0c3aeb5d4a5
CP049504.1,97c95cf5348b3a639fc2,5b14ef7d636d1c09e42e
CP049504.1,97c95cf5348b3a639fc2,bec767ec6574b3f4e280
CP049504.1,97c95cf5348b3a639fc2,6372b8f618299563518d
CP049504.1,fa16aeafd8345f3b8428,97c95cf5348b3a639fc2
CP049504.1,fa16aeafd8345f3b8428,97be7e1146206f3aebe7
CP049504.1,fa16aeafd8345f3b8428,d71e9e8ba0c3aeb5d4a5
CP049504.1,cc5277ad2b1a76816dee,fa16aeafd8345f3b8428
CP049504.1,cc5277ad2b1a76816dee,97c95cf5348b3a639fc2
CP049504.1,cc5277ad2b1a76816dee,97be7e1146206f3aebe7
CP049504.1,94df351283d181e181b7,cc5277ad2b1a76816dee
CP049504.1,94df351283d181e181b7,fa16aeafd8345f3b8428
CP049504.1,94df351283d181e181b7,97c95cf5348b3a639fc2
CP049504.1,f4a229745bdbaa0f4446,94df351283d181e181b7
CP049504.1,f4a229745bdbaa0f4446,cc5277ad2b1a76816dee
CP049504.1,f4a229745bdbaa0f4446,fa16aeafd8345f3b8428
CP049504.1,f4a229745bdbaa0f4446,97c95cf5348b3a639fc2
CP049504.1,122dc34942eeec0e1771,f4a229745bdbaa0f4446
CP049504.1,122dc34942eeec0e1771,94df351283d181e181b7
CP049504.1,122dc34942eeec0e1771,cc5277ad2b1a76816dee
CP049504.1,122dc34942eeec0e1771,fa16aeafd8345f3b8428
CP049504.1,feb48052d24ddc2a45ee,122dc34942eeec0e1771
CP049504.1,feb48052d24ddc2a45ee,f4a229745bdbaa0f4446
CP049504.1,feb48052d24ddc2a45ee,94df351283d181e181b7
CP049504.1,feb48052d24ddc2a45ee,cc5277ad2b1a76816dee
CP049504.1,c09605e29debd129171d,feb48052d24ddc2a45ee
CP049504.1,c09605e29debd129171d,122dc34942eeec0e1771
CP049504.1,c09605e29debd129171d,f4a229745bdbaa0f4446
CP049504.1,c09605e29debd129171d,94df351283d181e181b7
CP049504.1,c09605e29debd129171d,cc5277ad2b1a76816dee
CP049504.1,ca96d6a2004cd28660f6,c09605e29debd129171d
CP049504.1,ca96d6a2004cd28660f6,feb48052d24ddc2a45ee
CP049504.1,ca96d6a2004cd28660f6,122dc34942eeec0e1771
CP049504.1,ca96d6a2004cd28660f6,f4a229745bdbaa0f4446
CP049504.1,ca96d6a2004cd28660f6,94df351283d181e181b7
CP049504.1,d6e9e32028470ba9d77f,ca96d6a2004cd28660f6
CP049504.1,d6e9e32028470ba9d77f,c09605e29debd129171d
CP049504.1,d6e9e32028470ba9d77f,feb48052d24ddc2a45ee
CP049504.1,d6e9e32028470ba9d77f,122dc34942eeec0e1771
CP049504.1,d6e9e32028470ba9d77f,f4a229745bdbaa0f4446
CP049504.1,4db40acb0a27d8008350,d6e9e32028470ba9d77f
CP049504.1,4db40acb0a27d8008350,ca96d6a2004cd28660f6
CP049504.1,4db40acb0a27d8008350,c09605e29debd129171d
CP049504.1,4db40acb0a27d8008350,feb48052d24ddc2a45ee
CP049504.1,4db40acb0a27d8008350,122dc34942eeec0e1771
CP049504.1,44d6cbd51c08eaa80e9a,4db40acb0a27d8008350
CP049504.1,44d6cbd51c08eaa80e9a,d6e9e32028470ba9d77f
CP049504.1,44d6cbd51c08eaa80e9a,ca96d6a2004cd28660f6
CP049504.1,44d6cbd51c08eaa80e9a,c09605e29debd129171d
CP049504.1,6698a04bdf99874b3d7d,44d6cbd51c08eaa80e9a
CP049504.1,6698a04bdf99874b3d7d,4db40acb0a27d8008350
CP049504.1,6698a04bdf99874b3d7d,d6e9e32028470ba9d77f
CP049504.1,6698a04bdf99874b3d7d,ca96d6a2004cd28660f6
CP049504.1,5733e774ea9511532af9,6698a04bdf99874b3d7d
CP049504.1,5733e774ea9511532af9,44d6cbd51c08eaa80e9a
CP049504.1,5733e774ea9511532af9,4db40acb0a27d8008350
