Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csb3_0_IU	e95a232b429ceb001b|1de30e90a92d77ae9f|820351dfdcdcb994bf|8120221|NZ_BMSY01000007.1:428792-454919(FWD)_3	492	282	0.0026	12.6	1840	3315	e95a232b429ceb001b|1de30e90a92d77ae9f|820351dfdcdcb994bf|8120221|NZ_BMSY01000007.1:428792-454919(FWD)	3	0.23577235772357724	0.425531914893617	1
Cmr3gr5_0_CAS-III-B-III-C	e95a232b429ceb001b|6aebcfe84a68e6396f|6aebcfe84a68e6396f|1772471|NZ_CP030073.1:7145926-7172047(FWD)_10	412	373	0.00073	13.6	9401	10636	e95a232b429ceb001b|6aebcfe84a68e6396f|6aebcfe84a68e6396f|1772471|NZ_CP030073.1:7145926-7172047(FWD)	10	0.17233009708737865	0.18498659517426275	-1
Cmr3gr5_0_CAS-III-B-III-C	e95a232b429ceb001b|92f4596a39cda433f3|7b8c0c91308c6277ac|4726221|NZ_CP023690.1:1984298-2010425(REV)_10	416	373	0.00087	13.3	8757	10004	e95a232b429ceb001b|92f4596a39cda433f3|7b8c0c91308c6277ac|4726221|NZ_CP023690.1:1984298-2010425(REV)	10	0.18028846153846154	0.19571045576407506	-1
Cmr3gr5_0_CAS-III-B-III-C	e95a232b429ceb001b|92f4596a39cda433f3|92f4596a39cda433f3|193311|NZ_JOJM01000011.1:52139-78266(REV)_10	416	373	0.00088	13.3	8757	10004	e95a232b429ceb001b|92f4596a39cda433f3|92f4596a39cda433f3|193311|NZ_JOJM01000011.1:52139-78266(REV)	10	0.18028846153846154	0.19571045576407506	-1
Cmr3gr5_0_CAS-III-B-III-C	e95a232b429ceb001b|92f4596a39cda433f3|942e715de9aaa3abb1|3318001|NZ_CP030771.1:1901613-1927740(REV)_10	416	373	0.00094	13.2	8758	10005	e95a232b429ceb001b|92f4596a39cda433f3|942e715de9aaa3abb1|3318001|NZ_CP030771.1:1901613-1927740(REV)	10	0.1778846153846154	0.19302949061662197	-1
Cmr3gr5_0_CAS-III-B-III-C	e95a232b429ceb001b|8040a649928db84388|c0541c212a775eb86b|5775131|NZ_JAAGLY010000035.1:15306-41418(REV)_10	411	373	0.0024	11.8	9298	10530	e95a232b429ceb001b|8040a649928db84388|c0541c212a775eb86b|5775131|NZ_JAAGLY010000035.1:15306-41418(REV)	10	0.18248175182481752	0.19571045576407506	-1
Cmr3gr5_0_CAS-III-B-III-C	e95a232b429ceb001b|55a51c711b04418305|fd017ac951723f7f6b|2352841|NZ_SNZM01000021.1:45538-71662(REV)_10	411	373	0.0064	10.5	9469	10701	e95a232b429ceb001b|55a51c711b04418305|fd017ac951723f7f6b|2352841|NZ_SNZM01000021.1:45538-71662(REV)	10	0.18491484184914841	0.19839142091152814	-1
AbiEii_0_CAS-III	e95a232b429ceb001b|6450258fa51256d9aa|6450258fa51256d9aa|1024121|NZ_MWJO01000021.1:54986-80630(FWD)_5	389	284	0.003	12.4	3481	4647	e95a232b429ceb001b|6450258fa51256d9aa|6450258fa51256d9aa|1024121|NZ_MWJO01000021.1:54986-80630(FWD)	5	0.06426735218508997	0.0880281690140845	-1
AbiEii_0_CAS-III	e95a232b429ceb001b|3057bae1d2512698e9|3057bae1d2512698e9|3589031|NZ_BJND01000016.1:305784-319583(FWD)_5	621	284	0.0052	11.6	3775	5637	e95a232b429ceb001b|3057bae1d2512698e9|3057bae1d2512698e9|3589031|NZ_BJND01000016.1:305784-319583(FWD)	5	0.040257648953301126	0.0880281690140845	-1
AbiEii_0_CAS-III	e95a232b429ceb001b|22521d85e331bd310d|22521d85e331bd310d|8383711|NZ_JADDXU010000012.1:43869-69984(REV)_5	619	284	0.0053	11.6	3717	5573	e95a232b429ceb001b|22521d85e331bd310d|22521d85e331bd310d|8383711|NZ_JADDXU010000012.1:43869-69984(REV)	5	0.04038772213247173	0.0880281690140845	-1
AbiEii_0_CAS-III	e95a232b429ceb001b|22521d85e331bd310d|81d3c1385cc203f7ca|2173221|NZ_CP034463.1:2097995-2124095(REV)_5	619	284	0.0053	11.6	3805	5661	e95a232b429ceb001b|22521d85e331bd310d|81d3c1385cc203f7ca|2173221|NZ_CP034463.1:2097995-2124095(REV)	5	0.04038772213247173	0.0880281690140845	-1
