recid,phash,qhash
AAMHQY010000006.1,7b9ccc3ad4392616246f,50d63f4dffda2e320b2f
AAMHQY010000006.1,499384a65e3ed9fc3fd7,7b9ccc3ad4392616246f
AAMHQY010000006.1,10938eacb7db8fecfcc2,499384a65e3ed9fc3fd7
AAMHQY010000009.1,d130f00bf34f5dc39ba6,1637f0e558945423abfa
AAMHQY010000009.1,917ba2e349450c388083,d130f00bf34f5dc39ba6
AAMHQY010000013.1,752391d97017ee1ad87d,310425f82d2336398ad6
AAMHQY010000013.1,de3b6f35c76ea300f540,752391d97017ee1ad87d
AAMHQY010000013.1,10c78359c72a5a035229,783b3e1247f03bb611e2
AAMHQY010000013.1,d384e443ab88d6d68225,10c78359c72a5a035229
AAMHQY010000016.1,499384a65e3ed9fc3fd7,31fe44940b780e4acd9b
AAMHQY010000016.1,677edc46c69d85b4978c,499384a65e3ed9fc3fd7
AAMHQY010000018.1,aa9b13c6fd74bfb80c34,89ecba60a2edbe3cb713
AAMHQY010000018.1,98b56c756b0af900185c,aa9b13c6fd74bfb80c34
AADRZJ010000003.1,649435b736cc5b85472b,7f3ffdb1794f9716a95d
AADRZJ010000003.1,9a9d912d8028e64ae3d8,649435b736cc5b85472b
AADRZJ010000003.1,4a6703c9b995f4dcf126,38de2e837a4cb7b4b2af
AADRZJ010000003.1,933c99201a3dbd230c25,4a6703c9b995f4dcf126
AADRZJ010000005.1,48b22c7b8b1069dfda60,ed58925404f6d481df4a
AADRZJ010000005.1,98b56c756b0af900185c,48b22c7b8b1069dfda60
AADRZJ010000005.1,d5c062f121b4fb6f7781,7915dd3bc470af729c8a
AADRZJ010000005.1,f7618d8963844837616f,d5c062f121b4fb6f7781
AADRZJ010000006.1,752391d97017ee1ad87d,3280d40f0c674cab8747
AADRZJ010000006.1,3d0704a77aacbb62db76,752391d97017ee1ad87d
AADRZJ010000007.1,6fb436e9ca7c60774e12,272427e2a6b3fde40fbe
AADRZJ010000007.1,c8c7188576dc52eecbdf,6fb436e9ca7c60774e12
AADRZJ010000009.1,04f9ff767bf80d62249a,9e83f3524a6037f74f64
AADRZJ010000009.1,775ded4044ce93309b0c,04f9ff767bf80d62249a
AADRZJ010000009.1,13d6b8afaa15276de589,cf16775dd400cab3f72e
AADRZJ010000009.1,a67acf8026d81dbe2467,13d6b8afaa15276de589
AADRZJ010000012.1,b15ddee4d2a40847813e,499cdc231ae5e848d911
AADRZJ010000012.1,3bb61122f431d3ef2b15,b15ddee4d2a40847813e
AADRZJ010000012.1,499384a65e3ed9fc3fd7,869381527469cee3f3c4
AADRZJ010000012.1,f5676b4d3ef231e55c7f,499384a65e3ed9fc3fd7
CAAJYD010000001.1,c31dd710157ad13c52bd,b796a8b70a2483c75818
CAAJYD010000001.1,6af4de946e0a0c64559f,c31dd710157ad13c52bd
CAAJYD010000001.1,a595968de9ab42b30e44,523a9ba611dc599749b2
CAAJYD010000001.1,21b09a819cd6370fe64a,a595968de9ab42b30e44
CAAJYD010000001.1,b1e42fbc73487c44d1af,19d427c6b68ceaa2aed5
CAAJYD010000001.1,4a554b8c317c1e995804,b1e42fbc73487c44d1af
CAAJYD010000002.1,417987eb99f58dc7374e,2668d81b007df1d6560b
CAAJYD010000002.1,2adccc9c200a13bd19da,417987eb99f58dc7374e
CAAJYD010000003.1,5bd83a6ba29219ca6b84,6973d83ea4e164913889
CAAJYD010000003.1,bc24dc93a44460b351d8,5bd83a6ba29219ca6b84
CAAJYD010000003.1,217084d8c699c2667051,cd5b3a91c49daeaf47cc
CAAJYD010000003.1,2013c5a12f3153b77d3c,217084d8c699c2667051
CAAJYD010000005.1,5452037aa52bd7d0e4a0,516d12cd6e252be20687
CAAJYD010000005.1,4fa87d71ff47a73884bf,5452037aa52bd7d0e4a0
CAAJYD010000005.1,e7fd31c8ac673bb3335d,7b66d5b110674288d30f
CAAJYD010000005.1,1fcdac54f275f4ab6086,e7fd31c8ac673bb3335d
CAAJYD010000006.1,c8f4ce9a31b667319377,3f7bd30b57bd245b7a29
CAAJYD010000006.1,59b0ce52e30d100949dd,c8f4ce9a31b667319377
CAAJYD010000006.1,b2868d878a12d8514497,af87e1435d4cc2eac8a7
CAAJYD010000006.1,694965bf93213e013750,b2868d878a12d8514497
CAAJYD010000006.1,aa330ae99b5b7c49f608,16165e45dfc1c43efd54
CAAJYD010000006.1,f81cbeded95af225aa3b,aa330ae99b5b7c49f608
CAAJYD010000007.1,0da4c04fd4cfb47841e2,882cb5ef5db7699554cd
CAAJYD010000007.1,fc1167b31d7a742aea5b,0da4c04fd4cfb47841e2
CAAJYD010000007.1,417987eb99f58dc7374e,83b8d303c97653b7d75d
CAAJYD010000007.1,9aab9318a855506c0eb1,417987eb99f58dc7374e
CAAJYD010000008.1,8b2ab62cdc48ba3f1a40,ecab8050b33472910b2a
CAAJYD010000008.1,67981bf1a5836bee0d27,8b2ab62cdc48ba3f1a40
CAAJYD010000010.1,52bfd82e72277f95a1a0,67d809431ac49c272307
CAAJYD010000010.1,3bbe986aa0538a4ba6ca,52bfd82e72277f95a1a0
CAAJYD010000015.1,fb389146b66bb9cbe0b4,0d350c1b5d6036da6754
CAAJYD010000015.1,22b97c7088569a26826a,fb389146b66bb9cbe0b4
CAAJYD010000015.1,66ea98509c1a14c627cb,22b97c7088569a26826a
CAAJYD010000015.1,de6536e5be56bc734731,34b6140e98193d013752
CAAJYD010000015.1,7d4ce0b941bc92849b8e,de6536e5be56bc734731
CAAJYD010000015.1,b9264ea715ae3d98035b,96bd93c5c4ec2ebb376d
CAAJYD010000015.1,9a26c3b87cefd11853ab,b9264ea715ae3d98035b
CAAJYD010000015.1,0230ab02a388984ffea8,fa932632b501527e99be
CAAJYD010000015.1,691d26aeee7381f09a48,0230ab02a388984ffea8
CAAJYD010000015.1,646a12cab538d2cdb9a1,431acedf07044e9070be
CAAJYD010000015.1,b499923c9c994931b54b,646a12cab538d2cdb9a1
CAAJYD010000015.1,86ec80d923c7a6a067db,b433fb296be3de34f318
CAAJYD010000015.1,e43df452de5068511a17,86ec80d923c7a6a067db
CAAJYD010000015.1,079e7c517a74d069d4d6,5f833d52765f6872e8da
CAAJYD010000015.1,166011a07f873b2f17ef,079e7c517a74d069d4d6
CAAJYD010000015.1,3c87bb7175e8b1c49765,166011a07f873b2f17ef
CAAJYD010000016.1,74500774fbf64fadc872,cf9f24a73356d8519e10
CAAJYD010000016.1,4ff5cb81ffbd3c641e2f,74500774fbf64fadc872
CAAJYD010000021.1,bc13b26b900ad991cbba,ff0b04f065a254cc04c9
