Contig	Start	End	Strand	Pos
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	3	131	-1	1
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	401	892	1	2
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	897	1685	-1	3
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	2057	4969	1	4
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	4966	5463	1	5
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	5460	5867	1	6
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	5848	6504	1	7
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	6548	7801	1	8
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	7774	8835	-1	9
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	8948	9268	-1	10
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	9255	9911	-1	11
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	10244	11182	-1	12
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	11306	12412	1	13
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	12501	13337	1	14
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	13362	14858	-1	15
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	14855	16216	-1	16
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	16698	17945	-1	17
