Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_1_CAS-III-A	1b0744e098d12904a7|1f380a26e408342a7e|1f380a26e408342a7e|1702721|QEFK01000010.1:0-7784(REV)_13	127	335	0.0037	11.4	6283	6663	1b0744e098d12904a7|1f380a26e408342a7e|1f380a26e408342a7e|1702721|QEFK01000010.1:0-7784(REV)	13	0.6771653543307087	0.27761194029850744	1
AbiEii_1_CAS-III-A	1b0744e098d12904a7|2b6ca6b9eb4891268f|2b6ca6b9eb4891268f|37708|NC_009440.1:57866-83708(FWD)_23	129	335	0.0038	11.3	14261	14647	1b0744e098d12904a7|2b6ca6b9eb4891268f|2b6ca6b9eb4891268f|37708|NC_009440.1:57866-83708(FWD)	23	0.6744186046511628	0.2417910447761194	1
AbiEii_1_CAS-III-A	1b0744e098d12904a7|772c3aba9d6cf37ab8|772c3aba9d6cf37ab8|EARTH_3300005964_14|3300005964.a:Ga0081529_120460:17296-43123(REV)_23	127	335	0.0038	11.3	14293	14673	1b0744e098d12904a7|772c3aba9d6cf37ab8|772c3aba9d6cf37ab8|EARTH_3300005964_14|3300005964.a:Ga0081529_120460:17296-43123(REV)	23	0.6535433070866141	0.26865671641791045	1
AbiEii_1_CAS-III-A	1b0744e098d12904a7|9ea7bc175fe1ce5975|9ea7bc175fe1ce5975|5366641|NZ_CP045483.1:350684-376511(FWD)_22	126	335	0.011	9.8	14284	14661	1b0744e098d12904a7|9ea7bc175fe1ce5975|9ea7bc175fe1ce5975|5366641|NZ_CP045483.1:350684-376511(FWD)	22	0.6349206349206349	0.22686567164179106	1
AbiEii_1_CAS-III-A	1b0744e098d12904a7|b1c4c08ff4acc9e8b6|b1c4c08ff4acc9e8b6|7280851|NZ_CP049074.1:1007242-1033084(FWD)_23	129	335	0.0031	11.6	14261	14647	1b0744e098d12904a7|b1c4c08ff4acc9e8b6|b1c4c08ff4acc9e8b6|7280851|NZ_CP049074.1:1007242-1033084(FWD)	23	0.6666666666666666	0.23880597014925373	1
AbiEii_1_CAS-III-A	1b0744e098d12904a7|eafdacc0a7589dc1a6|eafdacc0a7589dc1a6|6721971|NZ_CP029287.2:1325097-1350939(REV)_24	129	335	0.0041	11.2	14256	14642	1b0744e098d12904a7|eafdacc0a7589dc1a6|eafdacc0a7589dc1a6|6721971|NZ_CP029287.2:1325097-1350939(REV)	24	0.6744186046511628	0.2417910447761194	1
Cas12f2_1_CAS-V-F	1b0744e098d12904a7|0dcafd02e05116037b|0dcafd02e05116037b|790561|NZ_CP017006.1:443889-469716(FWD)_20	71	422	0.0014	12.7	13343	13555	1b0744e098d12904a7|0dcafd02e05116037b|0dcafd02e05116037b|790561|NZ_CP017006.1:443889-469716(FWD)	20	0.5211267605633803	0.08767772511848342	1
Cas12f2_1_CAS-V-F	1b0744e098d12904a7|2b6ca6b9eb4891268f|2b6ca6b9eb4891268f|37708|NC_009440.1:57866-83708(FWD)_20	73	422	0.00047	14.2	13342	13560	1b0744e098d12904a7|2b6ca6b9eb4891268f|2b6ca6b9eb4891268f|37708|NC_009440.1:57866-83708(FWD)	20	0.4931506849315068	0.08530805687203792	1
Cas12f2_1_CAS-V-F	1b0744e098d12904a7|5f40f67e44554af106|5f40f67e44554af106|356988|NZ_JH597768.1:383161-409006(REV)_19	73	422	0.0013	12.8	13343	13561	1b0744e098d12904a7|5f40f67e44554af106|5f40f67e44554af106|356988|NZ_JH597768.1:383161-409006(REV)	19	0.4931506849315068	0.08530805687203792	1
Cas12f2_1_CAS-V-F	1b0744e098d12904a7|b1c4c08ff4acc9e8b6|b1c4c08ff4acc9e8b6|7280851|NZ_CP049074.1:1007242-1033084(FWD)_1	115	422	0.00021	15.4	520	864	1b0744e098d12904a7|b1c4c08ff4acc9e8b6|b1c4c08ff4acc9e8b6|7280851|NZ_CP049074.1:1007242-1033084(FWD)	1	0.4956521739130435	0.13270142180094788	-1
Cas12f2_1_CAS-V-F	1b0744e098d12904a7|b1c4c08ff4acc9e8b6|b1c4c08ff4acc9e8b6|7280851|NZ_CP049074.1:1007242-1033084(FWD)_20	73	422	0.0043	11.1	13342	13560	1b0744e098d12904a7|b1c4c08ff4acc9e8b6|b1c4c08ff4acc9e8b6|7280851|NZ_CP049074.1:1007242-1033084(FWD)	20	0.4794520547945205	0.08293838862559241	1
Cas12f4_0_CAS-V-F	1b0744e098d12904a7|1b0744e098d12904a7|1b0744e098d12904a7|274058|NC_015435.1:1777122-1802973(REV)_21	73	577	0.0054	10.1	13342	13560	1b0744e098d12904a7|1b0744e098d12904a7|1b0744e098d12904a7|274058|NC_015435.1:1777122-1802973(REV)	21	0.4657534246575342	0.060658578856152515	1
Cas2_0_I-II-III	1b0744e098d12904a7|dfce2534e6c1d55c94|3eb3c914236cc7dd3f|732271|NZ_LT549890.1:631874-657701(REV)_29	489	96	0.00094	14.4	18389	19855	1b0744e098d12904a7|dfce2534e6c1d55c94|3eb3c914236cc7dd3f|732271|NZ_LT549890.1:631874-657701(REV)	29	0.09815950920245399	0.4895833333333333	-1
Cas3_0_IU	1b0744e098d12904a7|1f380a26e408342a7e|b1821971268e412f1a|688768|NZ_APJY01000002.1:186589-212419(FWD)_3	113	864	0.0026	10.6	1413	1751	1b0744e098d12904a7|1f380a26e408342a7e|b1821971268e412f1a|688768|NZ_APJY01000002.1:186589-212419(FWD)	3	0.7699115044247787	0.10069444444444445	1
CasR_0_CAS-III-B-III-D	1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)_16	169	255	0.32	5.4	7468	7974	1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	16	0.6035502958579881	0.27058823529411763	1
CorA_1_CAS-III-D	1b0744e098d12904a7|28942f298e7d4ae2ba|28942f298e7d4ae2ba|1396731|NZBT01000018.1:11203-29395(FWD)_18	136	566	0.0029	10.8	8601	9008	1b0744e098d12904a7|28942f298e7d4ae2ba|28942f298e7d4ae2ba|1396731|NZBT01000018.1:11203-29395(FWD)	18	0.375	0.09540636042402827	1
Csm2gr11_1_CAS-III-D	1b0744e098d12904a7|0dcafd02e05116037b|0dcafd02e05116037b|790561|NZ_CP017006.1:443889-469716(FWD)_30	1055	149	0.00044	15.1	21897	25061	1b0744e098d12904a7|0dcafd02e05116037b|0dcafd02e05116037b|790561|NZ_CP017006.1:443889-469716(FWD)	30	0.05402843601895735	0.37583892617449666	1
Csm2gr11_5_CAS-III-A	1b0744e098d12904a7|eafdacc0a7589dc1a6|eafdacc0a7589dc1a6|6721971|NZ_CP029287.2:1325097-1350939(REV)_10	217	120	0.0041	12.1	4383	5033	1b0744e098d12904a7|eafdacc0a7589dc1a6|eafdacc0a7589dc1a6|6721971|NZ_CP029287.2:1325097-1350939(REV)	10	0.3456221198156682	0.31666666666666665	1
Csx20_0_CAS-I-III	1b0744e098d12904a7|dfce2534e6c1d55c94|1c9fe20833db331986|43428|NC_012623.1:1248164-1273991(REV)_12	150	131	0.00077	14.6	8125	8574	1b0744e098d12904a7|dfce2534e6c1d55c94|1c9fe20833db331986|43428|NC_012623.1:1248164-1273991(REV)	12	0.3333333333333333	0.366412213740458	1
Csx20_2_CAS-I-III	1b0744e098d12904a7|dfce2534e6c1d55c94|1c9fe20833db331986|43428|NC_012623.1:1248164-1273991(REV)_12	150	131	0.0015	13.4	8125	8574	1b0744e098d12904a7|dfce2534e6c1d55c94|1c9fe20833db331986|43428|NC_012623.1:1248164-1273991(REV)	12	0.31333333333333335	0.3435114503816794	1
