Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	d2248a31d0e133ef11|0d87d49b403f117f24|f90040bffa27c03467|5499231|NZ_QWEK01000034.1:1528-26920(REV)_5	308	284	6.3e-05	19.9	3598	4521	d2248a31d0e133ef11|0d87d49b403f117f24|f90040bffa27c03467|5499231|NZ_QWEK01000034.1:1528-26920(REV)	5	0.288961038961039	0.29225352112676056	-1
AbiEii_0_CAS-III	d2248a31d0e133ef11|0e881a486d26dd1fc2|0e881a486d26dd1fc2|1693891|NZ_BDUD01000001.1:1345684-1370992(REV)_19	447	284	0.0043	13.8	20530	21870	d2248a31d0e133ef11|0e881a486d26dd1fc2|0e881a486d26dd1fc2|1693891|NZ_BDUD01000001.1:1345684-1370992(REV)	19	0.0738255033557047	0.10915492957746478	1
AbiEii_0_CAS-III	d2248a31d0e133ef11|0e881a486d26dd1fc2|0e881a486d26dd1fc2|1693891|NZ_BDUD01000001.1:5303000-5328308(FWD)_19	295	284	5.9e-07	26.5	20245	21129	d2248a31d0e133ef11|0e881a486d26dd1fc2|0e881a486d26dd1fc2|1693891|NZ_BDUD01000001.1:5303000-5328308(FWD)	19	0.288135593220339	0.2852112676056338	1
AbiEii_0_CAS-III	d2248a31d0e133ef11|0e881a486d26dd1fc2|0e881a486d26dd1fc2|1693891|NZ_BDUD01000001.1:5303000-5328308(FWD)_22	685	284	0.02	11.6	23252	25306	d2248a31d0e133ef11|0e881a486d26dd1fc2|0e881a486d26dd1fc2|1693891|NZ_BDUD01000001.1:5303000-5328308(FWD)	22	0.05547445255474453	0.13732394366197184	1
AbiEii_0_CAS-III	d2248a31d0e133ef11|1695b158f693cc6c7a|1695b158f693cc6c7a|7797041|CAIWDD010000069.1:11403-24481(REV)_12	277	284	0.00011	19.1	11077	11907	d2248a31d0e133ef11|1695b158f693cc6c7a|1695b158f693cc6c7a|7797041|CAIWDD010000069.1:11403-24481(REV)	12	0.3574007220216607	0.3345070422535211	-1
AbiEii_0_CAS-III	d2248a31d0e133ef11|1695b158f693cc6c7a|79fd5390b0574b0255|1232521|NZ_AP018194.1:8454533-8479931(FWD)_3	282	284	3.4e-05	20.7	1982	2827	d2248a31d0e133ef11|1695b158f693cc6c7a|79fd5390b0574b0255|1232521|NZ_AP018194.1:8454533-8479931(FWD)	3	0.16312056737588654	0.15492957746478872	-1
AbiEii_0_CAS-III	d2248a31d0e133ef11|2b65bf5fb70447d791|2b65bf5fb70447d791|EARTH_3300027823_50|3300027823.a:Ga0209490_10011850:0-7519(FWD)_9	374	284	5.8e-09	33.1	5963	7084	d2248a31d0e133ef11|2b65bf5fb70447d791|2b65bf5fb70447d791|EARTH_3300027823_50|3300027823.a:Ga0209490_10011850:0-7519(FWD)	9	0.446524064171123	0.573943661971831	1
AbiEii_0_CAS-III	d2248a31d0e133ef11|3a7e33d6edf34180d8|24b5a680dff2b05cfe|GUT_GENOME159033|GUT_GENOME159033_1:0-16266(REV)_11	215	284	4.7e-09	33.4	7590	8234	d2248a31d0e133ef11|3a7e33d6edf34180d8|24b5a680dff2b05cfe|GUT_GENOME159033|GUT_GENOME159033_1:0-16266(REV)	11	0.5953488372093023	0.44014084507042256	-1
AbiEii_0_CAS-III	d2248a31d0e133ef11|3a7e33d6edf34180d8|f63cc71002dd6829e9|GUT_GENOME113104|GUT_GENOME113104_4:0-10423(FWD)_11	215	284	7.9e-09	32.7	8978	9622	d2248a31d0e133ef11|3a7e33d6edf34180d8|f63cc71002dd6829e9|GUT_GENOME113104|GUT_GENOME113104_4:0-10423(FWD)	11	0.5953488372093023	0.44014084507042256	1
AbiEii_0_CAS-III	d2248a31d0e133ef11|61d4b029ae6b33a43b|61d4b029ae6b33a43b|3592841|NZ_CP041244.1:8642210-8667554(FWD)_2	243	284	5.2e-07	26.7	671	1399	d2248a31d0e133ef11|61d4b029ae6b33a43b|61d4b029ae6b33a43b|3592841|NZ_CP041244.1:8642210-8667554(FWD)	2	0.43209876543209874	0.3485915492957746	-1
