Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	cc3b1023fa38a3c1e6|3db6a274a2c9f40ae9|3db6a274a2c9f40ae9|7887721|NZ_JACHNF010000001.1:7088895-7114947(REV)_3	248	94	2.3e-06	23.1	2082	2825	cc3b1023fa38a3c1e6|3db6a274a2c9f40ae9|3db6a274a2c9f40ae9|7887721|NZ_JACHNF010000001.1:7088895-7114947(REV)	3	0.4637096774193548	0.9361702127659575	-1
2OG_1_CAS-I-II-III-IV-V-VI	cc3b1023fa38a3c1e6|6250d88f503819657c|73a30464b278989cb2|2337451|NZ_SJJZ01000001.1:706104-731940(FWD)_2	255	94	3e-06	22.7	736	1500	cc3b1023fa38a3c1e6|6250d88f503819657c|73a30464b278989cb2|2337451|NZ_SJJZ01000001.1:706104-731940(FWD)	2	0.5098039215686274	0.9361702127659575	-1
2OG_1_CAS-I-II-III-IV-V-VI	cc3b1023fa38a3c1e6|770186996948a5ccca|770186996948a5ccca|2345281|NZ_SMKR01000015.1:12849-38691(REV)_2	251	94	8.8e-06	21.2	432	1184	cc3b1023fa38a3c1e6|770186996948a5ccca|770186996948a5ccca|2345281|NZ_SMKR01000015.1:12849-38691(REV)	2	0.5059760956175299	0.9361702127659575	-1
2OG_1_CAS-I-II-III-IV-V-VI	cc3b1023fa38a3c1e6|bea50e784fd81fc08f|bea50e784fd81fc08f|6463241|NZ_JAASRO010000001.1:2641412-2667248(REV)_3	252	94	3.2e-06	22.6	1001	1756	cc3b1023fa38a3c1e6|bea50e784fd81fc08f|bea50e784fd81fc08f|6463241|NZ_JAASRO010000001.1:2641412-2667248(REV)	3	0.5158730158730159	0.9361702127659575	-1
2OG_1_CAS-I-II-III-IV-V-VI	cc3b1023fa38a3c1e6|cc3b1023fa38a3c1e6|cc3b1023fa38a3c1e6|4254481|NZ_VIVK01000001.1:95386-121246(FWD)_3	253	94	3.3e-07	25.8	1248	2006	cc3b1023fa38a3c1e6|cc3b1023fa38a3c1e6|cc3b1023fa38a3c1e6|4254481|NZ_VIVK01000001.1:95386-121246(FWD)	3	0.45454545454545453	0.9361702127659575	-1
AbiEii_0_CAS-III	cc3b1023fa38a3c1e6|3db6a274a2c9f40ae9|3db6a274a2c9f40ae9|7887721|NZ_JACHNF010000001.1:7088895-7114947(REV)_5	513	284	0.00014	16.3	3896	5434	cc3b1023fa38a3c1e6|3db6a274a2c9f40ae9|3db6a274a2c9f40ae9|7887721|NZ_JACHNF010000001.1:7088895-7114947(REV)	5	0.24366471734892786	0.2711267605633803	-1
AbiEii_0_CAS-III	cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)_4	507	284	9.2e-05	16.9	2753	4273	cc3b1023fa38a3c1e6|6250d88f503819657c|507f63cc31199baaa4|2281461|NZ_SHKR01000011.1:719484-745320(FWD)	4	0.2465483234714004	0.25704225352112675	-1
AbiEii_0_CAS-III	cc3b1023fa38a3c1e6|6250d88f503819657c|6250d88f503819657c|2281341|NZ_SGXJ01000002.1:685743-711579(FWD)_4	512	284	5.1e-05	17.7	2779	4314	cc3b1023fa38a3c1e6|6250d88f503819657c|6250d88f503819657c|2281341|NZ_SGXJ01000002.1:685743-711579(FWD)	4	0.25	0.28169014084507044	-1
AbiEii_0_CAS-III	cc3b1023fa38a3c1e6|6250d88f503819657c|72ff92ee0a2e923bc6|2353981|NZ_SODU01000003.1:719520-745356(FWD)_1	458	284	0.00018	15.9	1	1374	cc3b1023fa38a3c1e6|6250d88f503819657c|72ff92ee0a2e923bc6|2353981|NZ_SODU01000003.1:719520-745356(FWD)	1	0.2685589519650655	0.2640845070422535	-1
AbiEii_0_CAS-III	cc3b1023fa38a3c1e6|6250d88f503819657c|73a30464b278989cb2|2337451|NZ_SJJZ01000001.1:706104-731940(FWD)_4	511	284	0.0012	13.3	2577	4109	cc3b1023fa38a3c1e6|6250d88f503819657c|73a30464b278989cb2|2337451|NZ_SJJZ01000001.1:706104-731940(FWD)	4	0.24853228962818003	0.2746478873239437	-1
