Contig	Start	End	Strand	Pos
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	68	643	1	1
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	1220	1870	-1	2
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	1921	2682	1	3
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	3003	3734	1	4
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	3554	4240	-1	5
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	4298	6409	-1	6
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	6446	6679	-1	7
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	6848	8473	1	8
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	8473	9714	1	9
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	9724	10497	1	10
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	10499	11305	-1	11
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	11464	12504	1	12
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	12501	13118	1	13
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	13131	13928	1	14
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	14034	14276	1	15
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	14298	15452	-1	16
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	15576	21173	1	17
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	21178	22575	-1	18
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	22684	23289	-1	19
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	23459	23932	-1	20
9038f7993863bcadca|78dea963a0ae4037d8|78dea963a0ae4037d8|1632041|NZ_PVNG01000012.1:267113-292730(REV)	24030	25616	-1	21
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	3	419	1	1
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	423	1472	-1	2
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	1613	1906	1	3
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	1884	2390	-1	4
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	2480	4048	1	5
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	4045	4701	1	6
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	4744	6042	1	7
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	6059	6685	1	8
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	7268	7738	-1	9
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	7843	9960	-1	10
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	10088	11326	-1	11
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	11442	12461	1	12
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	12500	13147	1	13
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	13157	14407	-1	14
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	14476	20331	1	15
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	20348	20959	-1	16
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	20974	21486	-1	17
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	21483	23477	-1	18
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	23659	25143	-1	19
9038f7993863bcadca|50e5b5fa77ad7f6a3e|50e5b5fa77ad7f6a3e|650818|NZ_KB907210.1:232528-258175(FWD)	25387	25647	-1	20
9038f7993863bcadca|e261d05b03fcd825f5|e261d05b03fcd825f5|5433731|NZ_WUTW01000001.1:1847287-1872922(REV)	1	1095	1	1
9038f7993863bcadca|e261d05b03fcd825f5|e261d05b03fcd825f5|5433731|NZ_WUTW01000001.1:1847287-1872922(REV)	1099	1497	1	2
