Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Cas12f1_1_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	557	1.4e-08	28.2	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.4776470588235294	0.3985637342908438	1
Cas12f1_2_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	429	2e-13	44.6	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.4117647058823529	0.43356643356643354	1
Cas12f2_0_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	517	8.3e-49	161.0	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.691764705882353	0.6015473887814313	1
Cas12f2_1_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	422	5.5e-85	280.4	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.9482352941176471	0.9881516587677726	1
Cas12f2_2_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	493	1.1e-71	236.4	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.9247058823529412	0.8722109533468559	1
Cas12f3_0_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	496	3e-48	159.4	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.8023529411764706	0.6915322580645161	1
Cas12f4_0_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	577	1e-09	31.9	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.2823529411764706	0.22876949740034663	1
Cas12f7_0_CAS-V-F	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)_11	425	566	2e-13	44.5	10223	11497	56bf9d999b00b23351|80f4dfb79ffebb6c08|80f4dfb79ffebb6c08|398908|NZ_AHBF01000038.1:30171-55440(FWD)	11	0.76	0.5848056537102474	1
Cas9_0_II	56bf9d999b00b23351|7eb9eb594defe38a6b|7eb9eb594defe38a6b|640518|NZ_BARF01000037.1:0-13471(FWD)_7	183	830	2e-06	20.9	6131	6679	56bf9d999b00b23351|7eb9eb594defe38a6b|7eb9eb594defe38a6b|640518|NZ_BARF01000037.1:0-13471(FWD)	7	0.40437158469945356	0.0891566265060241	-1
CasR_0_CAS-I-II-III-IV-V-VI	56bf9d999b00b23351|2f8dd8b71d9b4ad212|2f8dd8b71d9b4ad212|2342771|NZ_SLZS01000008.1:271970-297236(REV)_23	183	198	2.1e-07	25.3	21414	21962	56bf9d999b00b23351|2f8dd8b71d9b4ad212|2f8dd8b71d9b4ad212|2342771|NZ_SLZS01000008.1:271970-297236(REV)	23	0.2786885245901639	0.25757575757575757	-1
