Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	23422406293d40c201|5a204bae388ed89f08|5a204bae388ed89f08|7946431|CP060294.1:1440587-1466393(REV)_20	524	284	5.6e-05	18.0	22530	24101	23422406293d40c201|5a204bae388ed89f08|5a204bae388ed89f08|7946431|CP060294.1:1440587-1466393(REV)	20	0.2958015267175573	0.47183098591549294	1
AbiEii_0_CAS-III	23422406293d40c201|b2706459925529bba9|b2706459925529bba9|6227991|NZ_CP049868.1:703014-728829(REV)_22	649	284	3.4e-09	31.9	21438	23384	23422406293d40c201|b2706459925529bba9|b2706459925529bba9|6227991|NZ_CP049868.1:703014-728829(REV)	22	0.13405238828967642	0.30633802816901406	-1
AbiEii_0_CAS-III	23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)_6	411	284	8.6e-05	17.4	5094	6326	23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	6	0.145985401459854	0.1936619718309859	1
AbiEii_1_CAS-III-A	23422406293d40c201|b2706459925529bba9|b2706459925529bba9|6227991|NZ_CP049868.1:703014-728829(REV)_22	649	335	3.9e-05	18.1	21438	23384	23422406293d40c201|b2706459925529bba9|b2706459925529bba9|6227991|NZ_CP049868.1:703014-728829(REV)	22	0.11248073959938366	0.22686567164179106	-1
AbiEii_1_CAS-III-A	23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD)_6	852	335	0.00027	15.4	5115	7670	23422406293d40c201|bccb73238301db794d|bccb73238301db794d|94521|NZ_AWRU01000032.1:321273-346977(FWD)	6	0.2335680751173709	0.5671641791044776	-1
AbiEii_2_CAS-III-C	23422406293d40c201|5a204bae388ed89f08|5a204bae388ed89f08|7946431|CP060294.1:1440587-1466393(REV)_20	524	440	0.00017	16.1	22530	24101	23422406293d40c201|5a204bae388ed89f08|5a204bae388ed89f08|7946431|CP060294.1:1440587-1466393(REV)	20	0.3320610687022901	0.36363636363636365	1
AbiEii_2_CAS-III-C	23422406293d40c201|b2706459925529bba9|b2706459925529bba9|6227991|NZ_CP049868.1:703014-728829(REV)_22	649	440	6.1e-08	27.5	21438	23384	23422406293d40c201|b2706459925529bba9|b2706459925529bba9|6227991|NZ_CP049868.1:703014-728829(REV)	22	0.18952234206471494	0.2818181818181818	-1
Cas10_2_CAS-III	23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)_4	399	593	0.0023	11.4	2950	4146	23422406293d40c201|ce6ac285432ebd2bd4|ce6ac285432ebd2bd4|EARTH_3300026472_9|3300026472.a:Ga0256410_1000024:0-22243(FWD)	4	0.20802005012531327	0.13659359190556492	-1
Cas10d_6_CAS-I-D	23422406293d40c201|6dbaac46e511a79c07|6dbaac46e511a79c07|1817381|NZ_QNQU01000032.1:28675-54484(FWD)_17	87	684	0.0027	11.1	16982	17242	23422406293d40c201|6dbaac46e511a79c07|6dbaac46e511a79c07|1817381|NZ_QNQU01000032.1:28675-54484(FWD)	17	0.7011494252873564	0.08625730994152046	-1
Cas12f1_0_CAS-V-F	23422406293d40c201|3d48c320f59ff5f941|3d48c320f59ff5f941|EARTH_3300012844_2|3300012844.a:Ga0160475_100240:0-25335(REV)_12	365	512	4.6e-12	40.7	13325	14419	23422406293d40c201|3d48c320f59ff5f941|3d48c320f59ff5f941|EARTH_3300012844_2|3300012844.a:Ga0160475_100240:0-25335(REV)	12	0.5068493150684932	0.3671875	1
