recid,phash,chash,start,end,orient
GUT_GENOME076291_1,27b69bd068c0e09f78a0,a48ebe7a71a6b64b7923,1,432,-
GUT_GENOME076291_1,b1b1b5e46d438e23b97c,a48ebe7a71a6b64b7923,429,809,-
GUT_GENOME076291_1,2b52bd5d0a3df285fd94,a48ebe7a71a6b64b7923,802,981,-
GUT_GENOME076291_1,dc9e6ba2432b12ca1dad,a48ebe7a71a6b64b7923,971,1132,-
GUT_GENOME076291_1,a5418bf6f4dde748d6d3,a48ebe7a71a6b64b7923,1092,1622,-
GUT_GENOME076291_10,ab1e22a312a2cbbf3479,6ae865fe83ba2d562b9d,1,885,-
GUT_GENOME076291_10,f0f0f2464dd69ce4b7f4,6ae865fe83ba2d562b9d,1031,1624,-
GUT_GENOME076291_10,37e393d3e1419aa7bf37,6ae865fe83ba2d562b9d,1994,2401,-
GUT_GENOME076291_10,9e9739db42672ed14cfc,6ae865fe83ba2d562b9d,2510,3247,-
GUT_GENOME076291_100,875bbcf8cfe21be8ef26,52bc4e943ef0f1a3ca66,3,860,+
GUT_GENOME076291_100,78edb60d4d01dbe1e975,52bc4e943ef0f1a3ca66,917,1129,+
GUT_GENOME076291_100,670346362a395c3fcf25,52bc4e943ef0f1a3ca66,1231,3591,-
GUT_GENOME076291_101,f5fc9394e5c7bc9b16b1,e4b64afc4cf9eccb3381,3,299,+
GUT_GENOME076291_101,c4a60d299232d3cf3013,e4b64afc4cf9eccb3381,966,2129,-
GUT_GENOME076291_102,3a296c0f9ac36c1da37c,9531eab202b8d03f6661,3,524,+
GUT_GENOME076291_102,33c22168ee223e29db9f,9531eab202b8d03f6661,705,1835,+
GUT_GENOME076291_102,182b481b453fdfe96d42,9531eab202b8d03f6661,1953,3128,+
GUT_GENOME076291_102,252ad7f84cb96c69bbd1,9531eab202b8d03f6661,3481,3780,+
GUT_GENOME076291_103,18d7b331e29e224ac219,a714a8faba06c81a0ca8,2,766,-
GUT_GENOME076291_103,b317a1a1af10e6bdfcb4,a714a8faba06c81a0ca8,847,1293,-
GUT_GENOME076291_103,5283ed8098b8db1a1f7a,a714a8faba06c81a0ca8,1290,1889,-
GUT_GENOME076291_103,772b32fe0cf23ec16fbc,a714a8faba06c81a0ca8,2126,3172,+
GUT_GENOME076291_104,5f382fb851c4f7f1060e,3f32667e0372d9dc5395,3,701,+
GUT_GENOME076291_104,ce659efaf5f838fba64c,3f32667e0372d9dc5395,749,1090,-
GUT_GENOME076291_105,8e141d67152b88f6b40b,faf73cca613270be6200,3,1220,-
GUT_GENOME076291_105,4b08d7a01f80c51fff31,faf73cca613270be6200,1446,2159,+
GUT_GENOME076291_105,619ff2a109d753fcb14a,faf73cca613270be6200,2159,2413,+
GUT_GENOME076291_106,ac580a44774a4af120df,45d2448b3aa970e59c17,1,186,+
GUT_GENOME076291_106,427ce73631ab122c8b6e,45d2448b3aa970e59c17,321,1706,-
GUT_GENOME076291_107,9f77b773a7bff1623349,78350ca5f70017a559e7,3,944,-
GUT_GENOME076291_108,9ee131233371a64e5ce1,2e874006c9451642af81,2,343,+
GUT_GENOME076291_108,5ac919f08e8fd954d87d,2e874006c9451642af81,347,1231,+
GUT_GENOME076291_108,11dcb645ba0d0b1c356f,2e874006c9451642af81,1224,1883,+
GUT_GENOME076291_109,4d15a048d98c615607b0,09f98509d6cf34edaeec,2,424,+
GUT_GENOME076291_109,de025ba2d290c5e24727,09f98509d6cf34edaeec,429,788,+
GUT_GENOME076291_109,111e05030673f6dd1655,09f98509d6cf34edaeec,790,1521,+
GUT_GENOME076291_109,5264a15bd089a5d07bc9,09f98509d6cf34edaeec,1759,3630,+
GUT_GENOME076291_109,09d44ebbae33f492c1b2,09f98509d6cf34edaeec,3627,4268,+
GUT_GENOME076291_11,ea098f5ec899dda11041,76ccb5a2eb5ec5fbf677,43,492,-
GUT_GENOME076291_11,68d1fe7e4b6a0cd231c2,76ccb5a2eb5ec5fbf677,787,1338,+
GUT_GENOME076291_11,1a18cea44d356d59a518,76ccb5a2eb5ec5fbf677,1527,1868,+
GUT_GENOME076291_11,2a8c977af2fd688ef74e,76ccb5a2eb5ec5fbf677,1865,2821,+
GUT_GENOME076291_11,c2e24bc0e8d185ed64d3,76ccb5a2eb5ec5fbf677,2802,3572,+
GUT_GENOME076291_110,e62564bfcd7eff9f22f3,4f007d57a2c715f88f54,3,1253,-
GUT_GENOME076291_110,76cfaf20dc1337de053e,4f007d57a2c715f88f54,1305,1916,-
GUT_GENOME076291_111,2c7ae683b004240ea5d6,69f304963c27fa5ba1b3,3,527,-
GUT_GENOME076291_111,d8b77c1544fc62d340fe,69f304963c27fa5ba1b3,1030,1761,-
GUT_GENOME076291_111,a1d0b907330a90c923bc,69f304963c27fa5ba1b3,1827,2021,-
GUT_GENOME076291_111,d942478bc4df0939a5b9,69f304963c27fa5ba1b3,2159,2707,+
GUT_GENOME076291_111,0d86a80c3d91c516f78f,69f304963c27fa5ba1b3,2787,4121,-
GUT_GENOME076291_112,89758984f9722f703996,6dce9b8b0a1001a44369,3,1079,+
GUT_GENOME076291_112,d183ace0ac0a2c6c2291,6dce9b8b0a1001a44369,1076,2218,+
GUT_GENOME076291_112,50262ae29e404b84a8f6,6dce9b8b0a1001a44369,2230,3960,+
GUT_GENOME076291_112,df38b6d80f152d8aa69e,6dce9b8b0a1001a44369,3957,4706,+
GUT_GENOME076291_113,a192c82964a52f7d9eee,aa500d30251049a73f99,1,750,+
GUT_GENOME076291_113,38d95fe49d309749b577,aa500d30251049a73f99,889,1965,+
GUT_GENOME076291_114,b977d39ab4b2d412666e,ec9de4ebcf8c4cc20e7d,2,106,+
GUT_GENOME076291_114,1cd1da3e93b9addec376,ec9de4ebcf8c4cc20e7d,1089,1850,+
GUT_GENOME076291_115,4a02bb3f9ee5e6bb9405,dab6d041a9a289e23734,1,789,-
GUT_GENOME076291_115,d0bb1653d0e4881ca22c,dab6d041a9a289e23734,862,975,-
GUT_GENOME076291_115,b9ba4519c645ef2e5438,dab6d041a9a289e23734,988,1146,-
GUT_GENOME076291_115,9f6d5eccb59ab83b742a,dab6d041a9a289e23734,1139,1492,-
GUT_GENOME076291_115,8602a7e2ff93ee7fd63e,dab6d041a9a289e23734,1476,1715,-
GUT_GENOME076291_115,1598d78c457761e39d52,dab6d041a9a289e23734,2193,2720,-
GUT_GENOME076291_116,96b73e966b776f26f607,bfa6f691c68d8e54f968,196,1200,-
GUT_GENOME076291_116,456355b795efb7a24eb2,bfa6f691c68d8e54f968,1330,1590,-
GUT_GENOME076291_117,c43a035769deb82aa2ac,73cc3137eff1092597b5,1,165,+
GUT_GENOME076291_117,e793afb5db13ca70724c,73cc3137eff1092597b5,186,581,+
GUT_GENOME076291_117,6234e17580bb15e3b9e6,73cc3137eff1092597b5,606,1268,+
GUT_GENOME076291_118,00d51fa60f298931491b,3adee0241ab359822da7,1,519,-
GUT_GENOME076291_118,757b85aecdc9de578fce,3adee0241ab359822da7,719,1573,+
GUT_GENOME076291_119,37bcc83cd1859ddaf61e,1e8781565da39e60c2d0,106,1425,-
GUT_GENOME076291_12,4a1ae75609d3774cc5da,fd90cfd1477bbd7bb84d,199,1677,+
GUT_GENOME076291_120,f138b0482e56ba3ff7ca,4f20a8d818c855983151,507,1982,+
GUT_GENOME076291_120,f29608dba1e66b9d8579,4f20a8d818c855983151,2002,3078,+
GUT_GENOME076291_120,38a888cc5bf1596bc452,4f20a8d818c855983151,3091,4728,+
GUT_GENOME076291_120,2c80a7ca93969658c16f,4f20a8d818c855983151,4732,5463,+
GUT_GENOME076291_121,d4b0a22acf453808fa21,89f196d43d035aab615e,3,1727,-
GUT_GENOME076291_122,a0da66b9fb47edd9700b,ab2bac0c12a9d64e6681,351,524,+
GUT_GENOME076291_122,f75559dea7d23fb5730c,ab2bac0c12a9d64e6681,576,2321,-
GUT_GENOME076291_122,05fbaf0d39b648fd7dfb,ab2bac0c12a9d64e6681,2817,4373,+
GUT_GENOME076291_122,376bd9dee3da78b1356c,ab2bac0c12a9d64e6681,4475,5293,-
GUT_GENOME076291_123,a1b1e6d4bf8e553be616,eeab331c9b8ac6b56153,2,328,+
GUT_GENOME076291_123,d88ecd3a8a8f0237b210,eeab331c9b8ac6b56153,438,881,+
GUT_GENOME076291_123,08e04c3ab8ef66c0afca,eeab331c9b8ac6b56153,934,2031,+
GUT_GENOME076291_124,64e216cfcfd6ddc615da,caca79b3fc060bcf92c7,90,866,-
GUT_GENOME076291_124,02e4b07e918b48fe6e33,caca79b3fc060bcf92c7,997,1275,-
GUT_GENOME076291_125,0ac88b4e93bf82011640,c58f9332511771b9e997,3,1013,-
GUT_GENOME076291_125,c9274be0f8ea58807070,c58f9332511771b9e997,1032,1952,-
GUT_GENOME076291_126,61f82d91c5365928b521,47dfac117c930c1ce984,2,2122,+
GUT_GENOME076291_126,0de3438aba2ab8c478c1,47dfac117c930c1ce984,2206,4542,+
GUT_GENOME076291_127,a523336f5c3d54411e3e,7f70e4268c1fc2a0c627,2,283,-
GUT_GENOME076291_127,c397ef96afa92b1b3ca2,7f70e4268c1fc2a0c627,315,1565,-
GUT_GENOME076291_127,7136ac92cda8841d6467,7f70e4268c1fc2a0c627,1555,2004,-
GUT_GENOME076291_128,925c545fdc11fb69c1d3,053180e522ba493759ef,3,869,+
GUT_GENOME076291_128,9edd309873f500c46166,053180e522ba493759ef,925,1200,+
GUT_GENOME076291_128,892bffe1f2b436582cb1,053180e522ba493759ef,1200,1508,+
GUT_GENOME076291_128,12b35a3399405188ad60,053180e522ba493759ef,1620,2561,+
GUT_GENOME076291_128,265ffedf0385e77bde9b,053180e522ba493759ef,2536,4113,+
GUT_GENOME076291_128,ab52aef731f55f9c88d8,053180e522ba493759ef,4172,5275,+
GUT_GENOME076291_128,5cc02fbc62572040b4f0,053180e522ba493759ef,5288,5776,+
