query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,aa6af7e9289c3558d3|795c0665e30793e13e|795c0665e30793e13e|8121351|NZ_BMXB01000015.1:63008-88787(REV);4322;5329;+,14.1,0.0011,336,36,89,4,56
2-Hacid_dh_C,PF02826.21,178,aa6af7e9289c3558d3|795c0665e30793e13e|795c0665e30793e13e|8121351|NZ_BMXB01000015.1:63008-88787(REV);18814;20169;-,12.0,0.0047,452,34,73,2,41
3Beta_HSD,PF01073.21,280,aa6af7e9289c3558d3|2a2de61752972a7264|2a2de61752972a7264|2353341|NZ_SOAG01000003.1:15256-41023(REV);16133;17143;+,70.3,6.4e-21,337,0,158,3,162
3Beta_HSD,PF01073.21,280,aa6af7e9289c3558d3|2a2de61752972a7264|2a2de61752972a7264|2353341|NZ_SOAG01000003.1:15256-41023(REV);16133;17143;+,70.3,6.4e-21,337,201,254,219,270
3HCDH_N,PF02737.20,180,aa6af7e9289c3558d3|795c0665e30793e13e|795c0665e30793e13e|8121351|NZ_BMXB01000015.1:63008-88787(REV);18814;20169;-,17.9,0.00011,452,0,34,5,39
4HB_MCP_1,PF12729.9,181,aa6af7e9289c3558d3|165a9103de9a151c12|165a9103de9a151c12|7030081|NZ_JABBHF010000017.1:35403-61173(REV);12501;13271;+,18.2,6.8e-05,257,95,171,112,190
4HB_MCP_1,PF12729.9,181,aa6af7e9289c3558d3|2b4b51c36125f3bd6e|2b4b51c36125f3bd6e|4887081|NZ_VNIK02000016.1:32819-58613(REV);12501;13295;+,14.1,0.0012,265,99,178,121,202
7TM-7TMR_HD,PF07698.13,193,aa6af7e9289c3558d3|3adc9d85ec9b9eee75|3adc9d85ec9b9eee75|228341|NZ_KN525716.1:3539317-3565102(REV);16364;18412;-,130.7,2.8e-39,683,22,51,1,29
7TM-7TMR_HD,PF07698.13,193,aa6af7e9289c3558d3|3adc9d85ec9b9eee75|3adc9d85ec9b9eee75|228341|NZ_KN525716.1:3539317-3565102(REV);16364;18412;-,130.7,2.8e-39,683,1,193,265,453
7TM-7TMR_HD,PF07698.13,193,aa6af7e9289c3558d3|2b4b51c36125f3bd6e|2b4b51c36125f3bd6e|4887081|NZ_VNIK02000016.1:32819-58613(REV);2014;4035;+,129.0,9e-39,674,1,193,256,444
7TM-7TMR_HD,PF07698.13,193,aa6af7e9289c3558d3|4c100bcb8ded9c37ef|4c100bcb8ded9c37ef|1986691|NZ_QXFO01000017.1:120781-146566(FWD);16759;18780;-,127.2,3.4e-38,674,1,193,256,444
7TM-7TMR_HD,PF07698.13,193,aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV);22749;24797;-,123.3,5.3e-37,683,35,45,18,28
7TM-7TMR_HD,PF07698.13,193,aa6af7e9289c3558d3|5276c0dc1262b958b2|5276c0dc1262b958b2|200271|NZ_JPOO01000001.1:1417549-1443352(REV);22749;24797;-,123.3,5.3e-37,683,1,193,265,453
