recid,hash,chash,start,end,is_crispr
NZ_AP017381.1,1a0b04e02e22862247cf,6a91eb966f214780b089,1,1341,0
NZ_AP017381.1,838decdb43be63ce0e60,6a91eb966f214780b089,1445,2620,0
NZ_AP017381.1,64b0b1fb98e817a47740,6a91eb966f214780b089,2673,3845,0
NZ_AP017381.1,2a6e58e5436ea79b1c09,6a91eb966f214780b089,4094,6586,0
NZ_AP017381.1,b9ce6c15cb1102cb34cd,6a91eb966f214780b089,6682,7272,0
NZ_AP017381.1,e7d964f4bac3eeb77745,6a91eb966f214780b089,7372,8706,0
NZ_AP017381.1,4844a1969960858113a8,6a91eb966f214780b089,9200,10783,0
NZ_AP017381.1,062b0d535043c0f27aa2,6a91eb966f214780b089,10859,11383,0
NZ_AP017381.1,169d4f2a3c6e896353db,6a91eb966f214780b089,11518,13083,0
NZ_AP017381.1,8847b6dcb97a644f0b6f,6a91eb966f214780b089,13291,13647,0
NZ_AP017381.1,597153617ae6f936aead,6a91eb966f214780b089,13818,14882,0
NZ_AP017381.1,4da4b965e73a5d8da593,6a91eb966f214780b089,15178,15534,0
NZ_AP017381.1,7e6f9a6a0a009095078a,6a91eb966f214780b089,15644,17617,0
NZ_AP017381.1,3e11f60d42a6832b616b,6a91eb966f214780b089,17665,18228,0
NZ_AP017381.1,0faf71410b33443c231b,6a91eb966f214780b089,18691,19179,0
NZ_AP017381.1,a2f0a5f78f02167ed529,6a91eb966f214780b089,19259,19861,0
NZ_AP017381.1,ebc061dafbc6d2d28bee,6a91eb966f214780b089,19884,20414,0
NZ_AP017381.1,8edc298ab6f7b7bdad58,6a91eb966f214780b089,20634,20738,0
NZ_AP017381.1,b757337f71bb4f15c5e4,6a91eb966f214780b089,20798,21901,0
NZ_AP017381.1,84129c05c593fcbfe7ed,6a91eb966f214780b089,22080,23309,0
NZ_AP017381.1,aa239e8ce77a0c1090b9,6a91eb966f214780b089,23359,23964,0
NZ_AP017381.1,b8a6dd7eaa32b0c90cf5,6a91eb966f214780b089,24204,24785,0
NZ_AP017381.1,727e9ebeef58def2f523,6a91eb966f214780b089,24947,26869,0
NZ_AP017381.1,14a0933cf536f554dfd2,6a91eb966f214780b089,32806,34902,0
NZ_AP017381.1,eecc66d93e10a163e3da,6a91eb966f214780b089,35177,36112,0
