Contig	Start	End	Strand	Pos
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	2	676	1	1
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	666	2705	1	2
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	3191	3937	-1	3
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	4103	5323	1	4
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	5405	5566	1	5
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	5592	7553	-1	6
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	7708	8400	-1	7
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	8483	9118	-1	8
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	9274	9585	-1	9
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	9625	10203	-1	10
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	10361	11062	1	11
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	11063	11755	1	12
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	11760	12500	1	13
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	12500	13339	1	14
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	13341	13607	1	15
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	13614	14168	1	16
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	14165	14410	1	17
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	14512	15453	1	18
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	15574	17691	1	19
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	17688	18155	-1	20
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	18195	18974	-1	21
97127aa4b059e7df3b|20e965525dff3bd37b|20e965525dff3bd37b|8558631|WAQN01000095.1:18382-38125(FWD)	19168	19473	1	22
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	1	234	-1	1
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	218	736	-1	2
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	740	3607	-1	3
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	3718	4044	1	4
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	4259	4762	1	5
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	5417	6280	1	6
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	6292	7062	1	7
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	7074	8291	1	8
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	8380	9225	1	9
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	9268	9459	1	10
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	9530	10303	1	11
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	10371	11075	1	12
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	11075	11773	1	13
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	11776	12504	1	14
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	12501	13343	1	15
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	13356	13625	1	16
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	13638	14237	1	17
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	14227	14481	1	18
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	14471	14761	-1	19
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	14855	15514	1	20
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	15581	16012	1	21
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	16017	16685	1	22
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	16608	17597	-1	23
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	17644	18120	-1	24
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	18338	19117	1	25
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	19207	19530	-1	26
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	19541	19696	-1	27
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	19707	20078	-1	28
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	20153	20707	1	29
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	20704	22059	1	30
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	22008	22802	1	31
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	22771	23109	-1	32
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	23537	23770	1	33
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	23745	24275	-1	34
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	24283	24510	-1	35
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	24667	24852	1	36
97127aa4b059e7df3b|c7f5f57ea649120e4d|c7f5f57ea649120e4d|1299451|DAJS01000001.1:6082-31924(REV)	25028	25810	1	37
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	1	315	1	1
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	481	1770	1	2
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	1767	2042	1	3
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	2116	2769	1	4
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	2882	3973	1	5
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	3970	5517	1	6
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	5471	6151	-1	7
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	6123	6581	-1	8
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	6730	7407	-1	9
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	7589	8809	1	10
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	8822	9301	-1	11
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	9504	10274	1	12
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	10377	11078	1	13
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	11078	11767	1	14
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	11767	12498	1	15
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	12501	13358	1	16
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	13376	13642	1	17
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	13747	14325	1	18
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	14327	14575	1	19
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	14633	15001	1	20
97127aa4b059e7df3b|f5eef2a7ba4410f2b8|f5eef2a7ba4410f2b8|8559091|WAOU01000100.1:0-15498(REV)	15208	15498	1	21
97127aa4b059e7df3b|a1b7925857953b08e0|a1b7925857953b08e0|8559531|WANF01000061.1:0-2964(FWD)	1	450	1	1
97127aa4b059e7df3b|a1b7925857953b08e0|a1b7925857953b08e0|8559531|WANF01000061.1:0-2964(FWD)	466	1320	1	2
97127aa4b059e7df3b|a1b7925857953b08e0|a1b7925857953b08e0|8559531|WANF01000061.1:0-2964(FWD)	1327	1611	1	3
97127aa4b059e7df3b|a1b7925857953b08e0|a1b7925857953b08e0|8559531|WANF01000061.1:0-2964(FWD)	1707	2282	1	4
97127aa4b059e7df3b|a1b7925857953b08e0|a1b7925857953b08e0|8559531|WANF01000061.1:0-2964(FWD)	2298	2543	1	5
97127aa4b059e7df3b|a1b7925857953b08e0|a1b7925857953b08e0|8559531|WANF01000061.1:0-2964(FWD)	2673	2963	1	6
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	1	102	1	1
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	84	1601	1	2
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	1578	2207	-1	3
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	2204	2647	-1	4
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	2731	3408	-1	5
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	3518	4741	1	6
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	4734	5225	-1	7
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	5389	6180	1	8
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	6225	6929	1	9
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	6931	7620	1	10
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	7620	8351	1	11
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	8356	9192	1	12
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	9225	9488	1	13
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	9508	10065	1	14
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	10049	10297	1	15
97127aa4b059e7df3b|02a421d2a365f5dff3|02a421d2a365f5dff3|8559121|WAOR01000070.1:0-15732(FWD)	10343	10726	1	16
