Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)@1	6363	7091	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[10]	['3.80e-06']	[0.424]	[0.345]	NA	NA
66e3c83c192b25b489|3e4237f398ca1b6e06|3e4237f398ca1b6e06|872631|NZ_MASN01000036.1:2603-28001(REV)	66e3c83c192b25b489|3e4237f398ca1b6e06|3e4237f398ca1b6e06|872631|NZ_MASN01000036.1:2603-28001(REV)@1	24281	25006	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[25]	['5.70e-04']	[0.393]	[0.324]	NA	NA
66e3c83c192b25b489|5dc66d98d50faa311d|5dc66d98d50faa311d|2024791|NZ_QQTY01000003.1:55577-80975(REV)	66e3c83c192b25b489|5dc66d98d50faa311d|5dc66d98d50faa311d|2024791|NZ_QQTY01000003.1:55577-80975(REV)@1	16537	17643	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[21]	['1.40e-05']	[0.317]	[0.349]	NA	NA
66e3c83c192b25b489|b6e097f8fa6d5e367f|bca9268885e0f6316a|1752021|QKMU01000001.1:674962-700360(REV)	66e3c83c192b25b489|b6e097f8fa6d5e367f|bca9268885e0f6316a|1752021|QKMU01000001.1:674962-700360(REV)@1	1675	2289	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3]	['1.30e-09']	[0.449]	[0.331]	NA	NA
66e3c83c192b25b489|eba500f5b7f486c088|77554d76149420e42d|537388|NZ_AOLP01000017.1:111052-136450(FWD)	66e3c83c192b25b489|eba500f5b7f486c088|77554d76149420e42d|537388|NZ_AOLP01000017.1:111052-136450(FWD)@1	24367	24984	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[26]	['1.60e-04']	[0.345]	[0.559]	NA	NA
66e3c83c192b25b489|b6e097f8fa6d5e367f|b6e097f8fa6d5e367f|4562941|NZ_FNBO01000007.1:137157-161161(REV)	66e3c83c192b25b489|b6e097f8fa6d5e367f|b6e097f8fa6d5e367f|4562941|NZ_FNBO01000007.1:137157-161161(REV)@1	17	283	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1]	['1.80e-05']	[0.708]	[0.627]	NA	NA
66e3c83c192b25b489|23c5428316121d10a5|23c5428316121d10a5|1171941|NZ_NHPJ01000079.1:57237-82536(FWD)	66e3c83c192b25b489|23c5428316121d10a5|23c5428316121d10a5|1171941|NZ_NHPJ01000079.1:57237-82536(FWD)@1	14576	16346	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[15, 17]	['8.40e-11', '1.00e-07']	[0.661, 0.609]	[0.669, 0.636]	NA	NA
66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)@2	21607	22137	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[27]	['7.00e-05']	[0.441]	[0.374]	NA	NA
66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)@1	1293	2048	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['9.20e-10']	[0.373]	[0.338]	NA	NA
66e3c83c192b25b489|7f4aea1f5910ca7010|7f4aea1f5910ca7010|864351|NZ_FNLC01000002.1:318517-343993(FWD)	66e3c83c192b25b489|7f4aea1f5910ca7010|7f4aea1f5910ca7010|864351|NZ_FNLC01000002.1:318517-343993(FWD)@1	17306	17653	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[18]	['4.20e-05']	[0.784]	[0.831]	NA	NA
66e3c83c192b25b489|1680c095321a5bb75f|1680c095321a5bb75f|2022471|NZ_QPLR01000002.1:633216-658614(REV)	66e3c83c192b25b489|1680c095321a5bb75f|1680c095321a5bb75f|2022471|NZ_QPLR01000002.1:633216-658614(REV)@1	24420	25034	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[25]	['4.70e-10']	[0.41]	[0.678]	NA	NA
66e3c83c192b25b489|f9b508727ce7c5b3d9|f9b508727ce7c5b3d9|4439401|NZ_PHNJ01000023.1:0-24628(REV)	66e3c83c192b25b489|f9b508727ce7c5b3d9|f9b508727ce7c5b3d9|4439401|NZ_PHNJ01000023.1:0-24628(REV)@1	17013	17378	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[20]	['4.50e-03']	[0.582]	[0.542]	NA	NA
