Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	3b91e97121e56aa047|008eeaad8c77d267dd|008eeaad8c77d267dd|562028|NC_020504.1:8004974-8031077(FWD)_5	617	284	0.029	11.6	3872	5722	3b91e97121e56aa047|008eeaad8c77d267dd|008eeaad8c77d267dd|562028|NC_020504.1:8004974-8031077(FWD)	5	0.04051863857374392	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|0b8e066f7fffb9ac7b|9114931|NZ_JAENRY010000104.1:16432-42532(REV)_7	620	284	0.029	11.6	4910	6769	3b91e97121e56aa047|0b8e066f7fffb9ac7b|0b8e066f7fffb9ac7b|9114931|NZ_JAENRY010000104.1:16432-42532(REV)	7	0.04032258064516129	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|2057366dc6ea2bd53e|191371|NZ_JNWO01000025.1:40215-66315(REV)_8	620	284	0.029	11.6	5164	7023	3b91e97121e56aa047|0b8e066f7fffb9ac7b|2057366dc6ea2bd53e|191371|NZ_JNWO01000025.1:40215-66315(REV)	8	0.04032258064516129	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|4da4cb9c2486a48204|322191|NZ_JXTE01000101.1:6260-21799(FWD)_5	622	284	0.028	11.6	3710	5575	3b91e97121e56aa047|0b8e066f7fffb9ac7b|4da4cb9c2486a48204|322191|NZ_JXTE01000101.1:6260-21799(FWD)	5	0.04019292604501608	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|7cdbb6604fe9810170|191471|NZ_JNXE01000014.1:211095-237195(FWD)_5	622	284	0.029	11.6	4781	6646	3b91e97121e56aa047|0b8e066f7fffb9ac7b|7cdbb6604fe9810170|191471|NZ_JNXE01000014.1:211095-237195(FWD)	5	0.04019292604501608	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|7d6d171ddfc0d3f8a7|640518|NZ_BARF01000054.1:42105-68205(REV)_7	622	284	0.029	11.6	5233	7098	3b91e97121e56aa047|0b8e066f7fffb9ac7b|7d6d171ddfc0d3f8a7|640518|NZ_BARF01000054.1:42105-68205(REV)	7	0.04019292604501608	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|8b7a3141c02c40a5a1|640538|NZ_BARG01000012.1:35330-61430(FWD)_8	620	284	0.029	11.6	5290	7149	3b91e97121e56aa047|0b8e066f7fffb9ac7b|8b7a3141c02c40a5a1|640538|NZ_BARG01000012.1:35330-61430(FWD)	8	0.04032258064516129	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|a586ecb59bea30f9ff|206751|NZ_JQLE01000021.1:45793-71893(REV)_5	623	284	0.029	11.6	3911	5779	3b91e97121e56aa047|0b8e066f7fffb9ac7b|a586ecb59bea30f9ff|206751|NZ_JQLE01000021.1:45793-71893(REV)	5	0.04012841091492777	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|0b8e066f7fffb9ac7b|f9117ca8555f445bbf|9135461|NZ_JAEQAZ010000015.1:164281-190381(REV)_8	620	284	0.029	11.6	5302	7161	3b91e97121e56aa047|0b8e066f7fffb9ac7b|f9117ca8555f445bbf|9135461|NZ_JAEQAZ010000015.1:164281-190381(REV)	8	0.04032258064516129	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|19ef00af350ab0dda3|19ef00af350ab0dda3|1863021|NZ_QTTG01000001.1:5078050-5104150(FWD)_3	626	284	0.029	11.6	1965	3842	3b91e97121e56aa047|19ef00af350ab0dda3|19ef00af350ab0dda3|1863021|NZ_QTTG01000001.1:5078050-5104150(FWD)	3	0.039936102236421724	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|19ef00af350ab0dda3|3840a18953751efb2f|1430811|NZ_PEFT01000001.1:2008608-2034708(REV)_3	626	284	0.029	11.6	2201	4078	3b91e97121e56aa047|19ef00af350ab0dda3|3840a18953751efb2f|1430811|NZ_PEFT01000001.1:2008608-2034708(REV)	3	0.039936102236421724	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|19ef00af350ab0dda3|9dcf04dd15cf6cf5fb|7098961|NZ_JABERD010000097.1:3201-29301(REV)_5	622	284	0.028	11.6	3897	5762	3b91e97121e56aa047|19ef00af350ab0dda3|9dcf04dd15cf6cf5fb|7098961|NZ_JABERD010000097.1:3201-29301(REV)	5	0.04019292604501608	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|1d18a9310944c3cd06|1d18a9310944c3cd06|765321|NZ_CP016279.1:7778089-7804186(REV)_2	624	284	0.029	11.6	1045	2916	3b91e97121e56aa047|1d18a9310944c3cd06|1d18a9310944c3cd06|765321|NZ_CP016279.1:7778089-7804186(REV)	2	0.04006410256410257	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|215164c8dbc376f3dc|215164c8dbc376f3dc|192211|NZ_JOEY01000042.1:8342-34460(FWD)_5	622	284	0.028	11.6	3806	5671	3b91e97121e56aa047|215164c8dbc376f3dc|215164c8dbc376f3dc|192211|NZ_JOEY01000042.1:8342-34460(FWD)	5	0.04019292604501608	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|285c53f3a29b7ad5bf|234edf0dbb8c9ca3f6|1455321|NZ_NNBL01000021.1:63808-89932(FWD)_3	625	284	0.029	11.6	2777	4651	3b91e97121e56aa047|285c53f3a29b7ad5bf|234edf0dbb8c9ca3f6|1455321|NZ_NNBL01000021.1:63808-89932(FWD)	3	0.04	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|285c53f3a29b7ad5bf|285c53f3a29b7ad5bf|8103821|NZ_CP061281.1:6623195-6649331(FWD)_5	627	284	0.029	11.6	4211	6091	3b91e97121e56aa047|285c53f3a29b7ad5bf|285c53f3a29b7ad5bf|8103821|NZ_CP061281.1:6623195-6649331(FWD)	5	0.03987240829346093	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|285c53f3a29b7ad5bf|61d4dd35eef4896914|1875661|NZ_QURC01000002.1:1374473-1400597(FWD)_5	625	284	0.03	11.5	4030	5904	3b91e97121e56aa047|285c53f3a29b7ad5bf|61d4dd35eef4896914|1875661|NZ_QURC01000002.1:1374473-1400597(FWD)	5	0.04	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|285c53f3a29b7ad5bf|981bd37379175ef206|636018|NZ_KB891849.1:43099-69235(REV)_4	622	284	0.029	11.6	2905	4770	3b91e97121e56aa047|285c53f3a29b7ad5bf|981bd37379175ef206|636018|NZ_KB891849.1:43099-69235(REV)	4	0.04019292604501608	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|285c53f3a29b7ad5bf|a6f74c924fed4adc8b|5455531|NZ_WWGM01000012.1:39469-65605(REV)_5	624	284	0.029	11.6	3561	5432	3b91e97121e56aa047|285c53f3a29b7ad5bf|a6f74c924fed4adc8b|5455531|NZ_WWGM01000012.1:39469-65605(REV)	5	0.04006410256410257	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|285c53f3a29b7ad5bf|c6c9e0b6255b3bd250|2200961|NZ_RZYA01000005.1:421436-447560(FWD)_8	625	284	0.029	11.6	5988	7862	3b91e97121e56aa047|285c53f3a29b7ad5bf|c6c9e0b6255b3bd250|2200961|NZ_RZYA01000005.1:421436-447560(FWD)	8	0.04	0.0880281690140845	-1
AbiEii_0_CAS-III	3b91e97121e56aa047|285c53f3a29b7ad5bf|d0ad235f738bcfcfc2|5459311|NZ_WWIA01001090.1:5556-30671(FWD)_6	627	284	0.029	11.6	4339	6219	3b91e97121e56aa047|285c53f3a29b7ad5bf|d0ad235f738bcfcfc2|5459311|NZ_WWIA01001090.1:5556-30671(FWD)	6	0.03987240829346093	0.0880281690140845	-1
