Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
c7a1b8f01c5b7c48a2|532ae79758dd7beea4|532ae79758dd7beea4|192271|NZ_JOFJ01000001.1:96800-127601(FWD)	c7a1b8f01c5b7c48a2|532ae79758dd7beea4|532ae79758dd7beea4|192271|NZ_JOFJ01000001.1:96800-127601(FWD)@1	28673	29446	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[22]	['1.20e-06']	[0.55]	[0.514]	NA	NA
c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)	c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD)@1	29161	29946	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[23]	['9.00e-07']	[0.595]	[0.546]	NA	NA
c7a1b8f01c5b7c48a2|b7c12bf1158f3b7fda|b7c12bf1158f3b7fda|4539521|NZ_BDDE01000010.1:444204-475068(FWD)	c7a1b8f01c5b7c48a2|b7c12bf1158f3b7fda|b7c12bf1158f3b7fda|4539521|NZ_BDDE01000010.1:444204-475068(FWD)@1	29843	30646	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[21]	['2.20e-05']	[0.466]	[0.43]	NA	NA
c7a1b8f01c5b7c48a2|ff0b300c80371d1846|ff0b300c80371d1846|637441|NZ_BCQS01000005.1:72068-102899(FWD)	c7a1b8f01c5b7c48a2|ff0b300c80371d1846|ff0b300c80371d1846|637441|NZ_BCQS01000005.1:72068-102899(FWD)@1	28870	29643	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[20]	['2.10e-06']	[0.566]	[0.521]	NA	NA
c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|a0b65b772662e09dc5|1550371|NZ_MTBP01000002.1:257349-288186(FWD)	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|a0b65b772662e09dc5|1550371|NZ_MTBP01000002.1:257349-288186(FWD)@1	28843	29583	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[21]	['5.20e-06']	[0.66]	[0.588]	NA	NA
c7a1b8f01c5b7c48a2|1536b273d638c43ed4|5aba9f4aa174f55aaf|4421391|NZ_VSFF01000011.1:283079-313940(REV)	c7a1b8f01c5b7c48a2|1536b273d638c43ed4|5aba9f4aa174f55aaf|4421391|NZ_VSFF01000011.1:283079-313940(REV)@1	28951	29709	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[23]	['2.20e-05']	[0.474]	[0.423]	NA	NA
c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|6efbb51672ad25d152|5433731|NZ_WUTW01000001.1:1838853-1869681(REV)	c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|6efbb51672ad25d152|5433731|NZ_WUTW01000001.1:1838853-1869681(REV)@1	28564	29304	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[21]	['7.10e-06']	[0.676]	[0.602]	NA	NA
c7a1b8f01c5b7c48a2|2853d66e289717fdfe|2853d66e289717fdfe|637451|NZ_BCQT01000017.1:58846-89710(FWD)	c7a1b8f01c5b7c48a2|2853d66e289717fdfe|2853d66e289717fdfe|637451|NZ_BCQT01000017.1:58846-89710(FWD)@1	29298	30116	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[20]	['1.00e-05']	[0.447]	[0.426]	NA	NA
c7a1b8f01c5b7c48a2|13bc2b9f99cc46be9f|13bc2b9f99cc46be9f|3218371|NZ_VCKW01000147.1:4414-22252(REV)	c7a1b8f01c5b7c48a2|13bc2b9f99cc46be9f|13bc2b9f99cc46be9f|3218371|NZ_VCKW01000147.1:4414-22252(REV)@1	16862	17680	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[11]	['9.70e-06']	[0.531]	[0.518]	NA	NA
c7a1b8f01c5b7c48a2|7c04856559d45d2d73|7c04856559d45d2d73|5410381|NZ_WING01000001.1:6713621-6743012(REV)	c7a1b8f01c5b7c48a2|7c04856559d45d2d73|7c04856559d45d2d73|5410381|NZ_WING01000001.1:6713621-6743012(REV)@1	28278	29138	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[23]	['7.40e-06']	[0.439]	[0.444]	NA	NA
