Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	6c3b2ade31d3833745|03b0fcf713d3ea6086|03b0fcf713d3ea6086|2007711|NZ_RBWE01000001.1:2120108-2145620(REV)_7	254	284	1.3e-05	21.0	6432	7193	6c3b2ade31d3833745|03b0fcf713d3ea6086|03b0fcf713d3ea6086|2007711|NZ_RBWE01000001.1:2120108-2145620(REV)	7	0.46062992125984253	0.39436619718309857	1
AbiEii_0_CAS-III	6c3b2ade31d3833745|15fe5ca578c5346f4e|15fe5ca578c5346f4e|909261|NZ_FQZM01000007.1:36738-62403(FWD)_21	254	284	1.5e-05	20.8	19843	20604	6c3b2ade31d3833745|15fe5ca578c5346f4e|15fe5ca578c5346f4e|909261|NZ_FQZM01000007.1:36738-62403(FWD)	21	0.46062992125984253	0.39436619718309857	1
AbiEii_0_CAS-III	6c3b2ade31d3833745|1aa8c6b593a1922bb1|1aa8c6b593a1922bb1|7004721|DUSP01000163.1:0-24040(FWD)_20	281	284	0.0014	14.3	19679	20521	6c3b2ade31d3833745|1aa8c6b593a1922bb1|1aa8c6b593a1922bb1|7004721|DUSP01000163.1:0-24040(FWD)	20	0.3202846975088968	0.2887323943661972	-1
AbiEii_0_CAS-III	6c3b2ade31d3833745|1aa8c6b593a1922bb1|1aa8c6b593a1922bb1|7004721|DUSP01000163.1:0-24040(FWD)_8	265	284	0.0027	13.4	6893	7687	6c3b2ade31d3833745|1aa8c6b593a1922bb1|1aa8c6b593a1922bb1|7004721|DUSP01000163.1:0-24040(FWD)	8	0.3886792452830189	0.352112676056338	-1
AbiEii_0_CAS-III	6c3b2ade31d3833745|24bdb1cee2e7ac7b35|24bdb1cee2e7ac7b35|500538|NZ_CAOS01000010.1:17483-42767(FWD)_23	647	284	0.0024	13.5	18813	20753	6c3b2ade31d3833745|24bdb1cee2e7ac7b35|24bdb1cee2e7ac7b35|500538|NZ_CAOS01000010.1:17483-42767(FWD)	23	0.03554868624420402	0.08098591549295775	1
AbiEii_0_CAS-III	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)_11	363	284	0.00025	16.8	9366	10454	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)	11	0.3140495867768595	0.41901408450704225	1
AbiEii_0_CAS-III	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)_12	363	284	5.6e-05	18.9	10464	11552	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)	12	0.162534435261708	0.22887323943661972	1
AbiEii_0_CAS-III	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)_24	266	284	0.00026	16.7	22030	22827	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)	24	0.38345864661654133	0.352112676056338	1
AbiEii_0_CAS-III	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)_5	378	284	0.0022	13.7	3733	4866	6c3b2ade31d3833745|57a73638ce7c24ebcf|57a73638ce7c24ebcf|6259801|DTIY01000043.1:59029-84544(REV)	5	0.1164021164021164	0.14788732394366197	1
AbiEii_0_CAS-III	6c3b2ade31d3833745|59b302314c896aacb3|59b302314c896aacb3|3588451|NZ_BJKN01000002.1:1027273-1052938(FWD)_18	446	284	2.4e-05	20.1	16784	18121	6c3b2ade31d3833745|59b302314c896aacb3|59b302314c896aacb3|3588451|NZ_BJKN01000002.1:1027273-1052938(FWD)	18	0.07174887892376682	0.10211267605633803	1
