Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
d90f25484d732aa877|4494f5609734a8b099|4494f5609734a8b099|6600011|NZ_JAATEO010000024.1:0-23512(FWD)	d90f25484d732aa877|4494f5609734a8b099|4494f5609734a8b099|6600011|NZ_JAATEO010000024.1:0-23512(FWD)@2	22777	23511	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[18]	['2.40e-06']	[0.339]	[0.31]	NA	NA
d90f25484d732aa877|0ef452ab7918ca424b|0ef452ab7918ca424b|1881601|NZ_QVFU01000007.1:112782-138603(REV)	d90f25484d732aa877|0ef452ab7918ca424b|0ef452ab7918ca424b|1881601|NZ_QVFU01000007.1:112782-138603(REV)@1	2381	3124	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4]	['3.60e-06']	[0.383]	[0.317]	NA	NA
d90f25484d732aa877|dfd8df1f3b09a3790b|dfd8df1f3b09a3790b|2281661|NZ_SHKZ01000001.1:4468225-4494064(REV)	d90f25484d732aa877|dfd8df1f3b09a3790b|dfd8df1f3b09a3790b|2281661|NZ_SHKZ01000001.1:4468225-4494064(REV)@1	18563	19372	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[20]	['5.00e-07']	[0.33]	[0.331]	NA	NA
d90f25484d732aa877|04ceb02140e5b1084b|04ceb02140e5b1084b|789881|NZ_FMIC01000002.1:4930824-4956642(FWD)	d90f25484d732aa877|04ceb02140e5b1084b|04ceb02140e5b1084b|789881|NZ_FMIC01000002.1:4930824-4956642(FWD)@1	24321	24806	False	0%	0%	I-A	1.0	['Csx16_3_CAS-I-III']	[25]	['8.70e-03']	[0.5]	[0.747]	NA	NA
d90f25484d732aa877|89a62641c1b3faad68|89a62641c1b3faad68|8237271|NZ_JADBEM010000001.1:2711753-2737631(REV)	d90f25484d732aa877|89a62641c1b3faad68|89a62641c1b3faad68|8237271|NZ_JADBEM010000001.1:2711753-2737631(REV)@3	17942	18361	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[21]	['4.80e-03']	[0.436]	[0.542]	NA	NA
d90f25484d732aa877|f9dac394a6c8c6a52b|f9dac394a6c8c6a52b|2345071|NZ_SMKF01000095.1:5896-22640(REV)	d90f25484d732aa877|f9dac394a6c8c6a52b|f9dac394a6c8c6a52b|2345071|NZ_SMKF01000095.1:5896-22640(REV)@1	10768	13953	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[14]	['2.10e-14']	[0.393]	[0.387]	NA	NA
d90f25484d732aa877|89a62641c1b3faad68|89a62641c1b3faad68|8237271|NZ_JADBEM010000001.1:2711753-2737631(REV)	d90f25484d732aa877|89a62641c1b3faad68|89a62641c1b3faad68|8237271|NZ_JADBEM010000001.1:2711753-2737631(REV)@2	8469	8840	False	0%	NA	III-B	1.0	['CasR_1_CAS-III-B']	[10]	['3.10e-03']	[0.548]	[0.416]	NA	NA
d90f25484d732aa877|89a62641c1b3faad68|89a62641c1b3faad68|8237271|NZ_JADBEM010000001.1:2711753-2737631(REV)	d90f25484d732aa877|89a62641c1b3faad68|89a62641c1b3faad68|8237271|NZ_JADBEM010000001.1:2711753-2737631(REV)@1	2653	3573	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5]	['1.20e-04']	[0.316]	[0.335]	NA	NA
d90f25484d732aa877|659fd273a20e7ec7c1|659fd273a20e7ec7c1|2010651|NZ_RBKT01000001.1:663380-689204(FWD)	d90f25484d732aa877|659fd273a20e7ec7c1|659fd273a20e7ec7c1|2010651|NZ_RBKT01000001.1:663380-689204(FWD)@1	16496	19909	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[13, 15]	['4.50e-03', '4.20e-03']	[0.322, 0.43]	[0.517, 0.475]	NA	NA
d90f25484d732aa877|18b9646d6b1f4400cc|18b9646d6b1f4400cc|879881|NZ_FNYV01000002.1:147216-173040(REV)	d90f25484d732aa877|18b9646d6b1f4400cc|18b9646d6b1f4400cc|879881|NZ_FNYV01000002.1:147216-173040(REV)@1	18284	19093	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[18]	['2.20e-07']	[0.322]	[0.303]	NA	NA
d90f25484d732aa877|bd15833889c9131a6d|bd15833889c9131a6d|2337511|NZ_SJJR01000001.1:258138-284010(REV)	d90f25484d732aa877|bd15833889c9131a6d|bd15833889c9131a6d|2337511|NZ_SJJR01000001.1:258138-284010(REV)@1	18460	19269	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[19]	['5.30e-07']	[0.319]	[0.32]	NA	NA
d90f25484d732aa877|8d91ae475025932c8e|8d91ae475025932c8e|624428|NZ_ANBB01000056.1:0-19726(REV)	d90f25484d732aa877|8d91ae475025932c8e|8d91ae475025932c8e|624428|NZ_ANBB01000056.1:0-19726(REV)@1	18135	18860	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[20]	['1.80e-09']	[0.512]	[0.771]	NA	NA
