Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	e8e35986a4c05b4442|215d5cd7c415e34af5|215d5cd7c415e34af5|4970821|NZ_CP045096.1:7236655-7261996(REV)_1	289	284	0.0024	14.3	2	868	e8e35986a4c05b4442|215d5cd7c415e34af5|215d5cd7c415e34af5|4970821|NZ_CP045096.1:7236655-7261996(REV)	1	0.31141868512110726	0.29577464788732394	1
Cas10_0_CAS-III	e8e35986a4c05b4442|215d5cd7c415e34af5|215d5cd7c415e34af5|4970821|NZ_CP045096.1:7236655-7261996(REV)_24	683	511	0.0048	12.6	23292	25340	e8e35986a4c05b4442|215d5cd7c415e34af5|215d5cd7c415e34af5|4970821|NZ_CP045096.1:7236655-7261996(REV)	24	0.21961932650073207	0.2602739726027397	-1
Cas12f1_2_CAS-V-F	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)_13	341	429	1.4e-07	27.7	11432	12454	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)	13	0.18181818181818182	0.14219114219114218	1
Cas12f2_0_CAS-V-F	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)_13	341	517	1.9e-12	43.4	11432	12454	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)	13	0.2375366568914956	0.15667311411992263	1
Cas12f2_1_CAS-V-F	e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)_12	233	422	1.1e-34	117.1	10743	11441	e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)	12	0.871244635193133	0.5308056872037915	1
Cas12f2_1_CAS-V-F	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)_13	341	422	5.6e-21	71.9	11432	12454	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)	13	0.20821114369501467	0.16587677725118483	1
Cas12f2_2_CAS-V-F	e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)_12	233	493	1.1e-21	73.9	10743	11441	e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)	12	0.8583690987124464	0.44421906693711966	1
Cas12f2_2_CAS-V-F	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)_13	341	493	4.0000000000000004e-23	78.6	11432	12454	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)	13	0.3196480938416422	0.2231237322515213	1
Cas12f3_0_CAS-V-F	e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)_12	233	496	6.1e-11	38.7	10743	11441	e8e35986a4c05b4442|a96988a1f46aab4929|a96988a1f46aab4929|8120021|NZ_BMSE01000017.1:113209-138472(FWD)	12	0.6652360515021459	0.3024193548387097	1
Cas12f3_0_CAS-V-F	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)_13	341	496	2.3e-06	23.6	11432	12454	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)	13	0.18475073313782991	0.10080645161290322	1
Cas12f4_0_CAS-V-F	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)_13	341	577	2.8e-07	26.2	11432	12454	e8e35986a4c05b4442|b947678b5ccbbc7143|b947678b5ccbbc7143|2582471|NZ_CP021978.1:5889679-5914966(REV)	13	0.18181818181818182	0.10745233968804159	1
