Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	d862301d73972ea41c|2613e0874a5916c8cb|2613e0874a5916c8cb|2880931|NZ_BIFP01000051.1:245113-270916(REV)_4	270	284	5.4e-08	27.2	3172	3981	d862301d73972ea41c|2613e0874a5916c8cb|2613e0874a5916c8cb|2880931|NZ_BIFP01000051.1:245113-270916(REV)	4	0.31851851851851853	0.2992957746478873	1
AbiEii_0_CAS-III	d862301d73972ea41c|262e038f46243696a4|262e038f46243696a4|6942041|NZ_JAASAD010000005.1:161620-187441(REV)_4	270	284	2.5e-07	25.0	3324	4133	d862301d73972ea41c|262e038f46243696a4|262e038f46243696a4|6942041|NZ_JAASAD010000005.1:161620-187441(REV)	4	0.3074074074074074	0.2887323943661972	1
AbiEii_0_CAS-III	d862301d73972ea41c|330f767f6ad1b2fcdd|330f767f6ad1b2fcdd|7291011|NZ_CP054923.1:4082088-4107891(REV)_19	248	284	4.1e-06	21.0	19545	20288	d862301d73972ea41c|330f767f6ad1b2fcdd|330f767f6ad1b2fcdd|7291011|NZ_CP054923.1:4082088-4107891(REV)	19	0.3588709677419355	0.29577464788732394	1
AbiEii_0_CAS-III	d862301d73972ea41c|330f767f6ad1b2fcdd|b4a341738d437c5bd6|1881601|NZ_QVFU01000007.1:116210-142013(FWD)_19	248	284	1.2e-06	22.8	19270	20013	d862301d73972ea41c|330f767f6ad1b2fcdd|b4a341738d437c5bd6|1881601|NZ_QVFU01000007.1:116210-142013(FWD)	19	0.38306451612903225	0.31690140845070425	1
AbiEii_0_CAS-III	d862301d73972ea41c|48e243e7745b520de5|48e243e7745b520de5|1757941|NZ_POTX01000016.1:29960-47883(FWD)_4	270	284	2.3e-07	25.1	3322	4131	d862301d73972ea41c|48e243e7745b520de5|48e243e7745b520de5|1757941|NZ_POTX01000016.1:29960-47883(FWD)	4	0.2851851851851852	0.2676056338028169	1
AbiEii_0_CAS-III	d862301d73972ea41c|7b733d0ea8c13d8522|7b733d0ea8c13d8522|1757951|NZ_POTY01000179.1:0-14897(REV)_3	270	284	1.9e-07	25.4	2054	2863	d862301d73972ea41c|7b733d0ea8c13d8522|7b733d0ea8c13d8522|1757951|NZ_POTY01000179.1:0-14897(REV)	3	0.3074074074074074	0.2887323943661972	1
AbiEii_0_CAS-III	d862301d73972ea41c|9ace936676835af367|9ace936676835af367|2337511|NZ_SJJR01000001.1:261557-287360(FWD)_4	270	284	1.7e-07	25.5	3185	3994	d862301d73972ea41c|9ace936676835af367|9ace936676835af367|2337511|NZ_SJJR01000001.1:261557-287360(FWD)	4	0.31851851851851853	0.3204225352112676	1
AbiEii_0_CAS-III	d862301d73972ea41c|cddbade7373be76fe8|cddbade7373be76fe8|879881|NZ_FNYV01000002.1:150581-176390(FWD)_4	270	284	7.2e-08	26.8	3367	4176	d862301d73972ea41c|cddbade7373be76fe8|cddbade7373be76fe8|879881|NZ_FNYV01000002.1:150581-176390(FWD)	4	0.32222222222222224	0.3028169014084507	1
AbiEii_0_CAS-III	d862301d73972ea41c|d862301d73972ea41c|6659621dc797d2ac79|5782741|NZ_SAIY01000012.1:59567-85388(REV)_4	272	284	5.3e-07	23.9	3195	4010	d862301d73972ea41c|d862301d73972ea41c|6659621dc797d2ac79|5782741|NZ_SAIY01000012.1:59567-85388(REV)	4	0.27941176470588236	0.2640845070422535	1
AbiEii_0_CAS-III	d862301d73972ea41c|d862301d73972ea41c|8d95ff11278bb95e42|882851|NZ_FOLJ01000003.1:337488-363309(REV)_4	270	284	3.3e-07	24.6	3184	3993	d862301d73972ea41c|d862301d73972ea41c|8d95ff11278bb95e42|882851|NZ_FOLJ01000003.1:337488-363309(REV)	4	0.2851851851851852	0.2676056338028169	1
AbiEii_0_CAS-III	d862301d73972ea41c|d862301d73972ea41c|d862301d73972ea41c|1430781|NZ_PEFR01000001.1:1600089-1625910(FWD)_4	270	284	4.2e-07	24.3	3285	4094	d862301d73972ea41c|d862301d73972ea41c|d862301d73972ea41c|1430781|NZ_PEFR01000001.1:1600089-1625910(FWD)	4	0.27037037037037037	0.2535211267605634	1
AbiEii_0_CAS-III	d862301d73972ea41c|dd677e387e6feb5f33|dd677e387e6feb5f33|1986341|NZ_QXEC01000014.1:122974-148765(FWD)_19	219	284	7.3e-05	16.9	17660	18316	d862301d73972ea41c|dd677e387e6feb5f33|dd677e387e6feb5f33|1986341|NZ_QXEC01000014.1:122974-148765(FWD)	19	0.3835616438356164	0.2852112676056338	-1
AbiEii_0_CAS-III	d862301d73972ea41c|dd677e387e6feb5f33|dd677e387e6feb5f33|1986341|NZ_QXEC01000014.1:122974-148765(FWD)_4	282	284	1.8e-07	25.5	3227	4072	d862301d73972ea41c|dd677e387e6feb5f33|dd677e387e6feb5f33|1986341|NZ_QXEC01000014.1:122974-148765(FWD)	4	0.30141843971631205	0.29577464788732394	1
AbiEii_1_CAS-III-A	d862301d73972ea41c|2613e0874a5916c8cb|2613e0874a5916c8cb|2880931|NZ_BIFP01000051.1:245113-270916(REV)_4	270	335	0.00082	13.0	3172	3981	d862301d73972ea41c|2613e0874a5916c8cb|2613e0874a5916c8cb|2880931|NZ_BIFP01000051.1:245113-270916(REV)	4	0.15555555555555556	0.11940298507462686	1
AbiEii_1_CAS-III-A	d862301d73972ea41c|262e038f46243696a4|262e038f46243696a4|6942041|NZ_JAASAD010000005.1:161620-187441(REV)_4	270	335	8.7e-05	16.2	3324	4133	d862301d73972ea41c|262e038f46243696a4|262e038f46243696a4|6942041|NZ_JAASAD010000005.1:161620-187441(REV)	4	0.15555555555555556	0.11940298507462686	1
