query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|03d1219e2cf37da4e3|03d1219e2cf37da4e3|9041531|NZ_JADMLH010000013.1:139774-166708(REV);6673;7656;+,20.2,5.6e-06,328,33,97,143,208
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|313a4b929360f52f32|313a4b929360f52f32|79291|NC_022657.1:4299304-4326271(REV);6529;7512;+,16.8,5.9e-05,328,32,97,142,208
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|71425ecf0f0144ed1a|71425ecf0f0144ed1a|8119671|NZ_BMQY01000004.1:58034-84968(REV);6651;7634;+,16.5,7.7e-05,328,33,101,143,211
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|2b0833a905b658fa0b|2b0833a905b658fa0b|1631981|NZ_PVMZ01000011.1:78477-105399(FWD);6011;6910;+,14.2,0.00039,300,35,102,113,180
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|0ff28404fff4fd574e|0ff28404fff4fd574e|1154431|NZ_FZNR01000007.1:29980-56965(REV);6565;7539;+,13.6,0.0006,325,35,103,144,212
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|8c489b6a89eabca52e|8c489b6a89eabca52e|7887651|NZ_JACHNC010000001.1:5409464-5436398(REV);5519;6463;+,13.6,0.0006,315,35,103,136,203
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|dad526963fe33e374d|dad526963fe33e374d|1769821|NZ_QLMJ01000018.1:43889-70817(FWD);4758;5639;+,12.4,0.0014,294,34,98,112,176
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|043ac27cf8faa5510c|043ac27cf8faa5510c|408138|NC_017093.1:5386075-5413033(FWD);5093;6070;+,12.0,0.0018,326,35,98,145,208
2-Hacid_dh_C,PF02826.21,178,214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV);6705;7679;+,11.6,0.0023,325,35,98,144,207
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|214319fd8cc31efee9|214319fd8cc31efee9|616281|NZ_LLZH01000010.1:8511-31782(REV);12824;13234;-,47.9,3.1e-14,137,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|dad526963fe33e374d|dad526963fe33e374d|1769821|NZ_QLMJ01000018.1:43889-70817(FWD);17462;17914;-,46.0,1.2e-13,151,1,115,17,144
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|3617d95e33d4ec4a2d|3617d95e33d4ec4a2d|1053561|NZ_LT827010.1:2814996-2841909(REV);19023;19427;-,44.6,3.4e-13,135,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|2b0833a905b658fa0b|2b0833a905b658fa0b|1631981|NZ_PVMZ01000011.1:78477-105399(FWD);18935;19339;-,43.6,6.8e-13,135,3,115,5,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|0ff28404fff4fd574e|0ff28404fff4fd574e|1154431|NZ_FZNR01000007.1:29980-56965(REV);19925;20332;-,42.9,1.1e-12,136,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|8c24ff475dcc11339d|8c24ff475dcc11339d|8119301|NZ_BMPW01000013.1:266066-284088(REV);9518;9928;-,40.4,6.5e-12,137,3,115,5,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV);17588;17995;-,40.4,6.8e-12,136,2,115,4,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|8c489b6a89eabca52e|8c489b6a89eabca52e|7887651|NZ_JACHNC010000001.1:5409464-5436398(REV);18415;18825;-,39.2,1.5e-11,137,3,115,5,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|543b98e77aa4e83124|543b98e77aa4e83124|2198851|NZ_AP019371.1:8178542-8205470(FWD);18588;18998;-,37.8,4.2e-11,137,3,115,5,130
3-dmu-9_3-mt,PF06983.15,116,214319fd8cc31efee9|043ac27cf8faa5510c|043ac27cf8faa5510c|408138|NC_017093.1:5386075-5413033(FWD);18357;18767;-,35.1,2.9e-10,137,3,115,5,130
3Beta_HSD,PF01073.21,280,214319fd8cc31efee9|313a4b929360f52f32|313a4b929360f52f32|79291|NC_022657.1:4299304-4326271(REV);21082;21912;+,20.0,5.1e-06,277,0,82,3,80
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|71425ecf0f0144ed1a|71425ecf0f0144ed1a|8119671|NZ_BMQY01000004.1:58034-84968(REV);6651;7634;+,24.7,3.3e-07,328,1,39,148,187
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|313a4b929360f52f32|313a4b929360f52f32|79291|NC_022657.1:4299304-4326271(REV);6529;7512;+,21.6,3.1e-06,328,1,38,148,186
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|03d1219e2cf37da4e3|03d1219e2cf37da4e3|9041531|NZ_JADMLH010000013.1:139774-166708(REV);6673;7656;+,21.3,3.8e-06,328,1,38,148,186
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|a55226d748e9fcd2b8|a55226d748e9fcd2b8|7887661|NZ_JACHNB010000001.1:4868914-4895881(REV);6705;7679;+,19.0,1.9e-05,325,1,37,147,184
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|214319fd8cc31efee9|214319fd8cc31efee9|616281|NZ_LLZH01000010.1:8511-31782(REV);2815;3789;+,18.5,2.8e-05,325,1,35,147,182
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|214319fd8cc31efee9|214319fd8cc31efee9|616281|NZ_LLZH01000010.1:8511-31782(REV);2815;3789;+,18.5,2.8e-05,325,126,155,197,227
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|dad526963fe33e374d|dad526963fe33e374d|1769821|NZ_QLMJ01000018.1:43889-70817(FWD);4758;5639;+,18.3,3.2e-05,294,1,38,116,154
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|8c489b6a89eabca52e|8c489b6a89eabca52e|7887651|NZ_JACHNC010000001.1:5409464-5436398(REV);5519;6463;+,18.1,3.6e-05,315,1,43,139,182
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|2b0833a905b658fa0b|2b0833a905b658fa0b|1631981|NZ_PVMZ01000011.1:78477-105399(FWD);6011;6910;+,17.9,4.1e-05,300,1,39,116,155
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|543b98e77aa4e83124|543b98e77aa4e83124|2198851|NZ_AP019371.1:8178542-8205470(FWD);5701;6618;+,17.7,4.9e-05,306,1,35,128,163
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|405d21764ac3041e5d|405d21764ac3041e5d|316721|NZ_JZKF01000138.1:0-13900(FWD);3981;4838;+,17.4,6e-05,286,1,39,109,148
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|0ff28404fff4fd574e|0ff28404fff4fd574e|1154431|NZ_FZNR01000007.1:29980-56965(REV);6565;7539;+,14.7,0.0004,325,1,35,147,182
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|0ff28404fff4fd574e|0ff28404fff4fd574e|1154431|NZ_FZNR01000007.1:29980-56965(REV);6565;7539;+,14.7,0.0004,325,136,155,208,227
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|043ac27cf8faa5510c|043ac27cf8faa5510c|408138|NC_017093.1:5386075-5413033(FWD);5093;6070;+,14.4,0.0005,326,1,37,148,185
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|2b0833a905b658fa0b|2b0833a905b658fa0b|1631981|NZ_PVMZ01000011.1:78477-105399(FWD);1609;3615;+,13.5,0.00094,669,0,32,376,408
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|2b0833a905b658fa0b|2b0833a905b658fa0b|1631981|NZ_PVMZ01000011.1:78477-105399(FWD);1609;3615;+,13.5,0.00094,669,1,19,498,516
3HCDH_N,PF02737.20,180,214319fd8cc31efee9|3617d95e33d4ec4a2d|3617d95e33d4ec4a2d|1053561|NZ_LT827010.1:2814996-2841909(REV);6643;7617;+,12.9,0.0014,325,1,34,147,181
AAA,PF00004.31,132,214319fd8cc31efee9|0f9477b5fae49d0c52|0f9477b5fae49d0c52|864631|NZ_FNBE01000030.1:2067-23440(FWD);5139;8528;-,16.6,0.00015,1130,2,19,360,377
AAA,PF00004.31,132,214319fd8cc31efee9|0f9477b5fae49d0c52|0f9477b5fae49d0c52|864631|NZ_FNBE01000030.1:2067-23440(FWD);5139;8528;-,16.6,0.00015,1130,1,35,943,979
AAA_14,PF13173.8,130,214319fd8cc31efee9|0f9477b5fae49d0c52|0f9477b5fae49d0c52|864631|NZ_FNBE01000030.1:2067-23440(FWD);5139;8528;-,14.9,0.00038,1130,2,22,356,376
