Contig	Start	End	Strand	Pos
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	228	1820	1	1
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	1807	2157	-1	2
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	2372	3106	1	3
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	3063	3845	-1	4
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	3835	4641	-1	5
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	5072	5968	1	6
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	6038	6763	-1	7
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	7171	8241	1	8
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	8225	8713	1	9
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	8738	10036	-1	10
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	10086	10511	-1	11
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	10641	11225	-1	12
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	11387	11548	1	13
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	11548	12489	1	14
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	12501	13307	1	15
596adb7fa02d385b18|dc15ddd3129a5d7243|dc15ddd3129a5d7243|7200081|NZ_CP053892.1:5575021-5600827(REV)	13360	14931	1	16
