Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
e8a14f064cce46f350|be7648f7985fbac582|be7648f7985fbac582|5460521|NZ_WWIC01000214.1:10577-36830(FWD)	e8a14f064cce46f350|be7648f7985fbac582|be7648f7985fbac582|5460521|NZ_WWIC01000214.1:10577-36830(FWD)@1	20973	21521	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['3.00e-07']	[0.41]	[0.344]	NA	NA
e8a14f064cce46f350|126555f9a5897a994e|126555f9a5897a994e|4288231|NZ_VOGW01000174.1:10546-36571(REV)	e8a14f064cce46f350|126555f9a5897a994e|126555f9a5897a994e|4288231|NZ_VOGW01000174.1:10546-36571(REV)@1	8363	10705	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[9]	['3.90e-05']	[0.303]	[0.404]	NA	NA
e8a14f064cce46f350|298d0d6a78add88c61|298d0d6a78add88c61|8382831|NZ_CP063373.1:8321020-8347153(FWD)	e8a14f064cce46f350|298d0d6a78add88c61|298d0d6a78add88c61|8382831|NZ_CP063373.1:8321020-8347153(FWD)@1	20750	21244	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[21]	['8.20e-08']	[0.552]	[0.362]	NA	NA
e8a14f064cce46f350|6337b306fa00ca865f|6337b306fa00ca865f|1626241|NZ_PJME01000100.1:0-13454(REV)	e8a14f064cce46f350|6337b306fa00ca865f|6337b306fa00ca865f|1626241|NZ_PJME01000100.1:0-13454(REV)@1	9733	10272	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[10]	['1.10e-07']	[0.556]	[0.399]	NA	NA
e8a14f064cce46f350|86c6d8375072f706ce|86c6d8375072f706ce|4726261|NZ_CP023694.1:6244244-6270473(REV)	e8a14f064cce46f350|86c6d8375072f706ce|86c6d8375072f706ce|4726261|NZ_CP023694.1:6244244-6270473(REV)@1	20508	21035	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[21]	['2.10e-07']	[0.426]	[0.344]	NA	NA
e8a14f064cce46f350|461d06d77455b25c83|461d06d77455b25c83|1108041|NZ_MUKA01000435.1:0-14969(FWD)	e8a14f064cce46f350|461d06d77455b25c83|461d06d77455b25c83|1108041|NZ_MUKA01000435.1:0-14969(FWD)@1	9160	9651	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[10]	['9.60e-08']	[0.573]	[0.44]	NA	NA
e8a14f064cce46f350|e5bf3f2f785823ee0b|e5bf3f2f785823ee0b|7887421|NZ_JACHLX010000001.1:5304366-5330622(REV)	e8a14f064cce46f350|e5bf3f2f785823ee0b|e5bf3f2f785823ee0b|7887421|NZ_JACHLX010000001.1:5304366-5330622(REV)@1	21154	21642	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['2.20e-07']	[0.46]	[0.344]	NA	NA
e8a14f064cce46f350|a4f881d824b7572d4b|a4f881d824b7572d4b|618551|NZ_KQ948027.1:73805-99932(REV)	e8a14f064cce46f350|a4f881d824b7572d4b|a4f881d824b7572d4b|618551|NZ_KQ948027.1:73805-99932(REV)@1	20548	21039	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['2.30e-07']	[0.555]	[0.381]	NA	NA
e8a14f064cce46f350|3a47a329ca5264bc2d|3a47a329ca5264bc2d|219761|NZ_CP009754.1:2945788-2971945(FWD)	e8a14f064cce46f350|3a47a329ca5264bc2d|3a47a329ca5264bc2d|219761|NZ_CP009754.1:2945788-2971945(FWD)@1	21049	21597	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[23]	['1.70e-06']	[0.421]	[0.353]	NA	NA
e8a14f064cce46f350|ba3d67d0cca40d139a|ba3d67d0cca40d139a|6719991|NZ_CP050975.1:6061369-6087517(REV)	e8a14f064cce46f350|ba3d67d0cca40d139a|ba3d67d0cca40d139a|6719991|NZ_CP050975.1:6061369-6087517(REV)@1	22754	23245	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[24]	['7.70e-07']	[0.494]	[0.372]	NA	NA
