Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	9a8a6e441d6dea8617|4d83dbdec272df5dfb|4d83dbdec272df5dfb|2239121|UQUS01000012.1:0-13051(FWD)_4	347	284	0.0031	12.8	3536	4576	9a8a6e441d6dea8617|4d83dbdec272df5dfb|4d83dbdec272df5dfb|2239121|UQUS01000012.1:0-13051(FWD)	4	0.31988472622478387	0.36619718309859156	-1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|6c77dac62c5da2c756|2d84983eb29471a5ac|5324001|NZ_CP039268.1:1634881-1660177(REV)_20	343	284	0.001	14.4	23442	24470	9a8a6e441d6dea8617|6c77dac62c5da2c756|2d84983eb29471a5ac|5324001|NZ_CP039268.1:1634881-1660177(REV)	20	0.1924198250728863	0.23943661971830985	1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|6c77dac62c5da2c756|7fbb7c9bc9060c548f|5324001|NZ_CP039268.1:720712-746008(FWD)_19	372	284	0.00072	14.9	19886	21001	9a8a6e441d6dea8617|6c77dac62c5da2c756|7fbb7c9bc9060c548f|5324001|NZ_CP039268.1:720712-746008(FWD)	19	0.06182795698924731	0.08098591549295775	-1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD)_3	349	284	0.00076	14.8	1754	2800	9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD)	3	0.19197707736389685	0.2323943661971831	1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|7995e913e67065bfbc|e8f75950098dc2a48b|903711|NZ_LT635861.1:104492-129905(REV)_16	261	284	0.0019	13.5	14492	15274	9a8a6e441d6dea8617|7995e913e67065bfbc|e8f75950098dc2a48b|903711|NZ_LT635861.1:104492-129905(REV)	16	0.210727969348659	0.19014084507042253	1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|7995e913e67065bfbc|e8f75950098dc2a48b|903711|NZ_LT635861.1:104492-129905(REV)_7	263	284	0.00081	14.7	4888	5676	9a8a6e441d6dea8617|7995e913e67065bfbc|e8f75950098dc2a48b|903711|NZ_LT635861.1:104492-129905(REV)	7	0.21292775665399238	0.19014084507042253	1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD)_15	76	284	1.8e-09	33.3	12061	12288	9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD)	15	0.618421052631579	0.16549295774647887	1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD)_17	300	284	0.00039	15.7	13381	14280	9a8a6e441d6dea8617|9713f066effbde475c|9713f066effbde475c|634458|NZ_KB901875.1:606459-632235(FWD)	17	0.26	0.22887323943661972	1
AbiEii_0_CAS-III	9a8a6e441d6dea8617|9a8a6e441d6dea8617|9a8a6e441d6dea8617|903711|NZ_LT635861.1:266896-292336(REV)_7	234	284	0.0024	13.2	5619	6320	9a8a6e441d6dea8617|9a8a6e441d6dea8617|9a8a6e441d6dea8617|903711|NZ_LT635861.1:266896-292336(REV)	7	0.37606837606837606	0.29225352112676056	-1
AbiEii_1_CAS-III-A	9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD)_3	349	335	0.006	11.4	1754	2800	9a8a6e441d6dea8617|7995e913e67065bfbc|8766cdb2550d72f19b|903711|NZ_LT635860.1:157883-183296(FWD)	3	0.10028653295128939	0.1044776119402985	1
