Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)_19	222	284	0.00056	15.5	19182	19847	66e3c83c192b25b489|022b2964f6df6ed666|022b2964f6df6ed666|536528|NZ_AOIB01000031.1:152615-177914(FWD)	19	0.24324324324324326	0.18661971830985916	1
AbiEii_0_CAS-III	66e3c83c192b25b489|1680c095321a5bb75f|1680c095321a5bb75f|2022471|NZ_QPLR01000002.1:633216-658614(REV)_5	258	284	0.0037	12.8	2789	3562	66e3c83c192b25b489|1680c095321a5bb75f|1680c095321a5bb75f|2022471|NZ_QPLR01000002.1:633216-658614(REV)	5	0.3372093023255814	0.29225352112676056	-1
AbiEii_0_CAS-III	66e3c83c192b25b489|23c5428316121d10a5|23c5428316121d10a5|1171941|NZ_NHPJ01000079.1:57237-82536(FWD)_23	261	284	2.2e-07	26.7	21635	22417	66e3c83c192b25b489|23c5428316121d10a5|23c5428316121d10a5|1171941|NZ_NHPJ01000079.1:57237-82536(FWD)	23	0.26053639846743293	0.22887323943661972	1
AbiEii_0_CAS-III	66e3c83c192b25b489|23c5428316121d10a5|49f56e7f634c4c30bc|1284321|NZ_OBEJ01000003.1:92653-117937(REV)_23	303	284	6.5e-05	18.5	19903	20811	66e3c83c192b25b489|23c5428316121d10a5|49f56e7f634c4c30bc|1284321|NZ_OBEJ01000003.1:92653-117937(REV)	23	0.28052805280528054	0.2992957746478873	1
AbiEii_0_CAS-III	66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)_10	243	284	3.8e-06	22.6	6363	7091	66e3c83c192b25b489|23c5428316121d10a5|8123a8ba5c9e325e05|2027151|NZ_RCIH01000002.1:33134-58397(REV)	10	0.42386831275720166	0.34507042253521125	-1
AbiEii_0_CAS-III	66e3c83c192b25b489|3e4237f398ca1b6e06|3e4237f398ca1b6e06|872631|NZ_MASN01000036.1:2603-28001(REV)_25	242	284	0.00057	15.5	24281	25006	66e3c83c192b25b489|3e4237f398ca1b6e06|3e4237f398ca1b6e06|872631|NZ_MASN01000036.1:2603-28001(REV)	25	0.3925619834710744	0.323943661971831	1
AbiEii_0_CAS-III	66e3c83c192b25b489|5dc66d98d50faa311d|5dc66d98d50faa311d|2024791|NZ_QQTY01000003.1:55577-80975(REV)_21	369	284	1.4e-05	20.7	16537	17643	66e3c83c192b25b489|5dc66d98d50faa311d|5dc66d98d50faa311d|2024791|NZ_QQTY01000003.1:55577-80975(REV)	21	0.3170731707317073	0.3485915492957746	-1
AbiEii_0_CAS-III	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)_2	252	284	9.2e-10	34.5	1293	2048	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)	2	0.373015873015873	0.3380281690140845	-1
AbiEii_0_CAS-III	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)_23	706	284	2.1e-05	20.1	17063	19180	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)	23	0.10339943342776203	0.176056338028169	-1
AbiEii_0_CAS-III	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)_3	277	284	0.0099	11.4	2045	2875	66e3c83c192b25b489|5dc66d98d50faa311d|d9f35254fc1d6a7055|32248|NC_006396.1:690663-716061(REV)	3	0.23465703971119134	0.22535211267605634	-1
AbiEii_0_CAS-III	66e3c83c192b25b489|b6e097f8fa6d5e367f|bca9268885e0f6316a|1752021|QKMU01000001.1:674962-700360(REV)_3	205	284	1.3e-09	33.9	1675	2289	66e3c83c192b25b489|b6e097f8fa6d5e367f|bca9268885e0f6316a|1752021|QKMU01000001.1:674962-700360(REV)	3	0.44878048780487806	0.33098591549295775	-1
