Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	aa6af7e9289c3558d3|2b4b51c36125f3bd6e|2b4b51c36125f3bd6e|4887081|NZ_VNIK02000016.1:32819-58613(REV)_17	617	284	0.00013	17.4	23129	24979	aa6af7e9289c3558d3|2b4b51c36125f3bd6e|2b4b51c36125f3bd6e|4887081|NZ_VNIK02000016.1:32819-58613(REV)	17	0.06969205834683954	0.14084507042253522	1
AbiEii_0_CAS-III	aa6af7e9289c3558d3|4592e886aaac0b3553|4592e886aaac0b3553|2560841|NZ_SRPE01000001.1:257538-283317(REV)_23	449	284	0.00074	14.9	20948	22294	aa6af7e9289c3558d3|4592e886aaac0b3553|4592e886aaac0b3553|2560841|NZ_SRPE01000001.1:257538-283317(REV)	23	0.11358574610244988	0.176056338028169	1
AbiEii_0_CAS-III	aa6af7e9289c3558d3|795c0665e30793e13e|2e10e0fc39ab343cb6|8121351|NZ_BMXB01000007.1:8002-33781(FWD)_20	378	284	4.6e-07	25.4	22920	24053	aa6af7e9289c3558d3|795c0665e30793e13e|2e10e0fc39ab343cb6|8121351|NZ_BMXB01000007.1:8002-33781(FWD)	20	0.30952380952380953	0.3873239436619718	1
AbiEii_0_CAS-III	aa6af7e9289c3558d3|90287c4c136356020f|b7807809127eef43bc|7392711|NZ_CP040908.1:3002367-3028149(REV)_25	449	284	0.00074	14.9	20481	21827	aa6af7e9289c3558d3|90287c4c136356020f|b7807809127eef43bc|7392711|NZ_CP040908.1:3002367-3028149(REV)	25	0.11358574610244988	0.176056338028169	1
AbiEii_0_CAS-III	aa6af7e9289c3558d3|98106b2e242bd682b7|98106b2e242bd682b7|884311|NZ_FOVL01000001.1:21284-47069(FWD)_19	233	284	2.2e-06	23.3	16447	17145	aa6af7e9289c3558d3|98106b2e242bd682b7|98106b2e242bd682b7|884311|NZ_FOVL01000001.1:21284-47069(FWD)	19	0.47639484978540775	0.36971830985915494	-1
AbiEii_0_CAS-III	aa6af7e9289c3558d3|98570c1717c4bfd29d|98570c1717c4bfd29d|882361|NZ_FOOH01000022.1:3655-29437(FWD)_11	221	284	0.0013	14.1	10427	11089	aa6af7e9289c3558d3|98570c1717c4bfd29d|98570c1717c4bfd29d|882361|NZ_FOOH01000022.1:3655-29437(FWD)	11	0.15384615384615385	0.11619718309859155	1
AbiEii_0_CAS-III	aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)_4	501	284	6.4e-06	21.7	3039	4541	aa6af7e9289c3558d3|cede6d698b9dd182f4|cede6d698b9dd182f4|380558|NZ_JH651379.1:3864728-3890513(FWD)	4	0.32934131736526945	0.4225352112676056	-1
AbiEii_1_CAS-III-A	aa6af7e9289c3558d3|795c0665e30793e13e|2e10e0fc39ab343cb6|8121351|NZ_BMXB01000007.1:8002-33781(FWD)_20	378	335	0.0002	16.4	22920	24053	aa6af7e9289c3558d3|795c0665e30793e13e|2e10e0fc39ab343cb6|8121351|NZ_BMXB01000007.1:8002-33781(FWD)	20	0.2037037037037037	0.23880597014925373	1
AbiEii_1_CAS-III-A	aa6af7e9289c3558d3|98570c1717c4bfd29d|98570c1717c4bfd29d|882361|NZ_FOOH01000022.1:3655-29437(FWD)_2	695	335	7.8e-05	17.7	947	3031	aa6af7e9289c3558d3|98570c1717c4bfd29d|98570c1717c4bfd29d|882361|NZ_FOOH01000022.1:3655-29437(FWD)	2	0.22446043165467625	0.4626865671641791	-1
AbiEii_2_CAS-III-C	aa6af7e9289c3558d3|795c0665e30793e13e|2e10e0fc39ab343cb6|8121351|NZ_BMXB01000007.1:8002-33781(FWD)_20	378	440	4.5e-07	25.2	22920	24053	aa6af7e9289c3558d3|795c0665e30793e13e|2e10e0fc39ab343cb6|8121351|NZ_BMXB01000007.1:8002-33781(FWD)	20	0.2777777777777778	0.2431818181818182	1
AbiEii_2_CAS-III-C	aa6af7e9289c3558d3|98106b2e242bd682b7|98106b2e242bd682b7|884311|NZ_FOVL01000001.1:21284-47069(FWD)_19	233	440	0.001	14.2	16447	17145	aa6af7e9289c3558d3|98106b2e242bd682b7|98106b2e242bd682b7|884311|NZ_FOVL01000001.1:21284-47069(FWD)	19	0.3218884120171674	0.17045454545454544	-1
