Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV)_17	273	284	0.0012	13.1	16696	17514	c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV)	17	0.304029304029304	0.27816901408450706	-1
AbiEii_0_CAS-III	c1050b21cc75640d51|89ca2f2f3b7fea30c9|89ca2f2f3b7fea30c9|EARTH_3300022741_15|3300022741.a:Ga0206116_1000061:5683-31300(REV)_5	249	284	7.6e-05	17.1	2957	3703	c1050b21cc75640d51|89ca2f2f3b7fea30c9|89ca2f2f3b7fea30c9|EARTH_3300022741_15|3300022741.a:Ga0206116_1000061:5683-31300(REV)	5	0.3895582329317269	0.3204225352112676	-1
AbiEii_0_CAS-III	c1050b21cc75640d51|c824d5fe650755b2bf|c824d5fe650755b2bf|2352241|NZ_SNWE01000038.1:0-14544(REV)_9	221	284	0.00033	15.0	5319	5981	c1050b21cc75640d51|c824d5fe650755b2bf|c824d5fe650755b2bf|2352241|NZ_SNWE01000038.1:0-14544(REV)	9	0.15384615384615385	0.11619718309859155	1
AbiEii_0_CAS-III	c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV)_4	607	284	0.0013	13.0	2969	4789	c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV)	4	0.07084019769357495	0.14788732394366197	-1
AbiEii_1_CAS-III-A	c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV)_2	301	335	0.0018	12.2	457	1359	c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV)	2	0.3089700996677741	0.2716417910447761	-1
AbiEii_1_CAS-III-A	c1050b21cc75640d51|89ca2f2f3b7fea30c9|89ca2f2f3b7fea30c9|EARTH_3300022741_15|3300022741.a:Ga0206116_1000061:5683-31300(REV)_5	249	335	0.00025	15.0	2957	3703	c1050b21cc75640d51|89ca2f2f3b7fea30c9|89ca2f2f3b7fea30c9|EARTH_3300022741_15|3300022741.a:Ga0206116_1000061:5683-31300(REV)	5	0.3253012048192771	0.24776119402985075	-1
AbiEii_1_CAS-III-A	c1050b21cc75640d51|ef8978fab3006723f0|390aa778f91a81b92e|1061791|NZ_MSJR01000003.1:179535-205317(REV)_9	817	335	0.045	7.6	8017	10467	c1050b21cc75640d51|ef8978fab3006723f0|390aa778f91a81b92e|1061791|NZ_MSJR01000003.1:179535-205317(REV)	9	0.2692778457772338	0.36716417910447763	-1
AbiEii_2_CAS-III-C	c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV)_4	607	440	7.9e-08	26.6	2969	4789	c1050b21cc75640d51|ef8978fab3006723f0|ef8978fab3006723f0|884311|NZ_FOVL01000007.1:156040-175159(REV)	4	0.20098846787479407	0.28863636363636364	-1
Cas12f1_0_CAS-V-F	c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)_10	366	512	2.9e-06	21.1	13285	14382	c1050b21cc75640d51|11aff6920429a5b8bb|11aff6920429a5b8bb|4253681|NZ_VISE01000001.1:1695488-1721270(FWD)	10	0.36885245901639346	0.267578125	1
Cas12f1_0_CAS-V-F	c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV)_13	366	512	4.2e-08	27.1	13298	14395	c1050b21cc75640d51|4ac69ddc8ed65440ab|4ac69ddc8ed65440ab|2215371|NZ_QOVJ01000001.1:1177402-1203196(REV)	13	0.3989071038251366	0.287109375	1
Cas12f1_0_CAS-V-F	c1050b21cc75640d51|6019a915670fcb873f|6019a915670fcb873f|2352241|NZ_SNWE01000030.1:12741-36773(FWD)_13	366	512	1.5e-07	25.3	13285	14382	c1050b21cc75640d51|6019a915670fcb873f|6019a915670fcb873f|2352241|NZ_SNWE01000030.1:12741-36773(FWD)	13	0.44808743169398907	0.326171875	1
Cas12f1_0_CAS-V-F	c1050b21cc75640d51|6019a915670fcb873f|8e79eda77a1f1e9b9e|206221|NZ_JQNQ01000001.1:1886799-1912581(REV)_15	366	512	2.5e-07	24.6	13286	14383	c1050b21cc75640d51|6019a915670fcb873f|8e79eda77a1f1e9b9e|206221|NZ_JQNQ01000001.1:1886799-1912581(REV)	15	0.5081967213114754	0.369140625	1
Cas12f1_0_CAS-V-F	c1050b21cc75640d51|77b2246d8911816dbf|77b2246d8911816dbf|2352241|NZ_SNWE01000032.1:2861-28643(FWD)_11	367	512	5.1e-09	30.2	13285	14385	c1050b21cc75640d51|77b2246d8911816dbf|77b2246d8911816dbf|2352241|NZ_SNWE01000032.1:2861-28643(FWD)	11	0.4904632152588556	0.365234375	1
Cas12f1_0_CAS-V-F	c1050b21cc75640d51|9978843ed7a8806241|9978843ed7a8806241|EARTH_3300010055_3|3300010055.a:Ga0098067_1001020:0-9833(REV)_5	366	512	2e-06	21.6	1792	2889	c1050b21cc75640d51|9978843ed7a8806241|9978843ed7a8806241|EARTH_3300010055_3|3300010055.a:Ga0098067_1001020:0-9833(REV)	5	0.7540983606557377	0.5546875	1
Cas12f1_0_CAS-V-F	c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)_15	366	512	1.7e-08	28.4	13286	14383	c1050b21cc75640d51|a1c4339b386e21d709|a1c4339b386e21d709|1534541|NZ_LLKN01000002.1:329630-355412(REV)	15	0.6885245901639344	0.4140625	1
