Contig	Start	End	Strand	Pos
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	2	97	1	1
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	94	582	1	2
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	584	1210	1	3
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	1207	1734	1	4
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	1736	1966	1	5
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	1968	2342	1	6
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	2344	2886	1	7
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	2887	3225	1	8
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	3222	3641	1	9
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	3638	4108	1	10
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	4110	4910	1	11
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	4912	5334	1	12
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	5334	5531	1	13
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	5524	5982	1	14
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	6013	7404	1	15
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	7468	7974	1	16
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	7993	8400	1	17
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	8401	9126	-1	18
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	9316	10176	1	19
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	10220	10900	1	20
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	11026	11781	1	21
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	11784	12503	1	22
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	12500	13315	1	23
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	13327	13713	1	24
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	13748	14881	1	25
1b0744e098d12904a7|7c1b016dd472215365|7c1b016dd472215365|1395821|NZAS01000003.1:13971-33920(FWD)	14916	19949	1	26
