Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)_18	248	94	2.3e-06	23.1	20708	21451	0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	18	0.4637096774193548	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	0204aff763d8b45bfe|54a444a8ab78de901d|fdfc3adcb27132ba43|2337451|NZ_SJJZ01000001.1:702935-728441(REV)_22	255	94	3e-06	22.7	20838	21602	0204aff763d8b45bfe|54a444a8ab78de901d|fdfc3adcb27132ba43|2337451|NZ_SJJZ01000001.1:702935-728441(REV)	22	0.5098039215686274	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	0204aff763d8b45bfe|c867d108c1d2f0dadd|c867d108c1d2f0dadd|6463241|NZ_JAASRO010000001.1:2644929-2670438(FWD)_20	252	94	3.2e-06	22.6	20564	21319	0204aff763d8b45bfe|c867d108c1d2f0dadd|c867d108c1d2f0dadd|6463241|NZ_JAASRO010000001.1:2644929-2670438(FWD)	20	0.5158730158730159	0.9361702127659575	1
2OG_1_CAS-I-II-III-IV-V-VI	0204aff763d8b45bfe|e978112e6d076e7e12|e978112e6d076e7e12|2345281|NZ_SMKR01000015.1:15874-41392(FWD)_21	251	94	8.9e-06	21.2	21634	22386	0204aff763d8b45bfe|e978112e6d076e7e12|e978112e6d076e7e12|2345281|NZ_SMKR01000015.1:15874-41392(FWD)	21	0.5059760956175299	0.9361702127659575	1
AbiEii_0_CAS-III	0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)_16	513	284	0.00014	16.3	18099	19637	0204aff763d8b45bfe|0204aff763d8b45bfe|0204aff763d8b45bfe|7887721|NZ_JACHNF010000001.1:7091415-7116939(FWD)	16	0.24366471734892786	0.2711267605633803	1
AbiEii_0_CAS-III	0204aff763d8b45bfe|0b015182111f99ab26|0b015182111f99ab26|2342021|NZ_SLWN01000002.1:699752-725264(REV)_19	533	284	7.1e-05	17.3	18164	19762	0204aff763d8b45bfe|0b015182111f99ab26|0b015182111f99ab26|2342021|NZ_SLWN01000002.1:699752-725264(REV)	19	0.24953095684803	0.28169014084507044	1
AbiEii_0_CAS-III	0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)_18	521	284	8.9e-05	16.9	18106	19668	0204aff763d8b45bfe|246baf200ee3082353|246baf200ee3082353|2343851|NZ_SLWR01000004.1:234258-259764(REV)	18	0.2437619961612284	0.2640845070422535	1
AbiEii_0_CAS-III	0204aff763d8b45bfe|54a444a8ab78de901d|54a444a8ab78de901d|2337491|NZ_SJKA01000004.1:496464-521982(REV)_19	527	284	0.0002	15.8	17953	19533	0204aff763d8b45bfe|54a444a8ab78de901d|54a444a8ab78de901d|2337491|NZ_SJKA01000004.1:496464-521982(REV)	19	0.24857685009487665	0.28169014084507044	1
AbiEii_0_CAS-III	0204aff763d8b45bfe|54a444a8ab78de901d|5fae0343dbeb851e51|2281341|NZ_SGXJ01000002.1:682612-708118(REV)_19	512	284	5.2e-05	17.7	18062	19597	0204aff763d8b45bfe|54a444a8ab78de901d|5fae0343dbeb851e51|2281341|NZ_SGXJ01000002.1:682612-708118(REV)	19	0.25	0.28169014084507044	1
AbiEii_0_CAS-III	0204aff763d8b45bfe|54a444a8ab78de901d|83e28f4e040026ae3b|2353981|NZ_SODU01000003.1:715488-740994(REV)_22	516	284	0.00018	15.9	20101	21648	0204aff763d8b45bfe|54a444a8ab78de901d|83e28f4e040026ae3b|2353981|NZ_SODU01000003.1:715488-740994(REV)	22	0.26744186046511625	0.31690140845070425	1
