query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2_5_RNA_ligase2,PF13563.8,153,4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV);18093;18671;-,47.2,3.4e-14,193,37,149,69,179
5_3_exonuc,PF01367.22,97,4dcbca21fe7e9a5c29|119c835c62fa21d154|119c835c62fa21d154|6928931|CADEEZ010000009.1:90510-116169(REV);19707;22412;+,109.4,1.5e-33,902,0,95,167,261
5_3_exonuc_N,PF02739.18,159,4dcbca21fe7e9a5c29|119c835c62fa21d154|119c835c62fa21d154|6928931|CADEEZ010000009.1:90510-116169(REV);19707;22412;+,188.7,8.8e-58,902,1,159,5,167
5_3_exonuc_N,PF02739.18,159,4dcbca21fe7e9a5c29|119c835c62fa21d154|119c835c62fa21d154|6928931|CADEEZ010000009.1:90510-116169(REV);19707;22412;+,188.7,8.8e-58,902,124,143,689,708
AAA,PF00004.31,132,4dcbca21fe7e9a5c29|2330e21d6aab6d4f7d|2330e21d6aab6d4f7d|1652991|PXRF01000003.1:0-20490(FWD);13967;14938;-,19.9,1.1e-05,324,2,19,32,49
AAA,PF00004.31,132,4dcbca21fe7e9a5c29|2330e21d6aab6d4f7d|2330e21d6aab6d4f7d|1652991|PXRF01000003.1:0-20490(FWD);13967;14938;-,19.9,1.1e-05,324,31,67,125,163
AAA,PF00004.31,132,4dcbca21fe7e9a5c29|0a2e8b2dccd4c81883|0a2e8b2dccd4c81883|5605281|NZ_ML974136.1:116335-142033(REV);750;2846;-,18.3,3.4e-05,699,0,79,320,405
AAA,PF00004.31,132,4dcbca21fe7e9a5c29|0a2e8b2dccd4c81883|0a2e8b2dccd4c81883|5605281|NZ_ML974136.1:116335-142033(REV);750;2846;-,18.3,3.4e-05,699,113,130,451,467
AAA,PF00004.31,132,4dcbca21fe7e9a5c29|0a2e8b2dccd4c81883|0a2e8b2dccd4c81883|5605281|NZ_ML974136.1:116335-142033(REV);750;2846;-,18.3,3.4e-05,699,36,56,630,650
AAA,PF00004.31,132,4dcbca21fe7e9a5c29|9995ba3fb6cc1f7889|9995ba3fb6cc1f7889|1861981|NZ_KZ859510.1:34977-60906(REV);365;1150;+,18.1,4.2e-05,262,2,18,40,56
