Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV)_2	266	94	3e-07	25.8	201	998	ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV)	2	0.4323308270676692	0.9361702127659575	-1
2OG_1_CAS-I-II-III-IV-V-VI	ee669bb85d7c4a9459|c54f0e648edae87c65|c54f0e648edae87c65|6463241|NZ_JAASRO010000001.1:2640626-2666288(REV)_1	252	94	3.1e-06	22.6	41	796	ee669bb85d7c4a9459|c54f0e648edae87c65|c54f0e648edae87c65|6463241|NZ_JAASRO010000001.1:2640626-2666288(REV)	1	0.5158730158730159	0.9361702127659575	-1
2OG_1_CAS-I-II-III-IV-V-VI	ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV)_2	248	94	2.3e-06	23.1	644	1387	ee669bb85d7c4a9459|ca2cc8e489ce8642e5|ca2cc8e489ce8642e5|7887721|NZ_JACHNF010000001.1:7087799-7113509(REV)	2	0.4637096774193548	0.9361702127659575	-1
2OG_1_CAS-I-II-III-IV-V-VI	ee669bb85d7c4a9459|ee669bb85d7c4a9459|ee669bb85d7c4a9459|4254481|NZ_VIVK01000001.1:96301-122017(FWD)_2	253	94	3.2e-07	25.8	333	1091	ee669bb85d7c4a9459|ee669bb85d7c4a9459|ee669bb85d7c4a9459|4254481|NZ_VIVK01000001.1:96301-122017(FWD)	2	0.45454545454545453	0.9361702127659575	-1
AbiEii_0_CAS-III	ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV)_4	521	284	1.2e-05	19.8	2076	3638	ee669bb85d7c4a9459|1e79d649a8e2c91e41|1e79d649a8e2c91e41|983271|NZ_MTQN01000010.1:346507-372190(REV)	4	0.21497120921305182	0.2640845070422535	-1
AbiEii_0_CAS-III	ee669bb85d7c4a9459|2e04dfb7ec52525710|2e04dfb7ec52525710|2345281|NZ_SMKR01000015.1:12146-37817(REV)_3	533	284	3.6e-05	18.2	1414	3012	ee669bb85d7c4a9459|2e04dfb7ec52525710|2e04dfb7ec52525710|2345281|NZ_SMKR01000015.1:12146-37817(REV)	3	0.24202626641651032	0.2852112676056338	-1
AbiEii_0_CAS-III	ee669bb85d7c4a9459|3d3d3573e5d8cb49f7|3d3d3573e5d8cb49f7|107648|NC_013729.1:6181100-6206807(FWD)_2	519	284	0.00011	16.6	586	2142	ee669bb85d7c4a9459|3d3d3573e5d8cb49f7|3d3d3573e5d8cb49f7|107648|NC_013729.1:6181100-6206807(FWD)	2	0.27167630057803466	0.3204225352112676	-1
AbiEii_0_CAS-III	ee669bb85d7c4a9459|57bf3bbec172de2d10|57bf3bbec172de2d10|2351931|NZ_SNWQ01000012.1:132787-158479(REV)_4	514	284	1.7e-05	19.2	2415	3956	ee669bb85d7c4a9459|57bf3bbec172de2d10|57bf3bbec172de2d10|2351931|NZ_SNWQ01000012.1:132787-158479(REV)	4	0.3521400778210117	0.4788732394366197	-1
AbiEii_0_CAS-III	ee669bb85d7c4a9459|5a74141461b8166cdb|5a74141461b8166cdb|631798|NZ_AQUZ01000072.1:1943-27626(REV)_2	516	284	0.00017	15.9	763	2310	ee669bb85d7c4a9459|5a74141461b8166cdb|5a74141461b8166cdb|631798|NZ_AQUZ01000072.1:1943-27626(REV)	2	0.26744186046511625	0.30633802816901406	-1
AbiEii_0_CAS-III	ee669bb85d7c4a9459|6883ac8ab42de40b43|6883ac8ab42de40b43|3676801|NZ_VFMM01000001.1:1713772-1739440(FWD)_4	507	284	0.00029	15.2	3170	4690	ee669bb85d7c4a9459|6883ac8ab42de40b43|6883ac8ab42de40b43|3676801|NZ_VFMM01000001.1:1713772-1739440(FWD)	4	0.3234714003944773	0.38380281690140844	-1
