Contig	Start	End	Strand	Pos
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	2	214	1	1
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	427	1794	1	2
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	1925	2065	1	3
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	2140	2799	1	4
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	2895	4136	-1	5
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	4467	5639	1	6
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	5602	5844	-1	7
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	6002	7099	1	8
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	7110	8249	1	9
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	8268	8705	-1	10
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	8940	9380	1	11
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	9491	11104	1	12
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	11639	12433	1	13
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	12501	13052	1	14
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	13141	13515	-1	15
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	13783	15129	-1	16
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	15191	15967	-1	17
49c65ceeadb463ef7d|ccf254fe25e09f346f|ccf254fe25e09f346f|47921|NC_021985.1:1744847-1770398(REV)	15964	16617	-1	18
