Contig	Start	End	Strand	Pos
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	3	776	1	1
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	1033	1902	-1	2
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	1899	2774	-1	3
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	2805	2945	1	4
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	3142	4503	-1	5
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	4601	5263	1	6
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	5757	7043	-1	7
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	7403	8062	-1	8
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	8538	9299	1	9
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	9998	10384	1	10
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	10803	11189	-1	11
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	11198	11461	-1	12
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	11815	12225	-1	13
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	12500	12673	1	14
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	12738	13082	-1	15
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	13435	14910	1	16
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	15360	16256	-1	17
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	16506	17540	-1	18
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	17824	18453	-1	19
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	18736	19443	-1	20
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	19525	20370	-1	21
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	20726	21580	1	22
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	22178	23416	1	23
c36b3b94eaf89826ba|e82b357915a4bbd573|e82b357915a4bbd573|7248571|JAAFKG010000013.1:53418-78591(FWD)	23413	23595	-1	24
