Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
a366ac26802335850e|a366ac26802335850e|a366ac26802335850e|4288231|NZ_VOGW01000174.1:18027-43959(FWD)	a366ac26802335850e|a366ac26802335850e|a366ac26802335850e|4288231|NZ_VOGW01000174.1:18027-43959(FWD)@1	7840	10182	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[7]	['9.50e-06']	[0.303]	[0.404]	NA	NA
a366ac26802335850e|510c11a61902e9b6fe|510c11a61902e9b6fe|220081|NZ_JRHJ01000022.1:91416-117246(REV)	a366ac26802335850e|510c11a61902e9b6fe|510c11a61902e9b6fe|220081|NZ_JRHJ01000022.1:91416-117246(REV)@1	1374	1889	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['1.70e-08']	[0.448]	[0.353]	NA	NA
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)@1	401	892	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['1.20e-08']	[0.427]	[0.33]	NA	NA
a366ac26802335850e|ae4703047180857d05|ae4703047180857d05|869271|NZ_FNTD01000004.1:5287845-5313744(FWD)	a366ac26802335850e|ae4703047180857d05|ae4703047180857d05|869271|NZ_FNTD01000004.1:5287845-5313744(FWD)@1	1	408	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[1]	['6.40e-08']	[0.61]	[0.358]	NA	NA
a366ac26802335850e|5abb840cf000c1543b|5abb840cf000c1543b|479141|NZ_LGDV01000191.1:46870-72709(FWD)	a366ac26802335850e|5abb840cf000c1543b|5abb840cf000c1543b|479141|NZ_LGDV01000191.1:46870-72709(FWD)@1	718	1209	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['5.40e-08']	[0.524]	[0.358]	NA	NA
a366ac26802335850e|681599921f4bf008a8|681599921f4bf008a8|163818|NC_013929.1:3359333-3385163(REV)	a366ac26802335850e|681599921f4bf008a8|681599921f4bf008a8|163818|NC_013929.1:3359333-3385163(REV)@1	22316	24724	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[23]	['3.00e-05']	[0.336]	[0.813]	NA	NA
a366ac26802335850e|9003e96e9b6f7550ed|9003e96e9b6f7550ed|4970821|NZ_CP045096.1:7239068-7264871(FWD)	a366ac26802335850e|9003e96e9b6f7550ed|9003e96e9b6f7550ed|4970821|NZ_CP045096.1:7239068-7264871(FWD)@1	1423	1917	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['8.00e-09']	[0.485]	[0.376]	NA	NA
a366ac26802335850e|2308b8354517735f4a|2308b8354517735f4a|880371|NZ_FOUV01000018.1:135569-161447(REV)	a366ac26802335850e|2308b8354517735f4a|2308b8354517735f4a|880371|NZ_FOUV01000018.1:135569-161447(REV)@1	1317	1826	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['1.90e-08']	[0.447]	[0.349]	NA	NA
a366ac26802335850e|c2b0d6adbe015f42aa|c2b0d6adbe015f42aa|734041|NZ_LWRP01000182.1:70532-84904(FWD)	a366ac26802335850e|c2b0d6adbe015f42aa|c2b0d6adbe015f42aa|734041|NZ_LWRP01000182.1:70532-84904(FWD)@1	624	1115	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['7.50e-08']	[0.53]	[0.372]	NA	NA
a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)	a366ac26802335850e|9bbd761e9dfffed684|9bbd761e9dfffed684|192521|NZ_JOCB01000025.1:47060-72896(REV)@2	24029	24424	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[24]	['4.20e-07']	[0.47]	[0.568]	NA	NA
a366ac26802335850e|2ef31fc5b9f6902317|2ef31fc5b9f6902317|5411851|NZ_CP047020.1:6277281-6303114(FWD)	a366ac26802335850e|2ef31fc5b9f6902317|2ef31fc5b9f6902317|5411851|NZ_CP047020.1:6277281-6303114(FWD)@1	23996	24364	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[24]	['2.40e-07']	[0.52]	[0.585]	NA	NA
a366ac26802335850e|10960a9f015b1c8ec7|10960a9f015b1c8ec7|7886841|NZ_JACHJK010000008.1:307646-333464(FWD)	a366ac26802335850e|10960a9f015b1c8ec7|10960a9f015b1c8ec7|7886841|NZ_JACHJK010000008.1:307646-333464(FWD)@1	23819	24394	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[24]	['1.10e-05']	[0.339]	[0.593]	NA	NA
a366ac26802335850e|98793f802771bb661b|98793f802771bb661b|8120841|NZ_BMVG01000021.1:99460-125293(REV)	a366ac26802335850e|98793f802771bb661b|98793f802771bb661b|8120841|NZ_BMVG01000021.1:99460-125293(REV)@1	828	1319	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['2.00e-07']	[0.5]	[0.376]	NA	NA
