query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2Fe-2S_Ferredox,PF11591.10,34,c7a1b8f01c5b7c48a2|b95968d7f48ea37f6a|b95968d7f48ea37f6a|650818|NZ_KB907210.1:234504-265359(FWD);24785;25789;+,7.5,0.15,335,9,22,34,46
2Fe-2S_Ferredox,PF11591.10,34,c7a1b8f01c5b7c48a2|b95968d7f48ea37f6a|b95968d7f48ea37f6a|650818|NZ_KB907210.1:234504-265359(FWD);24785;25789;+,7.5,0.15,335,6,28,54,76
2Fe-2S_Ferredox,PF11591.10,34,c7a1b8f01c5b7c48a2|b95968d7f48ea37f6a|b95968d7f48ea37f6a|650818|NZ_KB907210.1:234504-265359(FWD);24785;25789;+,7.5,0.15,335,9,20,224,235
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD);26117;26521;+,57.2,6.7e-17,135,12,41,3,26
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD);26117;26521;+,57.2,6.7e-17,135,0,79,45,123
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|b7c12bf1158f3b7fda|b7c12bf1158f3b7fda|4539521|NZ_BDDE01000010.1:444204-475068(FWD);28460;28909;+,53.9,6.7e-16,150,0,79,56,134
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|13bc2b9f99cc46be9f|13bc2b9f99cc46be9f|3218371|NZ_VCKW01000147.1:4414-22252(REV);15448;15864;+,53.8,7.6e-16,139,0,79,46,124
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|3f1fb41ad74d4b8299|a1a013eee04bca24cc|3592841|NZ_CP041244.1:1842584-1873445(FWD);28828;29277;+,53.6,8.8e-16,150,0,79,56,134
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|6efbb51672ad25d152|5433731|NZ_WUTW01000001.1:1838853-1869681(REV);27411;27824;+,51.0,5.8e-15,138,0,79,47,125
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|2853d66e289717fdfe|2853d66e289717fdfe|637451|NZ_BCQT01000017.1:58846-89710(FWD);27987;28424;+,50.8,6.5e-15,146,0,79,55,133
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|a0b65b772662e09dc5|a0b65b772662e09dc5|1550371|NZ_MTBP01000002.1:257349-288186(FWD);27691;28104;+,50.6,7.5e-15,138,0,79,47,125
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|7c04856559d45d2d73|7c04856559d45d2d73|5410381|NZ_WING01000001.1:6713621-6743012(REV);26874;27308;+,50.1,1.1e-14,145,0,79,52,130
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|97b3c59bdfa3feb961|97b3c59bdfa3feb961|637461|NZ_BCQU01000018.1:5556-36381(FWD);29424;29882;+,50.0,1.1e-14,153,0,79,48,126
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|ebc89f643473c4af47|592562b5603c7a1dcc|881741|NZ_FOVH01000001.1:883397-914249(REV);27707;28156;+,49.5,1.6e-14,150,0,79,56,134
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|b95968d7f48ea37f6a|b95968d7f48ea37f6a|650818|NZ_KB907210.1:234504-265359(FWD);29893;30309;+,49.4,1.7e-14,139,32,45,19,32
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|b95968d7f48ea37f6a|b95968d7f48ea37f6a|650818|NZ_KB907210.1:234504-265359(FWD);29893;30309;+,49.4,1.7e-14,139,0,79,47,125
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|1536b273d638c43ed4|5aba9f4aa174f55aaf|4421391|NZ_VSFF01000011.1:283079-313940(REV);27534;27971;+,49.1,2.2e-14,146,0,79,53,131
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|60873f29e1b25f1057|60873f29e1b25f1057|8147261|NZ_JABMCA010000040.1:70705-88527(REV);14947;15393;+,48.8,2.8e-14,149,0,79,56,134
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|f08628a136448a2f56|f08628a136448a2f56|7200081|NZ_CP053892.1:9270861-9301764(REV);28287;28733;+,48.4,3.5e-14,149,0,79,56,134
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|c7a1b8f01c5b7c48a2|c7a1b8f01c5b7c48a2|636698|NZ_KB894098.1:175941-206898(FWD);29612;30043;+,48.4,3.6e-14,144,0,79,52,130
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|ff0b300c80371d1846|ff0b300c80371d1846|637441|NZ_BCQS01000005.1:72068-102899(FWD);27470;27919;+,46.9,1.1e-13,150,0,79,56,134
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|532ae79758dd7beea4|532ae79758dd7beea4|192271|NZ_JOFJ01000001.1:96800-127601(FWD);27414;27836;+,46.5,1.4e-13,141,0,79,48,126
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|00b9e8816e8c7ec754|00b9e8816e8c7ec754|5197381|NZ_WEGH01000001.1:294827-325625(FWD);27901;28323;+,46.4,1.5e-13,141,0,79,48,126
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ce2f3edee9709a9b41|7291041|NZ_CP054932.1:3446654-3477491(REV);29528;29977;+,46.2,1.7e-13,150,0,79,56,134
4HBT,PF03061.24,79,c7a1b8f01c5b7c48a2|595b397b8ca4351644|595b397b8ca4351644|5380411|NZ_WOFH01000007.1:354905-385736(FWD);29385;29831;+,44.3,6.9e-13,149,0,79,56,134
4HBT_3,PF13622.8,250,c7a1b8f01c5b7c48a2|97b3c59bdfa3feb961|97b3c59bdfa3feb961|637461|NZ_BCQU01000018.1:5556-36381(FWD);29424;29882;+,13.9,0.002,153,27,94,70,145
5_3_exonuc,PF01367.22,97,c7a1b8f01c5b7c48a2|5ce70b433de6d32fcb|5ce70b433de6d32fcb|1072151|NZ_KZ084325.1:71732-102290(FWD);23367;26054;-,95.4,9.8e-29,896,1,94,181,273
5_3_exonuc,PF01367.22,97,c7a1b8f01c5b7c48a2|c7a1b8f01c5b7c48a2|c7a1b8f01c5b7c48a2|636698|NZ_KB894098.1:175941-206898(FWD);26828;29518;-,91.6,1.5e-27,897,0,96,180,275
5_3_exonuc,PF01367.22,97,c7a1b8f01c5b7c48a2|97b3c59bdfa3feb961|97b3c59bdfa3feb961|637461|NZ_BCQU01000018.1:5556-36381(FWD);26680;29379;-,90.9,2.4e-27,900,0,96,182,277
