Contig	Start	End	Strand	Pos
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	2	748	1	1
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	760	1017	1	2
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	1014	1460	1	3
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	1457	3229	1	4
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	3383	3949	1	5
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	4000	4836	1	6
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	4868	6985	-1	7
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	7094	8245	-1	8
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	8490	9503	1	9
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	9548	10267	1	10
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	10264	11157	1	11
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	11177	12400	-1	12
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	12500	18364	1	13
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	18392	18793	-1	14
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	18951	19541	-1	15
c7a1b8f01c5b7c48a2|06a01aeeb801a088e9|06a01aeeb801a088e9|2345481|NZ_SMJX01000003.1:53509-73572(FWD)	19551	20063	-1	16
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	1	72	1	1
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	136	2253	-1	2
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	2390	3541	-1	3
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	3675	4688	1	4
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	4699	5379	1	5
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	5410	6294	1	6
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	6329	7561	-1	7
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	7618	13455	1	8
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	13462	13875	-1	9
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	14183	14785	-1	10
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	14802	15293	-1	11
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	15331	17289	-1	12
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	17544	19028	-1	13
c7a1b8f01c5b7c48a2|ef87c609c4af265b6b|ef87c609c4af265b6b|1154751|NZ_FZOR01000072.1:0-20932(FWD)	19263	20450	-1	14
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	1	330	1	1
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	354	1322	-1	2
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	1972	3015	-1	3
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	3142	3654	-1	4
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	3751	4227	1	5
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	4303	4830	1	6
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	4841	6970	-1	7
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	7077	8228	-1	8
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	8472	9485	1	9
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	9529	10302	1	10
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	10333	11196	1	11
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	11224	12456	-1	12
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	12500	18385	1	13
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	18440	18706	-1	14
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	18812	19414	-1	15
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	19440	19952	-1	16
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	19960	21912	-1	17
c7a1b8f01c5b7c48a2|d6792d97b468bc8ff1|d6792d97b468bc8ff1|5398711|NZ_WBMS02000033.1:84175-109135(FWD)	22270	23748	-1	18
