Contig	Start	End	Strand	Pos
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	2	124	1	1
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	143	766	1	2
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	1048	1656	1	3
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	1664	2233	1	4
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	2238	2729	-1	5
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	3173	4048	1	6
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	4184	4834	-1	7
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	4903	7011	-1	8
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	7046	7279	-1	9
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	7294	7518	-1	10
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	7660	9273	1	11
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	9273	10514	1	12
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	10524	11297	1	13
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	11430	12503	1	14
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	12500	13117	1	15
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	13129	13929	1	16
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	14013	14258	1	17
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	14263	15417	-1	18
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	15493	21063	1	19
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	21052	21630	-1	20
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	21729	22553	1	21
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	22554	23156	-1	22
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	23188	23640	-1	23
260273e052f76dffd2|19fc24001855daee2c|19fc24001855daee2c|2345591|NZ_SMKQ01000106.1:3551-28599(FWD)	23658	25046	-1	24
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	2	352	-1	1
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	1002	2138	1	2
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	2135	2794	1	3
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	2806	3918	-1	4
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	4191	4406	1	5
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	4427	6280	1	6
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	6277	6534	1	7
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	6531	6971	1	8
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	7036	7869	1	9
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	7957	10074	-1	10
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	10192	11343	-1	11
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	11477	12490	1	12
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	12501	13181	1	13
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	13213	14097	1	14
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	14127	15359	-1	15
260273e052f76dffd2|5ac085abc46cd95b7d|22412f13cc7f03d3f8|3218461|NZ_VCKZ01000058.1:0-16983(REV)	15416	16981	1	16
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	2	415	1	1
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	475	1053	1	2
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	1043	1615	-1	3
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	1711	2064	1	4
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	2147	2863	1	5
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	2980	3321	-1	6
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	3354	5462	-1	7
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	5499	5732	-1	8
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	5747	6601	-1	9
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	6598	7515	-1	10
260273e052f76dffd2|539f2f2f77373dbd10|539f2f2f77373dbd10|379151|NZ_LAVL01000035.1:14137-39751(FWD)	7657	9270	1	11
