recid,phash,qhash
AAFVZC010000002.1,aab0ba892f96b5ae62c0,c8c7188576dc52eecbdf
AAFVZC010000002.1,272427e2a6b3fde40fbe,aab0ba892f96b5ae62c0
AAFVZC010000005.1,752391d97017ee1ad87d,464aff219a5f9458af68
AAFVZC010000005.1,3d0704a77aacbb62db76,752391d97017ee1ad87d
AAFVZC010000006.1,f4b814ad45a446ec9b72,cfbaacbd24e52232c500
AAFVZC010000006.1,387da11a56aa078bd740,f4b814ad45a446ec9b72
AAFVZC010000014.1,3a9482f1f450d97be96e,af6bb207992c20c63f5c
AAFVZC010000014.1,6e5cb01fd798d4296f63,3a9482f1f450d97be96e
AAFVZC010000018.1,4a6703c9b995f4dcf126,1d6abe69846398476d1b
AAFVZC010000018.1,f5676b4d3ef231e55c7f,4a6703c9b995f4dcf126
AAFVZC010000031.1,7f7207aeef747057a974,f231081063f0bb345315
AAFVZC010000031.1,98b56c756b0af900185c,7f7207aeef747057a974
AAFVZC010000081.1,b9d13d871a96f8c11657,cb88e4b1d321a7327511
AAFVZC010000081.1,b49b528157f555a4704a,b9d13d871a96f8c11657
