query_id,query_accession,query_len,hit_id,hit_score,hit_evalue,target_length,qstart,qend,tstart,tend
2-Hacid_dh,PF00389.32,134,0093c124a5b6ee038d|00f9b67684a021a55e|00f9b67684a021a55e|863991|NZ_FNFM01000003.1:49650-75021(REV);13560;14585;+,86.7,4e-25,342,0,134,2,319
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|00f9b67684a021a55e|00f9b67684a021a55e|863991|NZ_FNFM01000003.1:49650-75021(REV);13560;14585;+,159.7,1.7e-47,342,0,178,103,288
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|df2e9f79f899405b5c|3614d8ad6845d4955b|2215571|NZ_CP028834.1:2622343-2647711(FWD);14265;14924;-,33.7,8.1e-09,220,37,102,1,68
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|67c87cf6538e270f1f|67c87cf6538e270f1f|1063981|NZ_CP020569.1:4134586-4159957(FWD);22172;23419;+,22.9,1.8e-05,416,38,73,4,39
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|67c87cf6538e270f1f|67c87cf6538e270f1f|1063981|NZ_CP020569.1:4134586-4159957(FWD);22172;23419;+,22.9,1.8e-05,416,48,101,332,385
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|1f256e9650132c4d54|1f256e9650132c4d54|1191601|NZ_CP023202.1:5731047-5756415(REV);22204;23664;-,21.1,6.1e-05,487,13,69,119,177
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|1f256e9650132c4d54|1f256e9650132c4d54|1191601|NZ_CP023202.1:5731047-5756415(REV);22204;23664;-,21.1,6.1e-05,487,15,63,265,310
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|72ca6a6b11bccb4a6a|72ca6a6b11bccb4a6a|8119341|NZ_BMQA01000057.1:11995-37435(FWD);11519;12226;+,19.4,0.0002,236,36,101,14,83
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|ceb84073b64d00b25b|ceb84073b64d00b25b|7754871|CAIQUZ010000105.1:2942-21620(FWD);9886;10893;+,14.8,0.0053,336,30,72,1,43
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|9802c57527491c2159|9802c57527491c2159|7888381|NZ_JACHJB010000002.1:1025240-1050656(FWD);22429;23469;+,14.5,0.0064,347,34,80,166,213
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|afdae9b2d2d11612e8|afdae9b2d2d11612e8|1504931|NZ_OESX01000006.1:7562-22752(REV);6644;7723;-,14.4,0.0071,360,27,90,163,229
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|67c87cf6538e270f1f|67c87cf6538e270f1f|1063981|NZ_CP020569.1:4134586-4159957(FWD);2549;3454;-,13.8,0.011,302,30,67,1,39
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|5664444a52ad3f600d|5664444a52ad3f600d|9176131|NZ_JAERRF010000030.1:0-19923(REV);7122;8207;-,13.1,0.017,362,34,79,180,226
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|5664444a52ad3f600d|5664444a52ad3f600d|9176131|NZ_JAERRF010000030.1:0-19923(REV);7122;8207;-,13.1,0.017,362,31,45,267,281
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|11b5dfb9ed42e324fa|11b5dfb9ed42e324fa|8119241|NZ_BMPQ01000004.1:213119-238487(REV);4787;5542;+,12.9,0.021,252,33,73,5,45
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|11b5dfb9ed42e324fa|11b5dfb9ed42e324fa|8119241|NZ_BMPQ01000004.1:213119-238487(REV);9043;9843;+,12.8,0.021,267,31,95,12,77
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|cbb24c095988a042e1|694b1f557552c13353|8119821|NZ_BMRN01000010.1:56513-81929(FWD);22706;23506;-,12.1,0.036,267,28,73,5,51
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|44d67e1972ae715e74|44d67e1972ae715e74|1072151|NZ_KZ084340.1:21178-38734(FWD);6348;7751;+,12.1,0.036,468,33,68,155,190
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|67c87cf6538e270f1f|67c87cf6538e270f1f|1063981|NZ_CP020569.1:4134586-4159957(FWD);227;1297;-,11.9,0.041,357,34,73,173,213
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|a8804d5ddc49c119f1|a8804d5ddc49c119f1|192271|NZ_JOFJ01000001.1:26388-51756(FWD);8541;9635;-,11.7,0.046,365,36,73,7,44
2-Hacid_dh_C,PF02826.21,178,0093c124a5b6ee038d|1974c1bd0699cf5dcc|1974c1bd0699cf5dcc|1590631|NZ_CP026652.1:279034-304450(REV);23618;25021;-,11.3,0.06,468,31,73,150,192
2-oxogl_dehyd_N,PF16078.7,41,0093c124a5b6ee038d|54abfbdce44f21e758|54abfbdce44f21e758|1061551|NZ_MWFK01000002.1:461753-487079(FWD);4574;7330;+,34.3,4.8e-09,919,5,35,17,47
2Fe-2S_thioredx,PF01257.21,145,0093c124a5b6ee038d|a18bc5209574826840|a18bc5209574826840|5460971|NZ_CP046703.1:541487-566900(REV);22028;22561;+,154.7,5.5e-46,178,1,142,28,169
2Fe-2S_thioredx,PF01257.21,145,0093c124a5b6ee038d|a18bc5209574826840|a18bc5209574826840|5460971|NZ_CP046703.1:541487-566900(REV);22548;24176;+,22.2,4.1e-05,543,65,144,19,102
