Contig	Start	End	Strand	Pos
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	326	1177	-1	1
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	1188	1436	-1	2
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	1690	2880	1	3
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	3009	3704	1	4
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	3888	4793	1	5
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	4963	5943	1	6
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	6121	7149	1	7
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	7273	9117	-1	8
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	9132	9953	-1	9
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	10049	11029	1	10
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	11033	11467	1	11
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	11469	12503	1	12
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	12500	13324	1	13
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	13395	14357	1	14
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	14369	15010	1	15
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	15007	15714	1	16
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	15681	16289	-1	17
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	16282	18324	-1	18
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	18321	19130	-1	19
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	19208	20230	-1	20
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	20227	21153	-1	21
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	21472	22434	1	22
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	22554	24104	1	23
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	24140	25420	1	24
d90f25484d732aa877|f32c494e0c41755043|f32c494e0c41755043|6942041|NZ_JAASAD010000005.1:164988-190812(FWD)	25417	25824	1	25
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	1	1275	-1	1
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	1707	2828	1	2
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	2852	4606	-1	3
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	4621	5424	-1	4
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	5523	6503	1	5
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	6507	6926	1	6
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	6928	7974	1	7
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	7959	8801	1	8
d90f25484d732aa877|5957b500af7bd42b1d|5957b500af7bd42b1d|1757941|NZ_POTX01000016.1:26583-47883(REV)	8864	9844	1	9
