Contig	Start	End	Strand	Pos
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	79	1269	-1	1
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	1369	1776	1	2
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	2306	4126	1	3
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	5344	6780	-1	4
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	7015	7908	-1	5
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	8229	9446	1	6
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	9772	10119	-1	7
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	10162	10677	-1	8
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	10772	11623	-1	9
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	11684	11878	-1	10
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	11894	12016	1	11
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	12097	12759	-1	12
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	12762	13433	-1	13
4a23bcab7c50591a6a|4a9e9616cf71f83846|4a9e9616cf71f83846|2316331|RDXX01000100.1:0-14276(FWD)	13809	14276	-1	14
